symbol,name,market_code
IEU,Ishares Europe Etf,ASX
IXI,Ishares Global Consumer Staples Etf,ASX
AMAT,Applied Materials Inc.,NASDAQ
WDMF,Ishares World Equity Factor Etf,ASX
VEU,Vngd All World Ex Us,ASX
ASX,Asx Limited,ASX
WES,Wesfarmers Limited,ASX
GOOG,Alphabet Inc - Ordinary Shares - Class C,NASDAQ
SHL,Sonic Healthcare,ASX
AX1,Accent Group Ltd,ASX
IOO,Ishares Global 100 Etf,ASX
IAA,Ishares Asia 50 Etf,ASX
REIT,Vaneck Ftse International Property (Aud Hgd) Etf,ASX
TLC,The Lottery Corp,ASX
WDS,Woodside Energy,ASX
DRR,Deterra,ASX
UBER,Uber Technologies Inc,NYSE
RMD,Resmed Inc,ASX
WBC,Westpac Banking Corp,ASX
CME,CME Group Inc - Ordinary Shares - Class A,NASDAQ
NAB,National Aust. Bank,ASX
TSM,Taiwan Semiconductor Manufacturing - ADR,NYSE
STW,Spdr S&P/Asx 200 Fund,ASX
CBA,Commonwealth Bank.,ASX
CCJ,Cameco Corp.,NYSE
AMZN,Amazon.com Inc.,NASDAQ
CSL,Csl Limited,ASX
XYZ,Block Inc,ASX
FTNT,Fortinet Inc,NASDAQ
COL,Coles Group,ASX
MOAT,Vaneck Morningstar Wide Moat Etf,ASX
AZJ,Aurizon Holdings Ltd,ASX
MAQ,Macquarie Technology,ASX
IVV,Ishares S&P 500 Etf,ASX
DXS,Dexus,ASX
NWH,Nrw Holdings Limited,ASX
SDF,Steadfast Group Ltd,ASX
ALX,Atlas Arteria,ASX
CHC,Charter Hall Group,ASX
NDQ,Betashares Nasdaq 100 Etf,ASX
GNE,Genesis Energy Ltd,ASX
IFRA,Vaneck Ftse Global Infrastructure (Aud Hedged) Etf,ASX
VAP,Vanguard Australian Property Securities Index Etf,ASX
MA,Mastercard Incorporated - Ordinary Shares - Class A,NYSE
MSFT,Microsoft Corporation,NASDAQ
AZN,Astrazeneca plc - ADR,NASDAQ
AUB,Aub Group Ltd,ASX
EDV,Endeavour,ASX
TCL,Transurban Group,ASX
AGL,Agl Energy Limited.,ASX
TLS,Telstra Group,ASX
ANZ,Anz Group Holdings,ASX
VAE,Vanguard Ftse Asia Ex Japan Shares Index Etf,ASX
NVDA,NVIDIA Corp,NASDAQ
AMD,Advanced Micro Devices Inc.,NASDAQ
GOOGL,Alphabet Inc - Ordinary Shares - Class A,NASDAQ
EQIX,Equinix Inc,NASDAQ
WTC,Wisetech Global Ltd,ASX
DVDY,Vaneck Morningstar Australian Moat Income Etf,ASX
AVGO,Broadcom Inc,NASDAQ
