Date,Open,High,Low,Close,Volume
19920102,3.42,3.5,3.42,3.5,187520
19920103,3.5,3.5,3.46,3.48,263659
19920106,3.48,3.49,3.4,3.4,246014
19920107,3.32,3.4,3.32,3.4,115635
19920108,3.4,3.4,3.35,3.38,305571
19920109,3.38,3.38,3.34,3.34,146250
19920110,3.34,3.34,3.29,3.3,334745
19920113,3.301,3.301,3.28,3.3,321642
19920114,3.28,3.28,3.23,3.25,510843
19920115,3.302,3.34,3.3,3.31,221056
19920116,3.33,3.33,3.3,3.31,95496
19920117,3.32,3.38,3.32,3.35,97385
19920120,3.36,3.37,3.35,3.37,219216
19920121,3.37,3.37,3.35,3.36,101255
19920122,3.35,3.35,3.34,3.35,432712
19920123,3.35,3.35,3.32,3.32,390083
19920124,3.3,3.3,3.15,3.2,608124
19920128,3.194,3.194,3.05,3.08,1138064
19920129,3.136,3.16,3.12,3.12,349036
19920130,3.09,3.1,3.08,3.09,118963
19920131,3.09,3.09,3.01,3.04,3075100
19920203,3.04,3.08,3.04,3.06,441527
19920204,3.08,3.1,3.06,3.08,86432
19920205,3.1,3.15,3.08,3.08,406728
19920206,3.06,3.08,3.06,3.08,122194
19920207,3.08,3.12,3.08,3.12,126695
19920210,3.08,3.1,3.07,3.1,222598
19920211,3.135,3.15,3.12,3.14,61438
19920212,3.14,3.15,3.12,3.12,570886
19920213,3.12,3.15,3.12,3.12,98516
19920214,3.12,3.12,3.1,3.12,499590
19920217,3.115,3.14,3.1,3.11,289900
19920218,3.1,3.11,3.1,3.11,1538456
19920219,3.1,3.11,3.1,3.1,57284
19920220,3.12,3.12,3.1,3.1,909120
19920221,3.1,3.14,3.1,3.14,212301
19920224,3.12,3.15,3.12,3.13,29814
19920225,3.13,3.15,3.12,3.13,170243
19920226,3.13,3.13,3.1,3.11,157540
19920227,3.118,3.13,3.08,3.1,447403
19920228,3.1,3.11,3.09,3.1,298866
19920302,3.11,3.11,3.09,3.1,245093
19920303,3.09,3.11,3.07,3.08,251978
19920304,3.08,3.09,3.08,3.09,81761
19920305,3.03,3.034,2.97,3,717327
19920306,2.97,2.97,2.87,2.9,705922
19920309,2.88,2.91,2.88,2.9,243579
19920310,2.91,2.96,2.91,2.96,178278
19920311,2.98,3.02,2.98,3.01,1484646
19920312,2.98,3.01,2.98,3,43715
19920313,3,3.01,3,3,629212
19920316,3.01,3.01,3,3.01,225716
19920317,3.01,3.01,2.98,2.98,317142
19920318,3.001,3.01,3,3,272277
19920319,3.01,3.05,3,3.01,19184
19920320,3.01,3.02,3.01,3.01,148760
19920323,3.05,3.05,3.05,3.05,44298
19920324,3.06,3.06,3.05,3.05,206004
19920325,3.06,3.07,3.06,3.06,67603
19920326,3.06,3.09,3.06,3.07,383016
19920327,3.08,3.08,3.06,3.07,573942
19920330,3.05,3.05,3.02,3.04,230400
19920331,3.04,3.04,3.03,3.03,1304905
19920401,3.01,3.02,3,3,134164
19920402,3.02,3.02,3,3.01,125661
19920403,3.01,3.02,3,3.01,119838
19920406,3.02,3.02,3,3,34609
19920407,3.04,3.04,2.98,3,422300
19920408,2.89,2.9,2.89,2.89,110966
19920409,2.86,2.93,2.86,2.92,52506
19920410,2.95,2.97,2.95,2.95,925757
19920413,2.96,2.96,2.92,2.93,767561
19920414,2.9,2.9,2.88,2.9,180977
19920415,2.92,2.92,2.88,2.9,457831
19920416,2.92,2.92,2.9,2.9,389160
19920421,2.9,2.9,2.85,2.86,356134
19920422,2.86,2.86,2.83,2.84,604998
19920423,2.85,2.92,2.85,2.9,211196
19920424,2.92,2.93,2.91,2.92,405208
19920427,2.949,2.96,2.93,2.93,2120559
19920428,2.94,2.94,2.92,2.93,603950
19920429,2.93,2.93,2.86,2.88,458620
19920430,2.9,2.92,2.86,2.9,587095
19920501,2.92,2.95,2.92,2.95,330957
19920504,2.97,2.97,2.95,2.97,74373
19920505,2.98,2.98,2.95,2.95,413746
19920506,2.96,2.96,2.94,2.95,87408
19920507,2.948,2.95,2.93,2.94,267860
19920508,2.93,2.93,2.9,2.9,487311
19920511,2.9,2.91,2.88,2.9,691135
19920512,2.906,2.93,2.9,2.92,823384
19920513,2.929,2.99,2.929,2.99,402573
19920514,2.99,3.06,2.99,3.05,224114
19920515,3.03,3.05,3.03,3.04,153386
19920518,3.03,3.04,3.01,3.03,140078
19920519,3.07,3.07,3,3,145474
19920520,3.01,3.03,3,3.01,559539
19920521,3,3,2.88,2.91,392850
19920522,2.93,3,2.93,3,611400
19920525,2.98,3,2.97,2.98,450227
19920526,2.97,2.97,2.92,2.93,273101
19920527,2.93,2.95,2.92,2.95,325058
19920528,2.967,3.01,2.967,3,357079
19920529,3.034,3.08,3.034,3.08,541714
19920601,3.08,3.11,3.04,3.04,441106
