Date,Open,High,Low,Close,Volume
20100125,0.51,0.7,0.51,0.615,20618810
20100127,0.61,0.69,0.61,0.67,18657560
20100128,0.69,0.85,0.69,0.845,12861780
20100129,0.845,0.96,0.845,0.92,8397846
20100201,0.93,0.97,0.92,0.95,7197357
20100202,0.95,1.02,0.935,0.98,10509060
20100203,0.98,0.985,0.8,0.8,8960247
20100204,0.82,0.82,0.74,0.8,8676374
20100205,0.8,0.8,0.695,0.75,10288000
20100208,0.74,0.77,0.735,0.745,3847228
20100209,0.75,0.75,0.71,0.715,7563807
20100210,0.7,0.72,0.7,0.71,6579277
20100211,0.7,0.73,0.7,0.715,5819747
20100212,0.705,0.74,0.705,0.74,2630778
20100215,0.715,0.74,0.715,0.73,671232
20100216,0.71,0.735,0.71,0.73,23755690
20100217,0.725,0.735,0.72,0.73,2977867
20100218,0.715,0.75,0.71,0.75,5295399
20100219,0.735,0.88,0.735,0.825,8159737
20100222,0.82,0.85,0.82,0.83,2560170
20100223,0.805,0.84,0.8,0.825,2159525
20100224,0.795,0.82,0.795,0.805,4831276
20100225,0.805,0.815,0.805,0.81,3933311
20100226,0.8,0.82,0.8,0.805,32851960
20100301,0.79,0.835,0.79,0.83,1251141
20100302,0.81,0.845,0.81,0.845,809827
20100303,0.825,0.845,0.82,0.83,871127
20100304,0.835,0.86,0.83,0.85,1363711
20100305,0.85,0.86,0.845,0.86,521679
20100308,0.865,0.93,0.865,0.905,1005346
20100309,0.91,0.94,0.9,0.91,1301316
20100310,0.91,0.92,0.89,0.89,1500147
20100311,0.89,0.925,0.89,0.89,1295739
20100312,0.89,0.9,0.88,0.89,499888
20100315,0.89,0.9,0.865,0.865,3182257
20100316,0.855,0.86,0.825,0.86,1787701
20100317,0.9,0.9,0.855,0.855,474820
20100318,0.87,0.87,0.85,0.85,535330
20100319,0.855,0.875,0.835,0.835,1773101
20100322,0.835,0.845,0.825,0.845,536780
20100323,0.845,0.88,0.84,0.84,865436
20100324,0.83,0.89,0.83,0.86,3794508
20100325,0.86,0.88,0.86,0.88,520226
20100326,0.88,0.905,0.88,0.9,3427301
20100329,0.905,0.915,0.9,0.905,2718053
20100330,0.91,0.94,0.905,0.92,966534
20100331,0.925,0.96,0.92,0.94,6336902
20100401,0.94,0.96,0.94,0.95,1786284
20100406,0.98,1.02,0.97,0.97,4231614
20100407,0.96,0.96,0.94,0.94,543665
20100408,0.94,0.965,0.935,0.945,328204
20100409,0.94,0.97,0.94,0.96,518076
20100412,0.95,0.965,0.945,0.95,645073
20100413,0.95,0.965,0.95,0.95,588391
20100414,0.955,0.97,0.95,0.955,1128278
20100415,0.95,0.975,0.94,0.965,511347
20100416,0.97,0.995,0.97,0.995,2315375
20100419,0.99,1.005,0.98,0.995,4258514
20100420,0.98,1,0.975,1,1563905
20100421,1.005,1.02,0.985,0.985,3944633
20100422,0.985,0.99,0.98,0.98,1103859
20100423,0.985,1,0.98,0.99,1231960
20100427,0.98,0.99,0.975,0.99,1915771
20100428,0.965,0.99,0.96,0.98,5554324
20100429,0.98,0.98,0.97,0.975,1393626
20100430,0.975,0.985,0.97,0.98,4241836
20100503,0.98,0.98,0.97,0.98,472311
20100504,0.975,0.98,0.96,0.96,517153
20100505,0.945,0.945,0.9,0.9,4167324
20100506,0.88,0.885,0.83,0.87,1067564
20100507,0.83,0.875,0.83,0.855,445322
20100510,0.85,0.895,0.84,0.86,2339597
20100511,0.88,0.89,0.87,0.875,3055202
20100512,0.865,0.87,0.86,0.86,1736006
20100513,0.84,0.84,0.82,0.835,4430152
20100514,0.83,0.83,0.815,0.825,655683
20100517,0.83,0.83,0.785,0.8,1191891
20100518,0.79,0.8,0.77,0.77,1522373
20100519,0.76,0.76,0.735,0.75,634153
20100520,0.75,0.76,0.745,0.75,930119
20100521,0.75,0.76,0.705,0.715,2589687
20100524,0.715,0.725,0.7,0.705,370999
20100525,0.7,0.7,0.68,0.695,7353586
20100526,0.685,0.745,0.685,0.72,2665063
20100527,0.73,0.795,0.725,0.79,2040064
20100528,0.8,0.83,0.8,0.815,1678353
20100531,0.8,0.835,0.77,0.82,920180
20100601,0.82,0.82,0.79,0.79,185826
20100602,0.795,0.84,0.79,0.815,1374264
20100603,0.83,0.83,0.81,0.825,856153
20100604,0.82,0.82,0.775,0.775,723060
20100607,0.75,0.77,0.73,0.74,1852321
20100608,0.75,0.755,0.75,0.75,501398
20100609,0.76,0.765,0.725,0.75,1620622
20100610,0.725,0.76,0.725,0.75,546242
20100611,0.75,0.77,0.74,0.77,444577
20100615,0.75,0.755,0.73,0.74,268821
20100616,0.74,0.785,0.74,0.785,379064
20100617,0.83,0.93,0.83,0.92,6684623
20100618,0.915,0.94,0.915,0.935,801388
20100621,0.94,1.02,0.935,1,3379390
20100622,0.955,1.035,0.955,1.03,1062236
20100623,1.02,1.085,1.01,1.02,1488642
20100624,1.025,1.025,0.965,0.985,1239357
20100625,0.965,0.995,0.925,0.955,918245
20100628,0.945,0.95,0.92,0.935,437594
20100629,0.945,0.945,0.88,0.89,364828
20100630,0.875,1,0.825,0.95,845999
20100701,0.925,0.945,0.89,0.905,201134
20100702,0.89,0.895,0.88,0.885,1718272
20100705,0.885,0.89,0.88,0.885,539816
20100706,0.905,0.91,0.88,0.885,379922
20100707,0.88,0.935,0.88,0.905,919218
20100708,0.905,0.97,0.9,0.97,769776
20100709,0.92,0.93,0.9,0.925,1853823
20100712,0.925,0.925,0.905,0.905,475744
20100713,0.91,0.92,0.91,0.91,277112
20100714,0.91,0.92,0.905,0.915,365835
20100715,0.935,0.975,0.93,0.975,1350576
20100716,0.975,1.05,0.97,1.03,3047458
20100719,1,1.06,0.99,1.02,1769520
20100720,1,1.04,0.98,1,2520082
20100721,1.005,1.05,0.995,1.05,3987054
20100722,1.025,1.17,1.025,1.165,2235855
20100723,1.15,1.21,1.14,1.21,2317673
20100726,1.22,1.27,1.22,1.235,2105627
20100727,1.22,1.235,1.195,1.205,2171969
20100728,1.2,1.2,1.1,1.155,3527986
20100729,1.12,1.185,1.12,1.155,2250010
20100730,1.14,1.2,1.14,1.2,13428560
20100802,1.2,1.25,1.185,1.25,2119607
20100803,1.25,1.25,1.225,1.25,1690965
20100804,1.225,1.25,1.225,1.25,1035081
20100805,1.25,1.32,1.21,1.3,2166422
20100806,1.29,1.335,1.275,1.325,2525706
20100809,1.3,1.31,1.255,1.3,1762441
20100810,1.28,1.285,1.26,1.26,1507780
20100811,1.285,1.295,1.205,1.22,3176697
20100812,1.16,1.2,1.16,1.185,2892529
20100813,1.17,1.235,1.17,1.235,1143457
20100816,1.2,1.26,1.2,1.25,1025597
20100817,1.245,1.295,1.22,1.29,1641957
20100818,1.3,1.3,1.245,1.265,629534
