Date,Open,High,Low,Close,Volume
19981014,4.1,4.29,4.01,4.25,6311357
19981015,4.4,4.55,4.32,4.32,2649482
19981016,4.38,4.38,4.2,4.332,1275946
19981019,4.3,4.3,4.23,4.25,1427007
19981020,4.24,4.29,4.23,4.29,827401
19981021,4.29,4.34,4.26,4.315,744770
19981022,4.3,4.48,4.3,4.48,561641
19981023,4.48,4.65,4.45,4.57,400251
19981026,4.61,4.84,4.59,4.82,805315
19981027,4.831,4.97,4.83,4.86,806620
19981028,4.87,4.88,4.791,4.791,493422
19981029,4.84,4.86,4.8,4.82,450083
19981030,4.848,4.87,4.8,4.815,328614
19981102,4.85,4.87,4.79,4.84,339958
19981103,4.84,4.87,4.83,4.86,206335
19981104,4.84,4.95,4.84,4.9,300038
19981105,4.92,5.1,4.9,5.03,943254
19981106,5.1,5.25,5.1,5.18,582736
19981109,5.25,5.52,5.25,5.48,809320
19981110,5.5,5.75,5.5,5.64,813694
19981111,5.658,5.69,5.52,5.52,383558
19981112,5.5,5.5,5.35,5.43,503232
19981113,5.49,5.55,5.45,5.5,188691
19981116,5.52,5.65,5.52,5.59,210950
19981117,5.64,5.64,5.44,5.47,473562
19981118,5.47,5.53,5.38,5.442,356000
19981119,5.43,5.43,5.31,5.31,217109
19981120,5.38,5.45,5.37,5.44,264639
19981123,5.5,5.55,5.46,5.475,346502
19981124,5.53,6.6,5.48,6.6,1125322
19981125,6.59,7,6.2,6.867,1623868
19981126,7,7.75,6.99,7.45,919141
19981127,7.6,7.98,7.6,7.913,1094174
19981130,8.23,9.24,8.23,8.974,1623518
19981201,9,9,8.35,8.45,1286787
19981202,8.556,8.56,7.79,7.95,1385486
19981203,7.78,7.78,7.45,7.55,603050
19981204,7.444,8.03,7.34,7.785,780294
19981207,8,8.1,7.7,7.7,422089
19981208,7.8,7.8,7.65,7.69,220189
19981209,7.65,7.65,7.41,7.45,442284
19981210,7.54,7.99,7.54,7.645,468700
19981211,7.695,7.73,7.55,7.7,132703
19981214,7.74,7.74,7.46,7.54,315950
19981215,7.51,7.6,7.5,7.51,154380
19981216,7.6,7.74,7.58,7.74,281801
19981217,7.75,7.75,7.61,7.72,201330
19981218,7.738,7.738,7.6,7.62,185963
19981221,7.62,7.75,7.62,7.75,200329
19981222,7.806,8.3,7.806,8.25,947124
19981223,8.308,8.6,8.308,8.6,601466
19981224,8.755,8.9,8.6,8.75,446329
19981229,8.75,8.75,8.37,8.37,150138
19981230,8.46,8.54,8.43,8.54,180079
19981231,8.54,8.6,8.45,8.5,98277
19990104,8.5,8.8,8.5,8.75,285696
19990105,8.75,8.95,8.7,8.87,265465
