Date,Open,High,Low,Close,Volume
20051116,2.22,2.25,2.17,2.21,8968936
20051117,2.21,2.3,2.2,2.3,2908187
20051118,2.33,2.39,2.3,2.38,1797427
20051121,2.37,2.38,2.35,2.38,490289
20051122,2.38,2.38,2.31,2.33,1019920
20051123,2.33,2.33,2.28,2.3,112850
20051124,2.31,2.32,2.29,2.32,73500
20051125,2.33,2.35,2.32,2.34,238100
20051128,2.34,2.35,2.34,2.34,117000
20051129,2.37,2.37,2.35,2.36,22468
20051130,2.37,2.38,2.36,2.38,171153
20051201,2.4,2.55,2.4,2.47,349991
20051202,2.5,2.5,2.43,2.48,95500
20051205,2.5,2.6,2.5,2.57,374428
20051206,2.56,2.57,2.49,2.55,73510
20051207,2.5,2.5,2.47,2.5,17000
20051208,2.46,2.46,2.42,2.46,130500
20051209,2.42,2.43,2.4,2.43,26000
20051212,2.44,2.48,2.44,2.48,54537
20051213,2.48,2.48,2.45,2.45,16197
20051214,2.47,2.48,2.46,2.48,85001
20051215,2.5,2.5,2.46,2.46,28714
20051216,2.46,2.46,2.4,2.44,37325
20051219,2.42,2.42,2.36,2.4,885700
20051220,2.42,2.42,2.4,2.4,523
20051221,2.4,2.41,2.4,2.4,109017
20051222,2.4,2.4,2.37,2.4,271700
20051223,2.4,2.4,2.4,2.4,299415
20051228,2.42,2.42,2.4,2.4,46142
20051229,2.4,2.44,2.4,2.42,64715
20051230,2.4,2.41,2.4,2.41,30675
20060103,2.41,2.46,2.4,2.4,119225
20060104,2.4,2.41,2.4,2.41,21500
20060105,2.41,2.41,2.41,2.41,156286
20060106,2.41,2.44,2.41,2.44,8000
20060109,2.43,2.43,2.43,2.43,20000
20060110,2.43,2.43,2.43,2.43,69775
20060111,2.44,2.49,2.44,2.49,22000
20060112,2.49,2.5,2.49,2.5,201231
20060113,2.55,2.57,2.55,2.57,315370
20060116,2.6,2.63,2.6,2.6,272814
20060117,2.61,2.61,2.56,2.59,14500
20060118,2.58,2.59,2.55,2.58,232000
20060119,2.55,2.63,2.55,2.63,457400
20060120,2.68,2.7,2.65,2.69,225900
20060123,2.65,2.65,2.61,2.65,79000
20060124,2.63,2.65,2.6,2.6,280500
20060125,2.6,2.6,2.56,2.6,336500
20060127,2.6,2.6,2.56,2.6,25000
20060130,2.6,2.6,2.56,2.6,24715
20060131,2.59,2.6,2.59,2.6,39567
20060201,2.58,2.62,2.55,2.6,236067
20060202,2.65,2.68,2.65,2.65,40000
20060203,2.66,2.66,2.62,2.65,5600
20060206,2.64,2.67,2.62,2.67,101920
20060207,2.66,2.66,2.61,2.61,98157
20060208,2.61,2.65,2.6,2.62,101050
20060209,2.6,2.67,2.6,2.67,12200
20060210,2.67,2.67,2.6,2.67,22400
20060213,2.64,2.65,2.64,2.64,307600
20060214,2.64,2.67,2.64,2.67,62350
20060215,2.67,2.67,2.61,2.65,208600
20060216,2.61,2.65,2.61,2.65,11400
20060217,2.66,2.66,2.63,2.63,12270
20060220,2.63,2.63,2.63,2.63,0
20060221,2.63,2.63,2.63,2.63,0
20060222,2.65,2.65,2.64,2.64,10000
20060223,2.64,2.64,2.64,2.64,2770
20060224,2.66,2.7,2.66,2.7,24708
20060227,2.73,2.77,2.73,2.77,30431
20060228,2.8,2.8,2.75,2.76,32220
20060301,2.75,2.75,2.68,2.68,601000
20060302,2.69,2.7,2.68,2.68,329667
20060303,2.68,2.68,2.63,2.63,1655319
20060306,2.67,2.7,2.67,2.67,4189
20060307,2.65,2.67,2.6,2.6,114711
20060308,2.58,2.6,2.58,2.6,15000
20060309,2.6,2.6,2.58,2.6,10000
20060310,2.6,2.6,2.6,2.6,16700
20060313,2.6,2.6,2.59,2.59,105150
20060314,2.56,2.59,2.56,2.59,224888
20060315,2.6,2.63,2.6,2.6,15000
20060316,2.6,2.6,2.58,2.6,70600
20060317,2.62,2.67,2.6,2.65,164800
20060320,2.65,2.65,2.6,2.65,47000
20060321,2.61,2.7,2.61,2.7,170723
20060322,2.7,2.76,2.7,2.75,178522
20060323,2.75,2.76,2.72,2.75,35250
20060324,2.75,2.75,2.71,2.75,57200
20060327,2.75,2.76,2.71,2.72,73587
20060328,2.69,2.72,2.69,2.7,83603
20060329,2.7,2.7,2.7,2.7,23500
20060330,2.7,2.7,2.7,2.7,46000
20060331,2.7,2.7,2.67,2.7,76470
20060403,2.69,2.7,2.66,2.66,32500
20060404,2.68,2.7,2.66,2.66,47977
20060405,2.68,2.69,2.63,2.69,96300
20060406,2.66,2.66,2.66,2.66,14500
20060407,2.66,2.66,2.66,2.66,375
20060410,2.61,2.66,2.6,2.66,35475
20060411,2.66,2.69,2.6,2.65,294196
20060412,2.69,2.72,2.65,2.72,95299
20060413,2.72,2.72,2.72,2.72,5000
20060418,2.73,2.8,2.73,2.8,39750
20060419,2.89,2.89,2.85,2.89,55000
20060420,2.89,2.89,2.67,2.89,45635
20060421,2.85,2.89,2.85,2.89,46725
20060424,2.89,2.89,2.85,2.89,103100
20060426,2.89,2.89,2.89,2.89,45234
20060427,2.89,2.9,2.88,2.9,110000
20060428,2.89,2.89,2.87,2.89,63000
20060501,2.89,2.89,2.89,2.89,0
20060502,2.85,2.88,2.8,2.86,39250
20060503,2.76,2.84,2.72,2.84,15500
20060504,2.84,2.84,2.84,2.84,15000
