Date,Open,High,Low,Close,Volume
20040707,0.6,0.62,0.55,0.57,1040190
20040708,0.57,0.58,0.55,0.55,425589
20040709,0.56,0.56,0.55,0.55,260010
20040712,0.56,0.56,0.55,0.55,87401
20040713,0.55,0.56,0.54,0.54,276914
20040714,0.54,0.55,0.54,0.54,104400
20040715,0.53,0.54,0.52,0.54,35200
20040716,0.53,0.53,0.52,0.52,57000
20040719,0.52,0.53,0.52,0.53,65000
20040720,0.52,0.53,0.52,0.53,94000
20040721,0.52,0.53,0.52,0.52,166000
20040722,0.52,0.52,0.51,0.52,65500
20040723,0.53,0.53,0.53,0.53,414600
20040726,0.54,0.54,0.53,0.54,37800
20040727,0.53,0.53,0.53,0.53,39000
20040728,0.53,0.53,0.53,0.53,13000
20040729,0.54,0.54,0.53,0.53,164000
20040730,0.53,0.53,0.53,0.53,32000
20040802,0.53,0.54,0.53,0.53,43000
20040803,0.54,0.54,0.53,0.53,36000
20040804,0.53,0.53,0.53,0.53,224000
20040805,0.53,0.54,0.53,0.54,55500
20040806,0.53,0.54,0.53,0.53,73000
20040809,0.52,0.53,0.52,0.53,8100
20040810,0.54,0.54,0.53,0.53,24500
20040811,0.53,0.54,0.53,0.54,35500
20040812,0.53,0.53,0.52,0.52,11500
20040813,0.52,0.52,0.52,0.52,9000
20040816,0.52,0.52,0.52,0.52,4845
20040817,0.53,0.53,0.53,0.53,12500
20040818,0.52,0.52,0.52,0.52,23000
20040819,0.52,0.52,0.52,0.52,39786
20040820,0.52,0.52,0.52,0.52,0
20040823,0.52,0.52,0.52,0.52,839000
20040824,0.52,0.53,0.52,0.53,52000
20040825,0.53,0.53,0.52,0.52,22510
20040826,0.53,0.53,0.53,0.53,27490
20040827,0.53,0.53,0.52,0.52,136888
20040830,0.52,0.52,0.52,0.52,38112
20040831,0.52,0.52,0.52,0.52,0
20040901,0.52,0.52,0.52,0.52,12000
20040902,0.52,0.52,0.5,0.5,14000
20040903,0.52,0.52,0.52,0.52,16000
20040906,0.51,0.51,0.51,0.51,10783
20040907,0.51,0.52,0.5,0.52,93500
20040908,0.51,0.51,0.51,0.51,20000
