Date,Open,High,Low,Close,Volume
20101122,2.54,2.68,2.53,2.65,476315600
20101123,2.65,2.72,2.65,2.66,158644000
20101124,2.65,2.71,2.64,2.7,44128270
20101125,2.72,2.81,2.72,2.8,47173180
20101126,2.82,2.88,2.81,2.84,31979400
20101129,2.84,2.84,2.76,2.77,26808270
20101130,2.78,2.8,2.73,2.8,181638300
20101201,2.78,2.8,2.74,2.78,9754970
20101202,2.79,2.79,2.68,2.73,11438960
20101203,2.7,2.73,2.67,2.69,22877300
20101206,2.69,2.69,2.6,2.68,25674630
20101207,2.7,2.7,2.66,2.7,11248780
20101208,2.71,2.73,2.68,2.69,11835290
20101209,2.7,2.7,2.68,2.69,10392100
20101210,2.69,2.71,2.66,2.7,4580962
20101213,2.71,2.77,2.7,2.77,9105090
20101214,2.78,2.83,2.76,2.83,12273310
20101215,2.83,2.84,2.8,2.82,9643560
20101216,2.84,2.9,2.82,2.9,12857470
20101217,2.89,2.9,2.86,2.88,7080167
20101220,2.87,2.88,2.85,2.85,3015631
20101221,2.87,2.87,2.83,2.84,4244144
20101222,2.84,2.85,2.75,2.8,8580816
20101223,2.8,2.8,2.76,2.78,5841664
20101224,2.78,2.79,2.77,2.78,1154971
20101229,2.75,2.75,2.72,2.73,3700451
20101230,2.73,2.74,2.71,2.72,1603547
20101231,2.71,2.75,2.7,2.75,2388056
20110104,2.73,2.81,2.7,2.8,9337890
20110105,2.8,2.8,2.73,2.77,4273225
20110106,2.74,2.75,2.65,2.66,11290040
20110107,2.64,2.72,2.6,2.71,10299780
20110110,2.72,2.78,2.7,2.77,4463018
20110111,2.73,2.73,2.66,2.68,7422830
20110112,2.66,2.68,2.63,2.68,11262820
20110113,2.7,2.76,2.7,2.74,10901980
20110114,2.74,2.8,2.72,2.78,5606030
20110117,2.78,2.83,2.77,2.78,6628549
20110118,2.74,2.75,2.71,2.73,2353028
20110119,2.72,2.79,2.72,2.79,2384717
20110120,2.77,2.85,2.74,2.82,4425027
20110121,2.8,2.8,2.76,2.78,10204330
20110124,2.77,2.78,2.71,2.73,8287273
20110125,2.74,2.75,2.72,2.72,2250172
20110127,2.74,2.8,2.74,2.8,8472410
20110128,2.8,2.83,2.76,2.83,8407128
20110131,2.79,2.82,2.77,2.8,2109809
20110201,2.8,2.81,2.75,2.79,7143308
20110202,2.8,2.8,2.75,2.78,4706054
20110203,2.79,2.83,2.79,2.82,1848034
20110204,2.85,2.93,2.84,2.89,10569040
20110207,2.89,2.91,2.87,2.9,7059486
20110208,2.88,2.96,2.87,2.96,14598070
20110209,2.96,3.02,2.95,2.98,15694110
20110210,2.98,2.99,2.93,2.93,9503455
20110211,2.93,2.95,2.86,2.86,6308917
20110214,2.88,2.9,2.87,2.89,2552841
20110215,2.88,2.92,2.88,2.9,15202810
20110216,2.9,2.93,2.89,2.9,6556853
20110217,2.92,3.01,2.91,3,7737529
20110218,3,3.13,3,3.1,8344130
20110221,3.1,3.18,3.1,3.15,4807295
20110222,3.14,3.15,3.08,3.12,6216918
20110223,3.09,3.1,3.04,3.08,7917017
20110224,3.06,3.12,3.05,3.08,9939173
20110225,3.06,3.09,3.05,3.07,15374980
20110228,3.15,3.22,3.14,3.21,25468500
20110301,3.21,3.23,3.18,3.2,51442750
20110302,3.21,3.23,3.14,3.17,37018770
20110303,3.17,3.2,3.16,3.18,14481520
20110304,3.19,3.23,3.18,3.21,23442940
20110307,3.2,3.24,3.19,3.23,16371320
20110308,3.22,3.24,3.18,3.24,151969400
20110309,3.21,3.27,3.19,3.21,30389470
20110310,3.19,3.2,3.13,3.15,20967390
20110311,3.12,3.15,3.09,3.11,23899450
20110314,3.1,3.17,3.1,3.15,30258460
20110315,3.17,3.23,3.14,3.16,21212100
20110316,3.18,3.2,3.13,3.18,11676630
20110317,3.18,3.21,3.14,3.2,16498620
20110318,3.2,3.31,3.19,3.3,10437720
20110321,3.29,3.3,3.24,3.25,5827857
20110322,3.28,3.28,3.22,3.23,5648857
20110323,3.21,3.23,3.17,3.19,7239042
20110324,3.2,3.24,3.2,3.24,5886746
20110325,3.25,3.28,3.22,3.23,5709026
20110328,3.23,3.28,3.23,3.26,3945440
20110329,3.28,3.31,3.25,3.29,7743507
20110330,3.3,3.42,3.29,3.41,13136380
