Date,Open,High,Low,Close,Volume
19920102,7.85,7.95,7.85,7.9,140000
19920103,7.88,7.92,7.86,7.9,127033
19920106,8.011,8.08,7.92,7.92,230700
19920107,7.913,7.914,7.85,7.89,221200
19920108,7.88,7.94,7.85,7.88,284565
19920109,7.86,7.93,7.86,7.9,301435
19920110,7.9,7.92,7.88,7.9,600800
19920113,7.87,7.89,7.75,7.75,232900
19920114,7.7,7.7,7.6,7.66,411600
19920115,7.7,7.8,7.7,7.8,232700
19920116,7.78,7.8,7.6,7.6,349700
19920117,7.6,7.6,7.38,7.42,969700
19920120,7.429,7.45,7.36,7.36,827086
19920121,7.353,7.42,7.35,7.38,525200
19920122,7.353,7.47,7.34,7.44,516100
19920123,7.49,7.52,7.44,7.45,406336
19920124,7.43,7.5,7.38,7.41,736700
19920128,7.42,7.43,7.39,7.41,507040
19920129,7.469,7.47,7.36,7.4,817300
19920130,7.323,7.38,7.3,7.33,1096100
19920131,7.36,7.36,7.32,7.32,3383000
19920203,7.3,7.33,7.26,7.27,314800
19920204,7.24,7.27,7.12,7.16,422450
19920205,7.2,7.2,7.1,7.12,962700
19920206,7.116,7.12,7.03,7.05,2089700
19920207,7.06,7.1,6.91,6.91,1166700
19920210,6.85,7.12,6.85,7.12,428500
19920211,7.206,7.29,7.206,7.27,701050
19920212,7.32,7.34,7.16,7.2,145750
19920213,7.244,7.27,7.16,7.16,458500
19920214,7.14,7.16,7.05,7.06,658716
19920217,7.104,7.11,7.03,7.1,346800
19920218,7.102,7.15,7.1,7.13,270550
19920219,7.13,7.26,7.13,7.2,499350
19920220,7.224,7.3,7.22,7.26,532500
19920221,7.315,7.35,7.23,7.23,532339
19920224,7.245,7.3,7.22,7.3,681000
19920225,7.32,7.47,7.32,7.44,456800
19920226,7.45,7.5,7.43,7.45,599625
19920227,7.46,7.46,7.38,7.41,423875
19920228,7.402,7.44,7.36,7.44,292800
19920302,7.44,7.55,7.44,7.55,185250
19920303,7.548,7.61,7.5,7.61,714000
19920304,7.65,7.65,7.5,7.5,193900
19920305,7.497,7.57,7.48,7.54,209550
19920306,7.52,7.56,7.5,7.53,694000
19920309,7.52,7.55,7.5,7.5,1052400
19920310,7.5,7.53,7.5,7.51,182725
19920311,7.53,7.54,7.45,7.45,274000
19920312,7.441,7.47,7.4,7.42,449500
19920313,7.373,7.4,7.36,7.4,419850
19920316,7.44,7.44,7.36,7.36,279200
19920317,7.364,7.37,7.24,7.28,767093
19920318,7.301,7.32,7.25,7.28,258000
19920319,7.274,7.3,7.27,7.29,427650
19920320,7.3,7.3,7.28,7.28,368000
19920323,7.28,7.3,7.27,7.27,350400
19920324,7.27,7.29,7.26,7.29,306750
19920325,7.28,7.33,7.28,7.31,387200
19920326,7.301,7.32,7.29,7.29,166600
19920327,7.293,7.3,7.28,7.29,412300
19920330,7.27,7.3,7.26,7.29,265400
19920331,7.305,7.37,7.3,7.35,1419900
19920401,7.15,7.15,7.07,7.08,4539360
19920402,7.063,7.08,7,7.03,1202000
19920403,7,7.05,7,7.04,153700
19920406,7.05,7.13,7.04,7.12,555100
19920407,7.15,7.18,7.13,7.15,1038800
19920408,7.08,7.09,7.03,7.06,475300
