Date,Open,High,Low,Close,Volume
20050610,0.78,0.78,0.76,0.765,5447290
20050614,0.77,0.79,0.77,0.78,577160
20050615,0.775,0.775,0.77,0.77,7310000
20050616,0.77,0.77,0.755,0.755,642233
20050617,0.75,0.755,0.75,0.755,835647
20050620,0.76,0.76,0.755,0.755,106947
20050621,0.76,0.76,0.755,0.755,681933
20050622,0.75,0.75,0.75,0.75,377100
20050623,0.74,0.75,0.73,0.73,221700
20050624,0.73,0.745,0.73,0.73,819054
20050627,0.725,0.73,0.7,0.71,135000
20050628,0.73,0.73,0.73,0.73,60000
20050629,0.735,0.745,0.725,0.745,135830
20050630,0.745,0.745,0.74,0.745,323170
20050701,0.745,0.75,0.74,0.75,256700
20050704,0.75,0.755,0.75,0.75,702000
20050705,0.75,0.75,0.74,0.745,421300
20050706,0.74,0.75,0.74,0.75,895783
20050707,0.75,0.75,0.745,0.745,980217
20050708,0.74,0.745,0.73,0.74,468918
20050711,0.74,0.745,0.74,0.745,59800
20050712,0.745,0.745,0.74,0.745,325950
20050713,0.74,0.74,0.735,0.735,53339
20050714,0.74,0.74,0.74,0.74,191560
20050715,0.74,0.74,0.735,0.735,365000
20050718,0.735,0.74,0.735,0.74,36200
20050719,0.74,0.74,0.735,0.74,476881
20050720,0.74,0.74,0.73,0.735,249000
20050721,0.735,0.735,0.73,0.73,4870961
20050722,0.73,0.73,0.725,0.73,216500
20050725,0.725,0.73,0.725,0.73,148414
20050726,0.73,0.73,0.725,0.725,40000
20050727,0.73,0.74,0.725,0.73,1095370
20050728,0.74,0.75,0.74,0.745,324656
20050729,0.745,0.76,0.745,0.76,1136663
20050801,0.76,0.76,0.76,0.76,89000
20050802,0.76,0.76,0.755,0.76,1245899
20050803,0.765,0.77,0.76,0.76,4429454
20050804,0.765,0.765,0.76,0.76,452000
20050805,0.765,0.765,0.76,0.765,106000
20050808,0.76,0.76,0.755,0.755,163300
20050809,0.76,0.76,0.755,0.76,63375
