Date,Open,High,Low,Close,Volume
20181121,12.49,13.37,12.3,12.75,8752527
20181122,12.85,12.91,12.21,12.75,5673815
20181123,12.75,12.85,12.62,12.84,5474121
20181126,12.84,13.3,12.72,13.11,5085525
20181127,13.05,13.13,12.75,12.89,6747945
20181128,12.12,12.74,12.06,12.7,10082050
20181129,12.56,12.66,12.25,12.39,8038728
20181130,12.02,12.17,11.71,11.71,15507960
20181203,11.53,11.64,11.26,11.62,7041600
20181204,11.4,11.59,11.4,11.49,10601220
20181205,11.35,12.08,11.34,11.82,8646218
20181206,11.55,12.13,11.55,12.1,4583350
20181207,12.05,12.78,12.03,12.6,9192109
20181210,12.46,12.585,12.33,12.49,5910984
20181211,12.27,12.415,12.1,12.41,5395786
20181212,12.37,12.45,12.1,12.23,7801056
20181213,12.22,12.3,11.99,12.1,3975657
20181214,11.81,11.89,11.71,11.72,5113674
20181217,11.65,12.09,11.61,11.93,4120952
20181218,11.78,12.035,11.71,11.72,3725823
20181219,11.61,11.835,11.56,11.82,4364977
20181220,12,12.28,11.85,12.05,6923134
20181221,12,12.125,11.46,11.61,6351418
20181224,11.49,11.7,11.34,11.7,1445445
20181227,11.8,11.84,11.65,11.77,2216127
20181228,11.7,12,11.7,12,1605489
20181231,12,12.04,11.74,11.74,1230501
20190102,11.75,11.88,11.71,11.71,1098216
20190103,11.71,12,11.71,11.99,1599882
20190104,11.81,11.88,11.71,11.81,2127786
20190107,11.91,11.98,11.65,11.71,2266452
20190108,11.6,11.77,11.46,11.72,3262339
20190109,11.76,11.85,11.67,11.85,3009235
20190110,11.92,11.95,11.57,11.66,4299196
20190111,11.6,11.68,11.5,11.53,3018688
20190114,11.53,11.89,11.5,11.89,2914418
20190115,11.78,11.83,11.6,11.76,3237995
20190116,11.75,11.99,11.7,11.88,2658982
20190117,11.83,12.1,11.79,12.08,3841166
20190118,12.05,12.36,12.05,12.32,3555168
20190121,12.48,12.695,12.45,12.66,3098029
20190122,12.6,12.79,12.51,12.74,2082084
20190123,12.73,12.74,12.51,12.59,4244315
20190124,12.5,12.53,12.29,12.45,3918229
20190125,12.41,12.81,12.37,12.75,2524424
20190129,12.63,12.65,12.51,12.59,4137948
20190130,12.55,12.76,12.51,12.75,7627636
20190131,12.66,12.705,12.49,12.51,3365225
20190201,12.51,12.69,12.5,12.6,2403879
20190204,12.6,12.7,12.48,12.59,1599385
20190205,12.6,12.765,12.54,12.73,2674544
20190206,12.48,12.6,12.37,12.41,5988786
20190207,12.38,12.38,12.085,12.27,4491267
20190208,12.2,12.39,12.1,12.39,2600859
20190211,12.38,12.45,12.28,12.41,1584247
20190212,12.25,12.335,12.2,12.26,3474739
20190213,12.3,12.35,12.1,12.26,4323911
20190214,12.31,12.6,12.29,12.5,2321669
20190215,12.45,12.6,12.39,12.6,2229398
20190218,12.6,12.65,12.5,12.59,1600572
20190219,12.13,12.44,12.08,12.08,10815320
20190220,11.87,11.87,11.32,11.37,8992605
20190221,11.27,11.34,11.12,11.34,8248226
20190222,11.23,11.54,11.205,11.53,6101503
20190225,11.5,11.53,11.33,11.46,5619601
20190226,11.36,11.57,11.36,11.55,3853484
20190227,11.45,11.55,11.415,11.53,3207987
20190228,11.45,11.46,11.31,11.33,7435078
20190301,11.38,11.425,11.32,11.39,2584597
20190304,11.4,11.435,11.355,11.4,1916073
20190305,11.25,11.43,11.22,11.38,3178866
20190306,11.32,11.395,11.29,11.38,8521062
20190307,11.38,11.695,11.37,11.55,7761328
20190308,11.44,11.54,11.37,11.42,4363770
20190311,11.42,11.42,11.25,11.28,2583331
20190312,11.35,11.415,11.155,11.23,2812548
20190313,11.19,11.44,11.13,11.38,3801270
20190314,11.32,11.37,11.18,11.25,4230194
20190315,11.25,11.45,11.24,11.45,7617288
20190318,11.45,11.52,11.34,11.45,2127449
20190319,11.38,11.44,11.33,11.38,5080876
20190320,11.43,11.71,11.4,11.66,3194009
20190321,11.53,11.6,11.45,11.58,4837646
20190322,11.58,11.7,11.55,11.68,2867253
20190325,11.65,11.715,11.6,11.7,1722992
20190326,11.72,12.07,11.72,11.96,6145067
20190327,11.88,11.91,11.7,11.89,2588527
20190328,11.85,11.87,11.57,11.83,3989893
20190329,11.8,11.87,11.76,11.85,4389880
20190401,11.86,12.05,11.86,12.02,3030221
20190402,11.99,12.1,11.91,12.08,2095249
20190403,12.1,12.24,12.06,12.2,2773224
20190404,12.15,12.19,12.1,12.18,1864190
20190405,12.1,12.18,12.02,12.12,2115434
20190408,12.18,12.24,12.13,12.21,1650008
20190409,12.18,12.27,12.17,12.24,1683964
20190410,12.23,12.3,12.165,12.21,1641165
20190411,12.19,12.25,12.085,12.1,1511750
20190412,12.15,12.29,12.06,12.29,2069196
20190415,12.28,12.44,12.245,12.42,1982221
20190416,12.33,12.54,12.33,12.51,1945182
20190417,12.45,12.5,12.32,12.4,2134528
20190418,12.48,12.52,12.355,12.45,1515390
20190423,12.45,12.52,12.37,12.45,1769691
20190424,12.49,12.6,12.45,12.54,3093467
20190426,12.56,12.65,12.52,12.6,2041048
20190429,12.61,12.7,12.555,12.64,1860804
20190430,12.65,12.7,12.57,12.61,2077306
20190501,12.67,12.68,12.45,12.65,1481499
20190502,12.6,12.7,12.51,12.6,2232078
20190503,12.61,12.69,12.54,12.66,1361911
20190506,12.56,12.7,12.46,12.64,1936760
20190507,12.66,12.85,12.61,12.81,1879788
20190508,12.75,12.81,12.69,12.74,1307970
20190509,12.62,12.75,12.62,12.71,1389647
20190510,12.65,12.77,12.64,12.7,2196196
20190513,12.64,12.85,12.64,12.77,1358493
20190514,12.65,12.8,12.61,12.65,1517073
20190515,12.61,12.68,12.52,12.63,1755370
20190516,12.6,12.64,12.5,12.57,2949581
20190517,12.75,12.96,12.7,12.93,2711621
20190520,12.93,13,12.82,12.92,2165016
20190521,12.84,13.12,12.82,13.04,3723111
20190522,13,13.12,12.92,12.93,4541790
20190523,13,13,12.79,12.87,1822735
20190524,12.75,12.83,12.41,12.43,3332689
20190527,12.4,12.54,12.34,12.5,1974550
20190528,12.5,12.6,12.45,12.57,4277110
20190529,12.57,12.71,12.555,12.58,1532891
20190530,12.63,12.7,12.48,12.53,2697507
20190531,12.48,12.54,12.4,12.45,3176402
20190603,12.33,12.55,12.32,12.54,2209188
20190604,12.56,12.74,12.52,12.65,2340845
20190605,12.71,12.75,12.67,12.74,1632907
20190606,12.71,12.78,12.6,12.65,1849817
20190607,12.7,12.95,12.65,12.94,2125275
20190611,12.94,13.01,12.9,12.99,2327915
20190612,13.05,13.26,13.02,13.21,2072645
20190613,13.24,13.3,13.12,13.17,1385209
20190614,13.16,13.16,12.94,13.01,1736095
20190617,12.93,12.95,12.77,12.77,2189258
20190618,13.05,13.69,12.85,13.21,8200189
20190619,13.41,13.83,13.39,13.78,5522582
20190620,13.95,14.04,13.81,13.83,5487305
20190621,13.75,13.8,13.42,13.42,8498548
20190624,13.4,13.4,13,13.11,3320498
20190625,13.18,13.24,12.91,13.06,3118491
20190626,13.03,13.245,12.99,13.22,3064391
20190627,13.16,13.37,13.16,13.33,1791695
20190628,13.3,13.56,13.27,13.35,3798640
20190701,13.44,13.59,13.23,13.23,2748203
20190702,13.24,13.48,13.24,13.37,1681277
20190703,13.35,13.73,13.3,13.65,2074048
20190704,13.66,13.75,13.59,13.65,1180750
20190705,13.69,13.85,13.68,13.75,1582786
20190708,13.69,13.79,13.62,13.65,920224
20190709,13.75,13.93,13.73,13.92,1777824
20190710,13.93,14.12,13.89,14.03,2300575
20190711,14,14.065,13.82,13.89,2219490
20190712,13.95,14.05,13.85,13.97,1905495
20190715,13.9,13.95,13.75,13.84,1680781
20190716,13.88,13.95,13.79,13.86,2032709
20190717,13.85,14.05,13.84,14.01,1356653
20190718,13.98,14.035,13.92,13.96,1197898
20190719,13.91,14.09,13.88,13.93,1294407
20190722,13.9,13.94,13.63,13.72,2983081
20190723,13.72,13.85,13.68,13.83,1557384
20190724,13.86,14.02,13.85,13.98,2512297
20190725,14.07,14.23,14.045,14.19,1968583
20190726,14.18,14.275,14.095,14.17,2779022
20190729,14.31,14.35,14.165,14.23,1806832
20190730,14.29,14.38,14.26,14.31,1302528
20190731,14.31,14.39,14.19,14.2,5758387
20190801,14.02,14.18,13.93,14.05,2579302
20190802,14.1,14.15,13.98,14.02,1849539
20190805,14,14.02,13.83,13.83,1574443
20190806,13.5,13.65,13.35,13.54,3563770
20190807,13.55,13.78,13.545,13.72,2358329
20190808,13.6,13.67,13.51,13.61,2225856
20190809,13.64,13.69,13.465,13.52,4825433
20190812,13.52,13.6,13.49,13.57,1378162
20190813,13.5,13.62,13.42,13.5,1945059
20190814,13.56,13.58,13.48,13.55,1932381
20190815,13.38,13.4,13.15,13.15,2825190
20190816,13.16,13.25,13.14,13.14,1725651
20190819,13.25,13.38,13.17,13.2,1676982
20190820,13.2,13.26,13.105,13.23,3883298
20190821,13.2,13.39,13.17,13.24,2489347
20190822,13.52,13.84,13.5,13.52,4538093
20190823,13.6,13.905,13.6,13.84,3723935
20190826,13.73,13.77,13.62,13.66,2993258
20190827,13.6,13.66,13.47,13.56,3036021
20190828,13.2,13.48,13.13,13.42,6845495
20190829,13.45,13.69,13.38,13.62,3330355
20190830,13.74,13.93,13.67,13.84,2880423
20190902,13.8,13.94,13.73,13.89,1988449
20190903,13.9,14.175,13.86,14.15,2724174
20190904,13.96,14.22,13.95,14.22,3787375
20190905,14.26,14.66,14.255,14.66,3655716
20190906,14.65,14.75,14.62,14.69,4151569
20190909,14.71,14.78,14.65,14.71,2044221
20190910,14.71,14.77,14.65,14.77,2437455
20190911,14.73,14.9,14.68,14.9,4002321
20190912,14.98,15.16,14.82,14.85,3362346
20190913,14.85,14.925,14.6,14.67,3291530
20190916,14.55,14.75,14.51,14.75,2724950
20190917,14.69,14.78,14.65,14.78,2876414
20190918,14.86,14.9,14.58,14.67,3320641
20190919,14.8,14.97,14.71,14.97,8760028
20190920,15.06,15.11,14.7,14.78,5480139
20190923,14.87,15.01,14.82,15,2608215
20190924,15.03,15.37,14.96,15.37,3878933
20190925,15.22,15.29,15.01,15.12,3070363
20190926,15.18,15.24,15.015,15.15,2472879
20190927,15.26,15.33,15.18,15.27,5012681
20190930,15.3,15.56,15.24,15.4,2378147
20191001,15.44,15.61,15.355,15.57,2559662
20191002,15.53,15.55,15.21,15.24,4331268
20191003,14.95,15.09,14.86,14.94,3815162
20191004,14.94,14.96,14.81,14.9,1585872
20191007,14.93,15.06,14.93,15.06,3758486
20191008,15.23,15.4,15.17,15.28,3979209
20191009,15.12,15.18,15.08,15.09,2977926
20191010,15.13,15.23,15.05,15.2,1859131
20191011,15.3,15.37,15.23,15.37,1752633
20191014,15.4,15.42,15.19,15.19,2186234
20191015,15.17,15.33,15.16,15.26,2219077
20191016,15.48,15.49,15.34,15.4,3499200
20191017,15.38,15.39,15.2,15.25,2482074
20191018,15.16,15.18,14.95,15,2447489
20191021,14.97,15.005,14.88,14.95,2187254
20191022,15.03,15.07,14.9,14.94,2266032
20191023,14.9,14.98,14.78,14.97,2622899
20191024,15.09,15.13,14.885,14.95,1654734
20191025,15.03,15.04,14.95,14.96,2216640
20191028,14.82,14.83,14.55,14.56,3453949
20191029,14.67,15.06,14.66,15.01,2873391
20191030,14.98,15.07,14.775,14.84,1822318
20191031,14.92,15.02,14.81,14.99,2294405
20191101,14.9,15.03,14.83,15.02,1225225
20191104,15.05,15.15,14.94,14.99,1315421
20191105,15.05,15.07,14.92,14.99,954356
20191106,14.99,15.08,14.9,14.94,1606496
20191107,15.01,15.29,15,15.28,2285566
20191108,15.28,15.28,15.11,15.25,1560410
20191111,15.28,15.49,15.21,15.44,1146444
20191112,15.49,15.53,15.39,15.53,1909826
20191113,15.55,15.59,15.09,15.16,3043835
20191114,15.28,15.48,15.21,15.44,1496120
20191115,15.48,15.74,15.45,15.65,2089479
20191118,15.69,15.72,15.54,15.67,1225149
20191119,15.64,15.77,15.56,15.72,1780744
20191120,15.57,15.79,15.56,15.68,2279758
20191121,15.5,15.74,15.475,15.71,2587202
20191122,15.66,15.75,15.48,15.63,1893035
20191125,15.68,15.73,15.55,15.68,1326574
20191126,15.75,16.17,15.75,16.17,8380140
20191127,16.14,16.37,16.12,16.34,1772653
20191128,16.5,16.6,16.23,16.24,1755564
20191129,16.18,16.36,16.18,16.26,2163004
20191202,16.18,16.48,16.18,16.35,2291637
20191203,16.07,16.19,15.63,15.67,2372463
20191204,15.4,15.48,15.17,15.22,3158883
20191205,15.42,15.5,15.15,15.35,2261705
20191206,15.32,15.36,15.2,15.26,1161014
20191209,15.3,15.355,15.21,15.3,1336233
20191210,15.25,15.28,15.1,15.19,2614635
20191211,15.19,15.36,15.14,15.3,1633865
20191212,15.23,15.26,15.12,15.19,3454594
20191213,15.15,15.16,15,15.09,1984910
20191216,15.1,15.35,15.1,15.23,2673441
20191217,15.23,15.43,15.23,15.32,1779244
20191218,15.44,15.49,15.3,15.31,2940963
20191219,15.42,15.49,15.3,15.37,4204377
20191220,15.41,15.49,15.295,15.36,3946367
20191223,15.38,15.49,15.31,15.43,825218
20191224,15.37,15.37,15.2,15.25,512682
20191227,15.23,15.35,15.185,15.33,998163
20191230,15.35,15.38,15.27,15.34,606014
20191231,15.18,15.2,14.84,14.84,1159268
20200102,14.84,15.125,14.84,15.02,1103743
20200103,15.22,15.26,14.97,15.03,1052276
20200106,14.96,14.99,14.82,14.98,1431816
20200107,15.08,15.24,15.06,15.2,1318148
20200108,15.23,15.24,14.98,15.2,1328031
20200109,15.28,15.32,15.12,15.22,4860134
20200110,15.37,15.66,15.33,15.66,3188374
20200113,15.35,15.53,15.27,15.47,1085176
20200114,15.6,15.88,15.5,15.69,3947789
20200115,15.73,15.73,15.5,15.63,4146626
20200116,15.78,16.03,15.74,15.87,4159204
20200117,15.88,15.97,15.86,15.92,1402713
20200120,15.94,16,15.87,15.93,1619748
20200121,15.95,16.13,15.94,16.13,1714855
20200122,16.31,16.62,16.27,16.62,4605611
20200123,16.65,16.69,16.19,16.3,5491947
20200124,16.46,16.49,16.3,16.3,1292983
20200128,16.01,16.41,15.96,16.31,2329675
20200129,16.4,16.5,16.33,16.33,1952615
20200130,16.33,16.43,16.23,16.36,2072840
20200131,16.48,16.55,16.41,16.55,4008984
20200203,16.4,16.55,16.33,16.5,1858041
20200204,16.63,16.82,16.495,16.81,4199407
20200205,17,17.02,16.65,16.65,4593584
20200206,16.97,16.97,16.47,16.63,4357342
20200207,16.95,17.06,16.78,16.9,4722711
20200210,17,17.085,16.915,17.04,2116628
20200211,17.19,17.25,17.12,17.17,1846463
20200212,17.2,17.24,17.1,17.18,1993925
20200213,17.17,17.17,17,17.1,2413995
20200214,17.13,17.14,16.96,16.98,1777032
20200217,16.94,17,16.83,16.91,1612968
20200218,16.8,17.01,16.66,16.75,2194052
20200219,16.06,16.21,15.96,16.04,74390700
20200220,16.15,16.25,16.125,16.15,12463800
20200221,16.16,16.2,15.98,15.98,4981711
20200224,15.93,15.95,15.65,15.65,6206141
20200225,15.31,15.51,15.27,15.46,6279193
20200226,15.25,15.36,15.1,15.21,8154863
20200227,14.87,14.97,14.555,14.67,9313629
20200228,14.26,14.38,14.18,14.21,8486140
20200302,14.18,14.77,14.03,14.67,8036717
20200303,15.3,15.35,14.95,15.13,9104390
20200304,15.06,15.34,15,15.32,10636110
20200305,15.8,15.99,15.575,15.86,11477780
20200306,15.63,15.81,15.53,15.7,6473920
20200309,15.3,15.53,15.15,15.25,6351136
20200310,14.93,15.55,14.67,15.55,7381480
20200311,15.6,15.68,15.22,15.27,6194041
20200312,15.15,15.32,14.67,14.76,11025280
20200313,14.2,16.05,14.01,16.05,12741300
20200316,15.25,16.92,15.25,15.88,9260964
20200317,16.35,17.22,16.05,17.22,14261350
20200318,17.1,17.42,16.71,16.97,12754210
20200319,17.57,18.09,16.84,17.25,14332260
20200320,17.25,17.78,16.05,16.78,12368720
20200323,15.79,15.88,15.28,15.58,10004220
20200324,15.58,16.14,15.27,16.14,12550040
20200325,17.18,17.2,15.61,16.65,8085650
20200326,16.94,16.94,16.3,16.55,6721667
20200327,16.6,16.74,15.61,15.73,7478347
20200330,15.63,16.865,15.51,16.82,4582873
20200331,15.69,16.03,15.15,15.16,89463840
20200401,15.38,15.94,15.24,15.83,12693560
20200402,15.51,16.48,15.51,16.05,30372070
20200403,16.5,16.5,15.685,15.88,8423083
20200406,16.1,16.44,15.93,16.24,13608250
20200407,16.7,16.89,15.81,16,7439190
20200408,16.08,16.46,16.06,16.13,7979150
20200409,16.2,16.29,15.71,15.95,6744161
20200414,15.99,16.33,15.87,16.33,6699317
20200415,16.49,16.54,16.01,16.2,6018096
20200416,15.91,16.39,15.86,16.39,8443981
20200417,16.55,16.69,16.37,16.43,5841319
20200420,16.43,16.57,16.2,16.2,4161731
20200421,16.2,16.32,15.92,16,3244056
20200422,15.81,16.26,15.81,16.18,4600214
20200423,16.25,16.33,15.95,16.06,2996060
20200424,16.17,16.35,16.05,16.14,4630370
20200427,16.2,16.3,16.03,16.22,3200536
20200428,16.36,16.445,16.1,16.23,3903136
20200429,16.24,16.24,15.32,15.51,12016530
20200430,15.82,15.85,15.51,15.51,8077157
20200501,15.4,15.55,15.14,15.14,4896577
20200504,15.1,15.53,15.1,15.5,5355440
20200505,15.54,15.615,15.28,15.47,3872088
20200506,15.4,15.45,15.22,15.32,3316717
20200507,15.45,15.51,15.2,15.23,5753965
20200508,15.41,15.48,15.1,15.2,3106736
20200511,15.2,15.28,15.1,15.1,2768679
20200512,15.17,15.29,15.11,15.25,4925961
20200513,15.13,15.25,15,15.22,2995538
20200514,15.21,15.29,14.98,15.02,3071042
20200515,15.1,15.21,14.95,15.21,2779601
20200518,15.26,15.26,15.09,15.19,2685260
20200519,15.39,15.39,15.19,15.25,2795984
20200520,15.09,15.27,15.07,15.26,2631848
20200521,15.3,15.3,15.18,15.24,3104641
