Date,Open,High,Low,Close,Volume
19940608,2.41,2.42,2.4,2.42,307100
19940609,2.41,2.42,2.41,2.42,567400
19940610,2.41,2.42,2.4,2.41,309450
19940614,2.412,2.42,2.41,2.42,457434
19940615,2.416,2.42,2.41,2.41,736800
19940616,2.41,2.41,2.39,2.4,1312500
19940617,2.4,2.4,2.37,2.39,557600
19940620,2.37,2.37,2.33,2.35,365500
19940621,2.32,2.33,2.3,2.31,370030
19940622,2.315,2.35,2.31,2.35,275600
19940623,2.35,2.38,2.35,2.37,507100
19940624,2.36,2.39,2.36,2.39,343570
19940627,2.348,2.36,2.34,2.35,326800
19940628,2.351,2.39,2.35,2.38,309650
19940629,2.367,2.37,2.32,2.32,733000
19940630,2.328,2.34,2.31,2.32,205930
19940701,2.32,2.34,2.3,2.32,170500
19940704,2.336,2.37,2.336,2.37,339400
19940705,2.365,2.39,2.36,2.39,284880
19940706,2.39,2.39,2.36,2.36,83500
19940707,2.37,2.37,2.36,2.36,495060
19940708,2.375,2.38,2.36,2.36,469500
19940711,2.36,2.36,2.33,2.33,401600
19940712,2.33,2.35,2.33,2.34,280720
19940713,2.35,2.36,2.34,2.35,77000
19940714,2.35,2.37,2.34,2.36,153400
19940715,2.366,2.39,2.36,2.39,512100
19940718,2.39,2.4,2.38,2.4,183700
19940719,2.39,2.4,2.37,2.38,84700
19940720,2.38,2.38,2.36,2.37,210800
19940721,2.37,2.37,2.35,2.35,635100
19940722,2.35,2.39,2.35,2.39,156535
19940725,2.39,2.39,2.36,2.38,129700
19940726,2.38,2.39,2.36,2.38,120800
19940727,2.378,2.4,2.378,2.4,276170
19940728,2.395,2.41,2.39,2.4,324300
19940729,2.4,2.42,2.4,2.42,125600
19940801,2.41,2.45,2.41,2.43,358500
19940802,2.439,2.48,2.439,2.48,421862
19940803,2.45,2.47,2.44,2.47,631983
19940804,2.45,2.47,2.45,2.47,446700
19940805,2.46,2.47,2.45,2.46,668900
19940808,2.466,2.47,2.45,2.47,1204800
19940809,2.463,2.47,2.44,2.46,226700
19940810,2.46,2.48,2.46,2.48,872800
19940811,2.472,2.48,2.46,2.48,155150
19940812,2.46,2.46,2.43,2.45,95750
19940815,2.45,2.45,2.42,2.42,150700
19940816,2.41,2.42,2.38,2.39,81760
19940817,2.39,2.4,2.38,2.38,79200
19940818,2.39,2.4,2.38,2.4,52160
19940819,2.39,2.4,2.38,2.38,154800
19940822,2.38,2.42,2.38,2.41,124900
19940823,2.41,2.41,2.38,2.38,44500
19940824,2.39,2.42,2.39,2.42,129300
19940825,2.43,2.44,2.43,2.44,521600
19940826,2.4,2.44,2.4,2.44,158900
19940829,2.44,2.45,2.44,2.45,278500
19940830,2.45,2.46,2.44,2.45,942100
19940831,2.454,2.46,2.45,2.45,115800
19940901,2.456,2.47,2.45,2.47,175000
19940902,2.474,2.5,2.474,2.5,214600
19940905,2.49,2.5,2.48,2.48,116100
19940906,2.486,2.54,2.48,2.54,254000
19940907,2.54,2.55,2.53,2.55,464100
