Date,Open,High,Low,Close,Volume
20201023,4.87,4.95,4.585,4.6,5996084
20201026,4.65,4.69,4.25,4.3,3486048
20201027,4.35,4.41,4.06,4.06,9275115
20201028,4.18,4.32,4.095,4.15,3495654
20201029,4.01,4.08,3.925,4.01,3213654
20201030,3.98,4.15,3.91,3.93,5021922
20201102,4,4.08,3.96,4.06,2521423
20201103,4.05,4.11,3.95,3.95,2181633
20201104,4,4.08,3.9,4.04,6004031
20201105,4.1,4.25,4.06,4.25,3143956
20201106,4.3,4.43,4.22,4.32,2885812
20201109,4.35,4.47,4.33,4.4,2897326
20201110,4.44,4.56,4.21,4.3,1221296
20201111,4.4,4.4,4.15,4.28,4301488
20201112,4.24,4.44,4.22,4.36,3547608
20201113,4.31,4.34,4.16,4.21,2679932
20201116,4.27,4.27,4.27,4.27,32531
20201117,4.27,4.3,4.15,4.22,4018195
20201118,4.18,4.24,4.12,4.18,5247602
20201119,4.17,4.32,4.17,4.24,1939983
20201120,4.25,4.3,4.12,4.26,1191297
20201123,4.3,4.38,4.29,4.36,1846056
20201124,4.4,4.58,4.36,4.52,2785229
20201125,4.57,4.6,4.43,4.48,949848
20201126,4.45,4.555,4.45,4.5,853952
20201127,4.47,4.65,4.47,4.65,2347642
20201130,4.72,4.76,4.6,4.6,5124065
20201201,4.57,4.68,4.55,4.6,2334938
20201202,4.65,4.805,4.62,4.76,2427546
20201203,4.8,4.99,4.77,4.98,1831138
20201204,5,5.16,4.99,5.13,1805715
20201207,5.2,5.35,5.19,5.25,1766489
20201208,5.29,5.29,5.07,5.12,2101864
20201209,5.05,5.2,5.02,5.08,2914306
20201210,5.08,5.185,4.93,4.97,2671362
20201211,4.97,5.12,4.91,5,1839994
20201214,4.95,4.95,4.77,4.81,2209285
20201215,4.77,4.78,4.58,4.61,4393929
20201216,4.7,4.75,4.52,4.57,5797064
20201217,4.57,4.73,4.52,4.65,3113419
20201218,4.68,4.8,4.63,4.74,4910468
20201221,4.77,4.98,4.735,4.94,1416138
20201222,4.94,4.96,4.8,4.83,2171609
20201223,4.8,4.87,4.75,4.8,1238095
20201224,4.78,4.86,4.78,4.83,318742
20201229,4.81,4.9,4.81,4.83,978026
20201230,4.82,4.85,4.76,4.82,1202423
20201231,4.77,4.84,4.745,4.8,562154
20210104,4.8,4.88,4.78,4.85,408011
20210105,4.83,4.97,4.83,4.88,1156789
20210106,4.83,4.99,4.725,4.76,2142198
20210107,4.77,4.94,4.77,4.87,1270954
20210108,4.92,4.94,4.61,4.68,1018780
20210111,4.66,4.72,4.63,4.64,1104354
20210112,4.64,4.73,4.61,4.61,1077844
20210113,4.59,4.61,4.55,4.58,1106288
20210114,4.55,4.58,4.5,4.53,994755
20210115,4.51,4.57,4.38,4.42,3181902
20210118,4.35,4.41,4.35,4.39,1520875
20210119,4.41,4.56,4.41,4.54,993046
20210120,4.67,4.7,4.445,4.47,2161935
20210121,4.48,4.67,4.48,4.61,1976988
20210122,4.61,4.71,4.61,4.64,1212352
20210125,4.63,4.74,4.61,4.73,516360
20210127,4.74,4.83,4.49,4.5,2114195
20210128,4.4,4.45,4.32,4.42,1905483
20210129,4.49,4.58,4.31,4.31,4407431
20210201,4.34,4.55,4.3,4.34,1852061
20210202,4.5,4.59,4.31,4.39,1189546
20210203,4.48,4.61,4.4,4.43,2200679
20210204,4.47,4.49,4.38,4.41,2041219
20210205,4.49,4.55,4.4,4.44,2654906
20210208,4.44,4.54,4.42,4.47,3910308
20210209,4.5,4.57,4.45,4.55,1208900
20210210,4.59,4.6,4.48,4.54,3018271
20210211,4.5,4.56,4.5,4.53,1305691
20210212,4.5,4.53,4.45,4.5,1828830
20210215,4.5,4.56,4.47,4.56,480552
20210216,4.58,4.73,4.54,4.64,1416063
20210217,4.6,4.64,4.54,4.57,1725272
20210218,4.58,4.75,4.57,4.7,839024
20210219,4.7,4.72,4.58,4.61,1149653
20210222,4.62,4.85,4.62,4.7,1127838
20210223,4.78,4.85,4.72,4.8,2481801
20210224,4.76,4.77,4.58,4.64,1283513
20210225,4.7,4.75,4.46,4.51,1615658
20210226,4.44,4.55,4.31,4.55,2749273
20210301,4.55,4.55,4.43,4.48,6421894
20210302,4.53,4.6,4.425,4.49,3308153
20210303,4.45,4.51,4.33,4.33,1634307
20210304,4.36,4.42,4.19,4.23,1696076
20210305,4.26,4.26,4.09,4.2,2189621
20210308,4.29,4.33,4.25,4.25,737894
20210309,4.27,4.29,4.11,4.15,1685794
20210310,4.15,4.21,4.08,4.14,2046133
20210311,4.19,4.24,4.08,4.13,952688
20210312,4.15,4.21,4.11,4.16,928723
20210315,4.2,4.2,4.13,4.15,1214640
20210316,4.11,4.24,4.07,4.15,2038464
20210317,4.13,4.16,4.01,4.05,1704221
20210318,4.01,4.17,3.97,4,3040088
20210319,3.97,4,3.91,3.93,4827776
20210322,3.94,3.98,3.85,3.87,1287000
20210323,3.87,3.95,3.86,3.89,1829154
20210324,3.9,3.985,3.87,3.9,904892
20210325,3.91,3.95,3.88,3.92,767488
20210326,3.92,3.98,3.86,3.92,1478081
20210329,3.94,4.045,3.92,3.98,597042
20210330,4.05,4.05,3.9,3.96,1263490
20210331,3.96,4.025,3.91,3.92,1667711
20210401,3.91,4,3.88,4,402095
20210406,4.02,4.08,4,4.02,1724205
20210407,3.96,4.07,3.93,4,935418
20210408,4.02,4.22,4.02,4.17,1304941
20210409,4.09,4.15,4.06,4.11,623036
20210412,4.12,4.16,4.02,4.06,556590
20210413,4.1,4.11,4.06,4.1,630226
20210414,4.12,4.15,4.04,4.13,901940
20210415,4.15,4.21,4.1,4.17,793367
20210416,4.2,4.2,4.03,4.11,649574
20210419,4.14,4.27,4.11,4.11,761116
20210420,4.12,4.17,4.07,4.1,1115814
20210421,4.08,4.26,4.08,4.18,1854018
20210422,4.4,4.5,4.3,4.36,2754520
20210423,4.35,4.41,4.3,4.35,1555274
20210426,4.33,4.35,4.23,4.28,759075
20210427,4.35,4.46,4.32,4.43,1767273
20210428,4.4,4.45,4.33,4.41,1248799
20210429,4.45,4.45,4.36,4.4,3124995
20210430,4.45,4.45,4.31,4.37,995729
20210503,4.32,4.42,4.32,4.35,494762
20210504,4.45,4.5,4.33,4.38,1060160
20210505,4.32,4.45,4.32,4.4,1367719
20210506,4.38,4.41,4.315,4.35,1328495
20210507,4.56,4.56,4.36,4.4,1161677
20210510,4.45,4.52,4.435,4.49,2211496
20210511,4.48,4.53,4.44,4.46,1892965
20210512,4.43,4.55,4.405,4.46,1173054
20210513,4.46,4.57,4.46,4.48,1906926
