Date,Open,High,Low,Close,Volume
20200910,19.74,19.75,19.51,19.57,262422
20200911,19.45,19.52,19.45,19.5,10645
20200914,19.58,19.58,19.55,19.55,3227
20200915,19.55,19.58,19.5,19.5,37840
20200916,19.55,19.76,19.55,19.76,22376
20200917,19.6,19.6,19.6,19.6,522
20200918,19.65,19.65,19.45,19.45,12900
20200921,19.41,19.41,19.29,19.29,3307
20200922,19.33,19.35,19.33,19.35,6230
20200923,19.5,19.75,19.5,19.74,5505
20200924,19.74,19.78,19.74,19.76,12019
20200925,19.9,19.92,19.83,19.92,7040
20200928,20.21,20.21,19.91,19.91,3260
20200929,19.98,19.98,19.88,19.88,2266
20200930,19.76,19.76,19.5,19.5,23250
20201001,19.74,19.74,19.74,19.74,505
20201002,20,20,19.5,19.5,7828
20201005,19.5,19.5,19.5,19.5,0
20201006,19.87,19.87,19.87,19.87,1000
20201007,19.87,19.87,19.87,19.87,0
20201008,20.16,20.22,20.14,20.22,3069
20201009,20.2,20.2,20.19,20.19,7469
20201012,20.1,20.12,20.1,20.12,700
20201013,20.38,20.5,20.37,20.5,51650
20201014,20.35,20.42,20.35,20.42,4835
20201015,20.52,20.52,20.5,20.5,2058
20201016,20.51,20.51,20.51,20.51,243
20201019,20.54,20.55,20.54,20.55,4000
20201020,20.36,20.51,20.36,20.43,25660
20201021,20.39,20.4,20.34,20.34,5844
20201022,20.25,20.25,20,20,18483
20201023,20.21,20.21,20.21,20.21,2455
20201026,20.15,20.21,20.12,20.12,12825
20201027,20.06,20.06,19.76,19.76,2149
20201028,19.71,19.91,19.71,19.91,2069
20201029,19.73,19.73,19.73,19.73,1000
20201030,19.46,19.46,19.43,19.43,10235
20201102,19.42,19.42,19.34,19.35,6700
20201103,19.4,19.72,19.4,19.72,2588
20201104,19.71,19.84,19.71,19.84,2565
20201105,19.99,19.99,19.99,19.99,3575
20201106,19.99,19.99,19.99,19.99,0
20201109,20.3,20.58,20.3,20.57,64713
20201110,21.1,21.11,20.6,20.62,33165
20201111,20.9,21,20.9,21,7507
20201112,21.12,21.12,20.92,20.95,46542
20201113,20.97,20.97,20.83,20.9,13988
20201116,20.9,20.9,20.9,20.9,0
20201117,21.01,21.02,21.01,21.02,5680
20201118,21.01,21.07,21.01,21.07,6003
20201119,21.07,21.14,21.07,21.12,59355
20201120,21.1,21.21,21.09,21.21,8929
20201123,21.05,21.05,21.04,21.05,2945
20201124,21.09,21.09,21.09,21.09,1250
20201125,21.27,21.27,21.27,21.27,11750
20201126,21.25,21.25,21.2,21.2,1430
20201127,21.2,21.2,21.16,21.16,9481
20201130,21.26,21.26,21,21.04,5169
20201201,21.26,21.26,21.26,21.26,2014
20201202,21.2,21.2,21.18,21.18,3509
20201203,21.09,21.12,21.09,21.12,4547
20201204,21.13,21.15,21.13,21.15,9460
20201207,21.28,21.28,21.17,21.17,16456
20201208,21.17,21.17,21.17,21.17,0
20201209,21.17,21.17,21.17,21.17,0
20201210,21.28,21.28,21.28,21.28,700
20201211,21.11,21.11,20.91,20.91,1950
20201214,21.04,21.2,21.04,21.2,48545
20201215,21.2,21.2,21.2,21.2,0
20201216,21.29,21.34,21.28,21.28,2996
20201217,21.32,21.39,21.32,21.39,29
20201218,21.28,21.33,21.28,21.33,9022
20201221,21.33,21.33,21.33,21.33,0
20201222,21.28,21.28,21.22,21.22,540
20201223,21.21,21.21,21.21,21.21,231
20201224,21.36,21.36,21.36,21.36,2775
20201229,21.49,21.49,21.49,21.49,9308
20201230,21.3,21.3,21.3,21.3,500
20201231,21.19,21.19,21.19,21.19,51
20210104,21.19,21.19,21.19,21.19,0
20210105,20.87,20.87,20.87,20.87,479
20210106,20.8,20.81,20.8,20.81,4503
20210107,20.79,20.8,20.79,20.8,15000
20210108,20.76,20.76,20.76,20.76,2050
20210111,20.76,20.76,20.76,20.76,0
20210112,20.87,20.87,20.73,20.73,16979
20210113,20.5,20.52,20.5,20.52,9755
20210114,20.55,20.66,20.55,20.62,2993
20210115,20.62,20.62,20.62,20.62,0
20210118,20.46,20.46,20.46,20.46,750
20210119,20.7,20.7,20.68,20.69,9853
20210120,20.8,20.81,20.79,20.81,3381
20210121,20.89,20.89,20.88,20.89,5239
20210122,20.8,20.8,20.79,20.79,650
20210125,20.82,20.85,20.82,20.85,95
20210127,21,21,21,21,35000
20210128,20.54,20.62,20.54,20.6,3720
20210129,20.85,20.9,20.85,20.9,886
20210201,20.5,20.73,20.5,20.68,3923
20210202,20.68,20.68,20.68,20.68,0
20210203,21,21.29,21,21.29,16000
20210204,21.05,21.05,21.05,21.05,50
20210205,21.3,21.31,21.29,21.29,25350
20210208,21.24,21.24,21.23,21.23,2595
20210209,21.05,21.09,21.05,21.08,8032
20210210,21,21.01,21,21.01,6354
20210211,20.91,20.91,20.91,20.91,1200
20210212,20.86,20.86,20.84,20.86,4290
20210215,20.89,20.93,20.89,20.92,8653
20210216,20.93,20.94,20.85,20.93,44654
20210217,20.81,20.93,20.65,20.65,44615
20210218,20.7,20.7,20.6,20.6,4245
20210219,20.71,20.72,20.5,20.5,5300
20210222,20.39,20.41,20.29,20.41,13000
20210223,20.15,20.24,20.1,20.24,7397
20210224,20.3,20.3,20.3,20.3,100
20210225,20.42,20.47,20.36,20.36,6501
20210226,20.4,20.4,20.07,20.08,2088
20210301,20.33,20.33,20.33,20.33,1000
20210302,20.33,20.33,20.33,20.33,0
20210303,20.4,20.4,20.33,20.33,13716
20210304,20.15,20.17,20.15,20.15,7859
20210305,20.05,20.05,20,20,6567
20210308,20.33,20.33,20.33,20.33,735
20210309,20.33,20.33,20.33,20.33,0
20210310,20.58,20.58,20.49,20.49,10915
20210311,20.49,20.49,20.49,20.49,0
20210312,20.49,20.49,20.49,20.49,0
20210315,20.94,20.94,20.65,20.65,957
20210316,20.84,20.87,20.84,20.87,8140
20210317,20.8,20.8,20.8,20.8,261
20210318,20.89,20.89,20.77,20.77,4263
20210319,20.55,20.79,20.55,20.77,21668
20210322,20.9,20.91,20.9,20.9,28611
20210323,20.94,21.08,20.94,21.04,24036
20210324,21.1,21.13,21.1,21.1,4915
20210325,21.17,21.17,21.17,21.17,760
20210326,21.16,21.23,21.16,21.22,29221
20210329,21.22,21.22,21.22,21.22,0
20210330,21.24,21.24,21.03,21.03,2423
20210331,21.09,21.38,21.09,21.38,5000
20210401,21.07,21.07,21,21,10935
20210406,21.39,21.39,21.39,21.39,6970
20210407,21.4,21.4,21.4,21.4,733
20210408,21.4,21.4,21.4,21.4,0
20210409,21.59,21.59,21.59,21.59,2295
20210412,21.6,21.6,21.57,21.57,1600
20210413,21.62,21.62,21.62,21.62,2280
20210414,21.96,21.96,21.8,21.8,4619
20210415,21.8,21.8,21.75,21.78,4275
20210416,21.9,21.9,21.86,21.86,4542
20210419,21.86,21.96,21.86,21.95,7124
20210420,21.86,21.93,21.85,21.85,96195
20210421,21.7,21.7,21.63,21.68,462
20210422,21.89,21.94,21.89,21.94,4027
20210423,21.92,21.92,21.92,21.92,3
20210426,22,22.01,21.97,21.97,29540
20210427,21.8,21.85,21.8,21.83,11958
20210428,22.17,22.17,21.9,21.9,3689
20210429,22.35,22.35,21.9,21.9,1515
20210430,21.82,21.82,21.75,21.76,910
20210503,21.76,21.76,21.67,21.67,555
20210504,21.65,21.7,21.65,21.7,7730
20210505,21.78,21.87,21.78,21.87,4733
20210506,21.75,21.75,21.7,21.7,22154
20210507,21.59,21.73,21.59,21.67,19710
20210510,21.67,21.67,21.67,21.67,0
20210511,21.67,21.67,21.67,21.67,0
20210512,21.72,21.72,21.67,21.67,5550
20210513,21.6,21.61,21.55,21.55,10564
20210514,21.85,21.85,21.85,21.85,278
20210517,21.77,21.78,21.75,21.75,4340
20210518,21.61,21.67,21.61,21.67,3458
20210519,21.59,21.59,21.27,21.27,6175
20210520,21.53,21.55,21.53,21.55,5315
20210521,21.97,21.97,21.64,21.64,939
20210524,21.85,21.85,21.85,21.85,9670
20210525,21.94,21.94,21.94,21.94,54
20210526,22.06,22.06,22.04,22.06,6238
20210527,22,22.01,22,22.01,7850
20210528,22.13,22.23,22.13,22.23,17822
20210531,22.25,22.28,22.14,22.15,10278
20210601,22.1,22.1,21.98,22.08,989
20210602,22.33,22.33,22.06,22.19,1677
20210603,22.34,22.34,22.34,22.34,2225
20210604,22.5,22.53,22.48,22.53,16168
20210607,22.6,22.6,22.46,22.49,39862
20210608,22.56,22.56,22.5,22.5,2361
20210609,22.77,22.77,22.52,22.52,8318
20210610,22.44,22.65,22.44,22.63,13358
20210611,22.64,22.68,22.54,22.65,6673
20210615,22.91,22.92,22.91,22.92,2367
20210616,22.98,22.98,22.98,22.98,4325
20210617,23.01,23.05,23.01,23.05,6220
20210618,23.22,23.24,23.1,23.1,5107
20210621,22.89,22.89,22.75,22.75,3561
20210622,23.05,23.1,23.05,23.1,611
20210623,23.11,23.11,23.03,23.03,168
20210624,23.03,23.03,23.03,23.03,0
20210625,23.1,23.14,23.06,23.14,530
20210628,23.1,23.11,23.1,23.1,22330
