Date,Open,High,Low,Close,Volume
20041006,1.32,1.34,1.32,1.33,3518649
20041007,1.33,1.34,1.32,1.33,5479404
20041008,1.33,1.33,1.31,1.32,10994320
20041011,1.33,1.33,1.32,1.32,2201382
20041012,1.33,1.34,1.31,1.32,17715910
20041013,1.32,1.32,1.3,1.32,12688050
20041014,1.31,1.31,1.28,1.29,9331676
20041015,1.29,1.29,1.28,1.29,5657262
20041018,1.29,1.29,1.26,1.27,4064772
20041019,1.27,1.28,1.27,1.28,3347077
20041020,1.28,1.29,1.27,1.27,16754750
20041021,1.28,1.29,1.27,1.28,8079561
20041022,1.28,1.28,1.27,1.28,7258183
20041025,1.27,1.27,1.24,1.25,13555440
20041026,1.26,1.26,1.23,1.23,7500514
20041027,1.24,1.26,1.24,1.25,17810460
20041028,1.25,1.26,1.24,1.25,7225175
20041029,1.25,1.29,1.25,1.29,21759830
20041101,1.29,1.29,1.27,1.29,1989746
20041102,1.28,1.28,1.27,1.27,4472769
20041103,1.28,1.3,1.27,1.3,10607250
20041104,1.3,1.3,1.29,1.3,4114304
20041105,1.31,1.31,1.29,1.31,10011750
20041108,1.3,1.31,1.29,1.31,5454989
20041109,1.31,1.31,1.29,1.3,3785830
20041110,1.3,1.31,1.29,1.3,10370300
20041111,1.3,1.3,1.29,1.29,4435344
20041112,1.29,1.31,1.29,1.3,5540137
20041115,1.3,1.31,1.3,1.31,4402115
20041116,1.31,1.31,1.29,1.29,9630034
20041117,1.29,1.3,1.26,1.26,18862970
20041118,1.27,1.29,1.26,1.28,9591687
20041119,1.28,1.28,1.26,1.26,8625259
20041122,1.27,1.27,1.26,1.27,3146595
20041123,1.28,1.28,1.26,1.28,5243275
20041124,1.28,1.3,1.27,1.3,6755925
20041125,1.31,1.32,1.29,1.3,14144410
20041126,1.3,1.3,1.29,1.29,1198555
20041129,1.29,1.29,1.28,1.29,3545327
20041130,1.29,1.31,1.29,1.31,11131800
20041201,1.3,1.32,1.3,1.3,14003440
20041202,1.32,1.33,1.3,1.31,10138020
20041203,1.31,1.31,1.3,1.3,8176033
20041206,1.3,1.32,1.3,1.3,11348490
20041207,1.31,1.32,1.3,1.31,8033488
20041208,1.32,1.34,1.31,1.33,16446510
20041209,1.32,1.35,1.32,1.34,4303989
20041210,1.34,1.35,1.32,1.32,5846903
20041213,1.33,1.33,1.31,1.32,13422810
20041214,1.32,1.32,1.31,1.31,6639661
20041215,1.32,1.33,1.31,1.31,4887328
20041216,1.32,1.33,1.31,1.31,13843650
20041217,1.31,1.34,1.31,1.33,5418972
20041220,1.33,1.34,1.32,1.33,6373169
20041221,1.35,1.35,1.33,1.33,6097892
20041222,1.34,1.34,1.33,1.33,4466376
20041223,1.29,1.3,1.28,1.28,6863976
20041224,1.29,1.29,1.28,1.29,2748251
20041229,1.29,1.3,1.28,1.3,7513389
20041230,1.3,1.31,1.3,1.31,1423931
20041231,1.31,1.33,1.3,1.32,2846180
20050104,1.31,1.35,1.31,1.34,8481008
20050105,1.33,1.35,1.33,1.33,8607877
20050106,1.33,1.34,1.32,1.32,1801896
20050107,1.33,1.33,1.32,1.33,8720851
20050110,1.33,1.33,1.3,1.3,7047928
20050111,1.3,1.31,1.29,1.29,11988440
20050112,1.3,1.32,1.3,1.31,8045864
20050113,1.32,1.33,1.31,1.33,5530709
20050114,1.31,1.32,1.31,1.31,5233973
20050117,1.31,1.32,1.3,1.3,4910060
20050118,1.32,1.32,1.28,1.28,7778601
20050119,1.29,1.3,1.28,1.28,14488160
20050120,1.28,1.31,1.28,1.3,14203810
20050121,1.3,1.31,1.29,1.3,3177391
20050124,1.3,1.31,1.29,1.3,5631864
20050125,1.31,1.31,1.3,1.3,2151321
20050127,1.31,1.32,1.31,1.32,9299001
20050128,1.32,1.32,1.3,1.3,3798461
20050131,1.31,1.31,1.29,1.29,6757993
20050201,1.31,1.31,1.29,1.29,7308881
20050202,1.31,1.31,1.29,1.3,10062600
20050203,1.3,1.3,1.29,1.29,11444990
20050204,1.3,1.3,1.28,1.28,7257391
20050207,1.29,1.3,1.28,1.29,2742281
20050208,1.29,1.31,1.28,1.31,4832520
20050209,1.31,1.31,1.3,1.31,2025597
20050210,1.31,1.31,1.3,1.3,1872661
20050211,1.31,1.32,1.3,1.31,2608171
20050214,1.31,1.32,1.3,1.3,235851600
20050215,1.26,1.27,1.24,1.26,15394460
20050216,1.26,1.26,1.25,1.26,12036000
20050217,1.26,1.26,1.25,1.26,3580255
20050218,1.27,1.27,1.25,1.25,6665370
20050221,1.26,1.26,1.24,1.25,6230836
20050222,1.25,1.26,1.24,1.26,37552520
20050223,1.25,1.27,1.25,1.27,7491993
