Date,Open,High,Low,Close,Volume
20210624,6.5,6.6,5.77,6.02,14644890
20210625,6.23,6.6,6.07,6.1,12733260
20210628,6.15,6.48,6.1,6.33,8012844
20210629,6.21,6.38,6.2,6.2,5251138
20210630,6.21,6.34,6.2,6.29,5827186
20210701,6.25,6.47,6.25,6.37,10111940
20210702,6.28,6.35,6.185,6.2,8764500
20210705,6.15,6.16,6.055,6.12,14309240
20210706,6.1,6.12,6.02,6.07,10438370
20210707,6,6.18,6,6.18,8116014
20210708,6.13,6.25,6.11,6.23,10718840
20210709,6.16,6.25,6.135,6.25,15817540
20210712,6.23,6.3,6.18,6.27,5024901
20210713,6.16,6.33,6.11,6.28,6299115
20210714,6.27,6.34,6.24,6.3,6660996
20210715,6.3,6.35,6.25,6.34,4219108
20210716,6.32,6.51,6.32,6.45,5450814
20210719,6.43,6.46,6.39,6.43,4039827
20210720,6.4,6.42,6.33,6.35,4371387
20210721,6.36,6.52,6.35,6.46,3812565
20210722,6.48,6.57,6.41,6.43,3331769
20210723,6.41,6.47,6.395,6.44,3616568
20210726,6.45,6.49,6.4,6.48,2786972
20210727,6.47,6.6,6.4,6.58,3093460
20210728,6.58,6.72,6.54,6.68,5287014
20210729,6.68,6.68,6.55,6.62,3622920
20210730,6.61,6.68,6.58,6.63,4387937
20210802,6.67,6.83,6.63,6.8,2269911
20210803,6.81,6.91,6.78,6.8,4030247
20210804,6.85,6.91,6.7,6.73,4113040
20210805,6.72,6.92,6.71,6.84,4036724
20210806,6.87,6.94,6.845,6.91,2572003
20210809,6.9,6.95,6.88,6.92,2131708
20210810,6.92,7.04,6.9,7.01,2286605
20210811,7.02,7.06,6.95,6.97,3195180
20210812,7,7.03,6.94,6.97,3516592
20210813,7,7.09,6.96,7.05,3110060
20210816,7.04,7.23,7.02,7.16,2574521
20210817,7.18,7.32,7.17,7.28,4100262
20210818,7.35,7.5,7.31,7.36,4037120
20210819,7.27,7.35,7.13,7.15,4690522
20210820,7.17,7.26,7.15,7.18,1771235
20210823,7.17,7.21,7.1,7.11,1957774
20210824,7.1,7.12,6.97,6.97,3032119
20210825,7.01,7.24,6.98,7.21,3042950
20210826,7.17,7.17,7.01,7.05,3096812
20210827,7.04,7.07,6.94,6.96,3222102
20210830,6.96,7.01,6.82,6.99,3154419
20210831,6.99,7.375,6.99,7.3,8881379
20210901,7.12,7.215,7.03,7.04,4103875
20210902,7,7.025,6.77,6.94,5053307
20210903,6.95,6.97,6.76,6.79,4366970
20210906,6.76,6.83,6.69,6.77,4391462
20210907,6.77,6.86,6.71,6.81,3701831
20210908,6.7,6.735,6.61,6.7,4389797
20210909,6.72,6.74,6.53,6.61,4149283
20210910,6.69,6.75,6.65,6.68,3294158
20210913,6.65,6.76,6.58,6.7,2642494
20210914,6.68,6.7,6.535,6.58,3301375
20210915,6.56,6.57,6.46,6.48,5938818
20210916,6.46,6.53,6.46,6.49,4554022
20210917,6.48,6.5,6.43,6.44,9322905
20210920,6.42,6.71,6.42,6.58,4147549
20210921,6.59,6.81,6.57,6.75,5261890
20210922,6.73,6.82,6.72,6.73,3207502
20210923,6.77,6.92,6.77,6.85,2753226
20210924,6.85,6.9,6.81,6.87,1721783
20210927,6.87,6.89,6.765,6.78,2110208
20210928,6.71,6.79,6.69,6.75,2651171
20210929,6.69,6.87,6.61,6.83,3372183
20210930,6.86,6.99,6.86,6.98,3581486
20211001,6.84,6.94,6.82,6.88,3163676
20211004,7,7.2,6.96,7.19,6681226
20211005,7.14,7.19,7.03,7.12,3073600
20211006,7.15,7.2,6.95,7,3130368
20211007,7.04,7.05,6.81,6.9,3876700
20211008,6.95,7.03,6.87,6.99,3208415
20211011,6.92,6.98,6.83,6.95,4093685
20211012,6.94,7,6.91,6.95,5062407
20211013,6.93,6.95,6.85,6.92,2139566
20211014,6.95,7,6.85,6.85,3313315
20211015,6.89,6.93,6.83,6.93,2363237
20211018,6.94,7.02,6.85,6.86,2831007
20211019,6.83,6.89,6.7,6.71,4486930
20211020,6.75,6.835,6.73,6.79,3372163
20211021,6.8,6.8,6.6,6.64,5228766
20211022,6.64,6.75,6.62,6.73,3237246
20211025,6.76,6.83,6.73,6.8,3131056
20211026,6.84,6.87,6.69,6.73,2890105
20211027,6.73,6.91,6.71,6.85,3166225
20211028,6.8,6.9,6.76,6.85,2199293
20211029,6.85,6.87,6.8,6.8,2593305
20211101,6.85,6.93,6.76,6.92,2428276
20211102,6.9,6.96,6.85,6.87,1317538
20211103,6.9,6.97,6.87,6.94,1707278
20211104,6.95,7.11,6.95,7.1,3327998
20211105,7.1,7.26,7.05,7.22,3533313
20211108,7.25,7.3,7.08,7.18,2945388
20211109,7.11,7.14,7.05,7.07,2641253
20211110,7.1,7.16,7.07,7.1,1656882
20211111,7.09,7.13,7.045,7.11,5279209
20211112,7.1,7.15,7.04,7.07,2685010
20211115,7.11,7.17,7.06,7.11,2546966
20211116,7.12,7.13,7.05,7.09,2133844
20211117,7.12,7.24,7.11,7.14,2546402
20211118,7.18,7.24,7.13,7.16,2823043
20211119,7.22,7.3,7.12,7.13,3620563
20211122,7.11,7.12,7.05,7.08,1540042
20211123,7.1,7.2,7.08,7.16,2070225
20211124,7.18,7.19,7.11,7.12,4007576
20211125,7.17,7.18,7,7.09,2251924
20211126,7.1,7.13,7.03,7.06,3755472
20211129,6.95,6.95,6.72,6.85,6259694
20211130,6.8,6.87,6.72,6.85,12082830
20211201,6.78,6.82,6.71,6.75,3590566
20211202,6.7,6.77,6.68,6.75,2620397
20211203,6.76,6.77,6.65,6.66,3212545
20211206,6.69,6.79,6.65,6.72,2655863
20211207,6.84,6.88,6.74,6.78,2973423
20211208,6.82,6.97,6.82,6.95,4157685
20211209,6.91,6.93,6.85,6.88,3485118
20211210,6.89,6.94,6.79,6.82,2271909
20211213,6.9,6.91,6.81,6.86,2181585
20211214,6.79,6.85,6.59,6.63,6900625
20211215,6.62,6.66,6.52,6.62,4181912
20211216,6.7,6.7,6.59,6.66,5047956
20211217,6.71,7,6.67,6.92,13162780
20211220,6.85,6.94,6.75,6.76,2546679
20211221,6.86,6.88,6.77,6.78,2100838
20211222,6.79,6.84,6.755,6.82,1720839
20211223,6.82,6.85,6.78,6.8,948633
20211224,6.91,6.93,6.77,6.77,1215351
20211229,6.91,6.94,6.84,6.92,1617501
20211230,6.92,6.95,6.83,6.87,1380494
20211231,6.81,6.84,6.74,6.74,1155786
20220104,6.82,6.85,6.76,6.79,1565344
20220105,6.83,6.85,6.73,6.74,1793693
20220106,6.66,6.77,6.61,6.61,2211051
20220107,6.68,6.71,6.64,6.67,1195017
20220110,6.65,6.67,6.61,6.61,1538594
20220111,6.6,6.62,6.51,6.51,2086005
20220112,6.53,6.55,6.38,6.45,4198063
20220113,6.4,6.55,6.395,6.49,3774291
20220114,6.44,6.51,6.42,6.42,2702133
20220117,6.45,6.59,6.44,6.53,3050278
20220118,6.54,6.59,6.46,6.46,2470667
20220119,6.41,6.5,6.39,6.41,2534189
20220120,6.35,6.41,6.33,6.38,3045842
20220121,6.37,6.42,6.305,6.32,2651751
20220124,6.3,6.39,6.28,6.35,3101664
20220125,6.32,6.34,6.155,6.26,6044119
20220127,6.34,6.36,6.09,6.18,4721238
20220128,6.3,6.36,6.19,6.34,15039130
20220131,6.33,6.37,6.28,6.28,3744112
20220201,6.34,6.41,6.3,6.37,2863851
20220202,6.38,6.4,6.32,6.34,1889148
20220203,6.37,6.39,6.27,6.29,3225915
20220204,6.27,6.35,6.235,6.35,3614051
20220207,6.3,6.33,6.25,6.28,2851498
20220208,6.25,6.31,6.21,6.28,5117596
20220209,6.25,6.34,6.25,6.34,6528021
20220210,6.32,6.37,6.28,6.31,2062788
20220211,6.25,6.29,6.225,6.24,1980081
20220214,6.21,6.31,6.19,6.27,1872729
20220215,6.22,6.32,6.21,6.3,2233531
20220216,6.26,6.39,6.25,6.36,2534901
20220217,6.45,6.62,6.44,6.59,3787621
20220218,6.6,6.695,6.51,6.51,3628706
20220221,7.1,7.27,6.89,7.18,9979499
20220222,7.15,7.43,7.15,7.41,8705985
20220223,7.31,7.4,7.2,7.34,6536769
20220224,7.25,7.41,7.21,7.24,5603859
20220225,7.24,7.24,7.01,7.04,3785718
20220228,7.05,7.25,7.005,7.16,5124002
20220301,7.01,7.12,7,7.06,3934346
20220302,6.98,7.08,6.95,7.02,3303921
20220303,6.98,7.04,6.93,6.94,3222371
20220304,6.9,6.98,6.87,6.98,2165169
20220307,6.99,7.04,6.86,6.92,2608525
20220308,7,7.02,6.83,6.87,5887972
20220309,6.73,6.91,6.71,6.86,2728135
20220310,6.84,6.94,6.83,6.92,2936649
20220311,6.88,6.93,6.8,6.82,2920580
20220314,6.91,6.95,6.83,6.94,2956215
20220315,6.94,7.02,6.86,6.93,2922003
20220316,6.94,7.01,6.86,6.98,3298847
20220317,7,7.045,6.95,6.99,2723616
20220318,7,7.02,6.92,6.97,5182189
20220321,7.03,7.03,6.87,6.91,1687356
20220322,6.95,7.025,6.88,6.97,2122900
20220323,7.04,7.07,7,7.01,2509703
20220324,6.96,7.14,6.93,7.09,3726371
20220325,7.13,7.18,7.09,7.12,4322386
20220328,7.21,7.28,7.12,7.18,2583854
20220329,7.23,7.29,7.19,7.25,2477934
20220330,7.31,7.375,7.305,7.34,3926047
20220331,7.35,7.36,7.27,7.29,3410982
20220401,7.27,7.36,7.26,7.31,1992648
20220404,7.35,7.46,7.27,7.4,3648409
20220405,7.4,7.525,7.4,7.5,2888434
20220406,7.5,7.615,7.47,7.58,4193701
20220407,7.6,7.71,7.56,7.66,3699402
20220408,7.72,7.725,7.64,7.7,4169272
20220411,7.66,7.7,7.61,7.67,2487406
20220412,7.67,7.72,7.64,7.67,2052711
20220413,7.69,7.75,7.66,7.72,2583489
20220414,7.67,7.805,7.67,7.76,2173478
20220419,7.76,7.85,7.74,7.81,2397608
20220420,7.85,7.92,7.82,7.87,2383618
20220421,7.87,7.875,7.52,7.61,7054120
20220422,7.5,7.77,7.45,7.74,5812029
20220426,7.63,7.9,7.63,7.83,4989490
20220427,7.83,7.83,7.7,7.76,3034745
20220428,7.67,7.71,7.605,7.65,2085783
20220429,7.74,7.81,7.69,7.8,2942818
20220502,7.69,7.78,7.69,7.72,5661402
20220503,7.65,7.74,7.57,7.62,2998855
20220504,7.66,7.73,7.63,7.66,2086764
20220505,7.68,7.74,7.64,7.72,4117050
20220506,7.65,7.67,7.61,7.63,2042135
20220509,7.61,7.655,7.55,7.65,2995177
20220510,7.65,7.72,7.55,7.69,4583233
20220511,7.68,7.77,7.64,7.74,4271702
20220512,7.75,7.77,7.55,7.55,3100943
20220513,7.61,7.63,7.53,7.59,2620913
20220516,7.73,7.78,7.63,7.75,3556174
20220517,7.8,7.91,7.76,7.89,3810114
20220518,7.82,7.89,7.72,7.77,3380021
20220519,7.66,7.775,7.64,7.74,3046639
20220520,7.64,7.78,7.6,7.61,3598729
20220523,7.65,7.66,7.53,7.55,2163444
20220524,7.52,7.57,7.46,7.52,2430897
20220525,7.55,7.66,7.5,7.66,3088883
20220526,7.55,7.6,7.2,7.2,5761574
20220527,7.28,7.355,7.16,7.25,4424458
20220530,7.3,7.33,7.22,7.27,3103316
20220531,7.25,7.315,7.15,7.26,9050172
20220601,7.24,7.32,7.24,7.3,1657919
20220602,7.2,7.25,7.17,7.2,1642501
20220603,7.26,7.29,7.17,7.18,1657750
20220606,7.18,7.25,7.17,7.19,927994
20220607,7.15,7.19,7.07,7.09,2959780
20220608,7.14,7.19,7.1,7.14,1705449
20220609,7.14,7.18,7.11,7.13,2138408
20220610,7.15,7.2,7.11,7.15,2597200
20220614,7,7.17,6.955,7.15,6461453
20220615,7.21,7.36,7.19,7.26,4868069
20220616,7.22,7.27,7.14,7.2,5238638
20220617,7.12,7.4,7.09,7.4,9488120
20220620,7.44,7.44,7.24,7.31,3339049
20220621,7.4,7.43,7.315,7.32,3213031
20220622,7.37,7.39,7.23,7.27,3559801
20220623,7.29,7.34,7.24,7.25,2997342
20220624,7.29,7.49,7.28,7.46,2554891
20220627,7.5,7.55,7.38,7.46,3084885
20220628,7.47,7.6,7.43,7.58,2203709
20220629,7.5,7.725,7.5,7.68,2243730
20220630,7.7,7.8,7.56,7.57,3526723
20220701,7.55,7.67,7.55,7.62,2575914
20220704,7.73,7.8,7.65,7.69,2822132
20220705,7.72,7.78,7.64,7.74,2458169
20220706,7.7,7.92,7.7,7.88,3719202
20220707,7.85,7.875,7.78,7.83,2089201
20220708,7.76,7.85,7.72,7.84,1714283
20220711,7.84,7.905,7.79,7.83,1763681
