Date,Open,High,Low,Close,Volume
20140417,1.665,1.69,1.665,1.68,12108500
20140422,1.69,1.71,1.675,1.68,2432622
20140423,1.675,1.685,1.665,1.675,4089192
20140424,1.69,1.7,1.69,1.7,561512
20140428,1.7,1.73,1.7,1.72,517219
20140429,1.73,1.75,1.73,1.74,472018
20140430,1.75,1.79,1.75,1.76,205804
20140501,1.775,1.78,1.72,1.72,502046
20140502,1.73,1.77,1.72,1.77,2606169
20140505,1.77,1.77,1.72,1.73,161459
20140506,1.75,1.75,1.72,1.725,792494
20140507,1.725,1.74,1.72,1.72,218634
20140508,1.7,1.7,1.67,1.69,388697
20140509,1.68,1.7,1.675,1.68,131299
20140512,1.695,1.695,1.68,1.68,73488
20140513,1.69,1.7,1.68,1.69,489836
20140514,1.695,1.71,1.685,1.71,55305
20140515,1.71,1.715,1.71,1.71,7381
20140516,1.715,1.745,1.715,1.725,77296
20140519,1.72,1.73,1.71,1.73,21337
20140520,1.715,1.72,1.7,1.71,574731
20140521,1.7,1.71,1.695,1.7,242166
20140522,1.7,1.715,1.7,1.715,68290
20140523,1.735,1.77,1.735,1.74,80417
20140526,1.74,1.79,1.73,1.74,785254
20140527,1.74,1.74,1.72,1.735,30174
20140528,1.74,1.74,1.71,1.72,145174
20140529,1.69,1.69,1.67,1.68,120467
20140530,1.67,1.67,1.655,1.66,111500
20140602,1.66,1.71,1.65,1.68,77814
20140603,1.66,1.66,1.63,1.63,210959
20140604,1.63,1.63,1.61,1.63,67305
20140605,1.63,1.63,1.6,1.63,30250
20140606,1.61,1.63,1.61,1.62,1815558
20140610,1.62,1.62,1.605,1.62,57552
20140611,1.63,1.63,1.615,1.63,13784
20140612,1.65,1.66,1.65,1.66,50376
20140613,1.655,1.655,1.63,1.635,234991
20140616,1.64,1.66,1.64,1.65,1036184
20140617,1.65,1.67,1.645,1.655,92138
20140618,1.68,1.68,1.65,1.65,519682
20140619,1.66,1.67,1.62,1.62,2090043
20140620,1.62,1.64,1.61,1.64,1027679
20140623,1.64,1.65,1.62,1.64,1555197
20140624,1.625,1.635,1.625,1.635,6591
20140625,1.64,1.66,1.62,1.63,220936
20140626,1.65,1.665,1.65,1.66,297233
20140627,1.66,1.7,1.655,1.665,1179936
20140630,1.68,1.695,1.67,1.67,346981
20140701,1.67,1.67,1.63,1.65,10618
20140702,1.65,1.655,1.64,1.64,57919
20140703,1.665,1.68,1.65,1.66,16217
20140704,1.705,1.705,1.68,1.68,103545
20140707,1.695,1.695,1.675,1.68,300684
20140708,1.69,1.69,1.675,1.68,249471
20140709,1.71,1.71,1.685,1.685,5800
20140710,1.72,1.72,1.71,1.71,5325
20140711,1.715,1.715,1.7,1.705,69809
20140714,1.68,1.715,1.68,1.7,29481
20140715,1.7,1.705,1.69,1.7,23779
20140716,1.68,1.7,1.68,1.69,24625
20140717,1.69,1.7,1.68,1.7,45259
20140718,1.7,1.7,1.68,1.68,7691
20140721,1.69,1.73,1.69,1.72,30833
20140722,1.71,1.71,1.68,1.68,75339
20140723,1.69,1.69,1.66,1.665,29978
20140724,1.64,1.65,1.62,1.635,216475
20140725,1.63,1.635,1.63,1.63,19618
20140728,1.63,1.66,1.63,1.64,479715
20140729,1.66,1.68,1.66,1.68,646731
20140730,1.66,1.67,1.66,1.67,97555
20140731,1.67,1.67,1.67,1.67,1429
20140801,1.63,1.67,1.63,1.67,19052
20140804,1.64,1.67,1.64,1.64,6451
20140805,1.65,1.65,1.62,1.64,31050
20140806,1.62,1.62,1.62,1.62,130333
20140807,1.62,1.64,1.62,1.64,83819
20140808,1.61,1.63,1.61,1.63,21567
20140811,1.64,1.64,1.64,1.64,2939
20140812,1.61,1.65,1.61,1.65,14940
20140813,1.66,1.67,1.65,1.65,13617
20140814,1.67,1.69,1.67,1.69,62219
20140815,1.68,1.68,1.67,1.67,8286
20140818,1.66,1.66,1.655,1.655,11365
20140819,1.645,1.655,1.62,1.655,55700
20140820,1.62,1.62,1.615,1.615,99516
20140821,1.605,1.61,1.6,1.61,135148
20140822,1.6,1.62,1.58,1.62,65405
20140825,1.6,1.6,1.58,1.58,42625
20140826,1.59,1.6,1.565,1.59,16098
20140827,1.59,1.63,1.59,1.63,79642
20140828,1.625,1.625,1.61,1.625,59110
20140829,1.62,1.62,1.6,1.6,12448
20140901,1.61,1.61,1.58,1.61,31715
20140902,1.61,1.62,1.58,1.62,13726
20140903,1.62,1.62,1.6,1.61,29595
20140904,1.6,1.625,1.6,1.625,24889
20140905,1.63,1.64,1.62,1.64,957963
20140908,1.65,1.67,1.65,1.67,254208
20140909,1.685,1.69,1.68,1.69,379598
20140910,1.67,1.705,1.66,1.66,22513
20140911,1.71,1.72,1.7,1.7,200506
20140912,1.71,1.74,1.71,1.71,49899
20140915,1.74,1.78,1.73,1.735,71443
20140916,1.74,1.77,1.74,1.75,41418
20140917,1.75,1.75,1.7,1.705,86290
20140918,1.74,1.74,1.74,1.74,93777
20140919,1.74,1.745,1.74,1.745,6320
20140922,1.8,1.81,1.78,1.795,131798
20140923,1.78,1.84,1.78,1.82,17220
20140924,1.845,1.86,1.84,1.86,163993
20140925,1.85,1.855,1.845,1.85,234751
20140926,1.85,1.85,1.825,1.83,597171
20140929,1.84,1.84,1.8,1.82,53145
20140930,1.82,1.82,1.8,1.81,410845
20141001,1.77,1.84,1.75,1.765,191159
20141002,1.75,1.75,1.7,1.74,48325
20141003,1.74,1.75,1.73,1.74,30448
20141006,1.74,1.75,1.74,1.75,10778
20141007,1.75,1.78,1.74,1.74,296989
20141008,1.7,1.71,1.69,1.7,2363744
20141009,1.72,1.77,1.72,1.77,29675
20141010,1.75,1.76,1.72,1.72,47734
20141013,1.73,1.76,1.725,1.75,13222
20141014,1.725,1.725,1.65,1.685,338715
20141015,1.72,1.72,1.7,1.705,10561
20141016,1.68,1.725,1.68,1.725,56256
20141017,1.73,1.77,1.73,1.73,32536
20141020,1.78,1.8,1.78,1.79,40025
20141021,1.79,1.8,1.79,1.8,64057
20141022,1.8,1.845,1.8,1.845,27387
20141023,1.83,1.84,1.775,1.82,223431
20141024,1.8,1.81,1.79,1.8,207303
20141027,1.82,1.82,1.815,1.815,13434
20141028,1.79,1.81,1.79,1.795,1527382
20141029,1.79,1.79,1.77,1.77,1753696
20141030,1.78,1.78,1.7,1.735,738702
20141031,1.755,1.775,1.75,1.775,114328
20141103,1.81,1.85,1.81,1.83,78388
20141104,1.85,1.88,1.85,1.88,6531
20141105,1.875,1.875,1.845,1.86,24640
20141106,1.88,1.9,1.88,1.9,52153
20141107,1.95,1.965,1.95,1.96,59100
20141110,2.03,2.03,1.96,1.97,292405
20141111,2,2,1.95,1.95,416455
20141112,1.92,1.92,1.92,1.92,510
20141113,1.92,1.92,1.91,1.92,13270
20141114,1.92,1.965,1.92,1.965,7968
20141117,1.98,1.98,1.965,1.98,2690
20141118,1.965,2,1.965,2,35000
20141119,2,2,1.97,1.97,40211
20141120,2,2,2,2,8450
20141121,1.97,1.99,1.9,1.99,122490
20141124,1.99,1.99,1.9,1.905,32876
20141125,1.905,1.905,1.88,1.9,76537
20141126,1.9,1.9,1.87,1.885,60243
20141127,1.93,1.93,1.93,1.93,1000
20141128,1.88,1.88,1.88,1.88,5000
20141201,1.9,1.9,1.885,1.885,1632
20141202,1.88,1.88,1.87,1.87,140831
20141203,1.88,1.88,1.86,1.88,19516
20141204,1.93,1.93,1.93,1.93,11300
20141205,1.9,1.95,1.9,1.95,10500
20141208,1.975,1.975,1.96,1.96,56768
20141209,1.94,1.945,1.94,1.945,14909
20141210,1.94,1.955,1.94,1.94,100621
20141211,1.98,1.98,1.98,1.98,7000
20141212,1.98,1.98,1.965,1.965,3445
20141215,1.96,1.96,1.9,1.9,3476
20141216,1.96,1.98,1.96,1.97,22143
20141217,1.91,2,1.91,2,34187
20141218,2.03,2.03,2,2,15722
20141219,2,2.02,2,2,26623
20141222,1.9,1.9,1.9,1.9,4763
20141223,2,2.05,1.97,1.97,10644
20141224,1.97,1.97,1.97,1.97,0
20141229,2,2.05,2,2.05,22389
20141230,2.08,2.08,2.08,2.08,2704
20141231,2.12,2.12,2.12,2.12,704
20150102,2.1,2.1,2.1,2.1,750
20150105,2.07,2.1,2.03,2.1,34004
20150106,2.1,2.1,2.1,2.1,0
20150107,2.1,2.1,2.1,2.1,302921
20150108,2.1,2.1,2.02,2.05,23086
20150109,2.05,2.06,2.02,2.03,108301
20150112,2.01,2.01,1.97,1.97,450056
20150113,1.97,1.97,1.97,1.97,152809
20150114,2.12,2.12,2.1,2.1,3860
20150115,2.02,2.02,2.02,2.02,2538
20150116,1.97,1.97,1.97,1.97,1000
20150119,1.98,1.99,1.94,1.99,33205
20150120,1.99,1.99,1.9,1.91,17880
20150121,1.91,1.91,1.91,1.91,0
20150122,1.99,1.99,1.99,1.99,600
20150123,2.06,2.09,2.06,2.09,34422
20150127,2.07,2.12,2.07,2.1,63898
