Date,Open,High,Low,Close,Volume
20080910,45.6,45.6,44.98,45.47,3544
20080911,45.44,45.44,44.5,44.5,355
20080912,44.28,44.28,43.8,43.8,3700
20080915,42.84,42.84,42.84,42.84,151
20080916,42.4,42.4,42.4,42.4,502
20080917,43.4,43.4,43.4,43.4,127
20080918,41.15,41.15,41.15,41.15,100
20080919,43.6,43.6,43.43,43.43,350
20080922,44.09,44.09,44.09,44.09,4
20080923,44.09,44.09,44.09,44.09,0
20080924,42.48,42.48,42.48,42.48,612
20080925,42.56,42.56,42.56,42.56,23
20080926,42.51,42.51,42.42,42.44,2000
20080929,42.4,42.4,41.1,41.1,612
20080930,41.15,41.15,40.68,40.68,2102
20081001,42.29,42.29,42.29,42.29,2
20081002,42.8,42.8,41.48,41.5,1688
20081003,41.75,41.75,41.75,41.75,502
20081006,41.04,41.04,40.4,40.88,7322
20081007,40.3,40.35,40.3,40.35,752
20081008,40.75,40.75,40.09,40.09,3306
20081009,41.73,41.73,41.66,41.66,1004
20081010,38.88,39.32,38.88,39.32,1002
20081013,41.97,41.97,41.97,41.97,1
20081014,45,45,45,45,502
20081015,44.08,44.08,43.6,43.6,1000
20081016,40.39,40.49,40.16,40.38,1003
20081017,41.58,41.58,41.58,41.58,502
20081020,41.6,41.6,38.49,39.46,1400
20081021,40.69,40.69,39,39,8520
20081022,38.54,38.54,38.42,38.42,1280
20081023,36.5,36.5,34.98,35.72,6947
20081024,36.6,36.6,35.8,35.8,1197
20081027,36.72,36.72,36.09,36.3,3202
20081028,34.18,34.77,34.18,34.77,543
20081029,37.25,37.63,36.64,36.64,1201
20081030,36.64,36.64,36.64,36.64,0
20081031,38.56,39.3,38.56,39.3,1300
20081103,39.11,40.01,39.05,40.01,5638
20081104,39.4,39.4,39.4,39.4,1020
20081105,40.1,40.18,40.1,40.18,1004
20081106,37.63,39.28,37.63,39.28,2381
20081107,39.28,39.28,39.28,39.28,0
20081110,38.86,38.86,38.86,38.86,650
20081111,37.94,37.98,37.71,37.98,4310
20081112,36.61,37.5,36.61,37.42,11080
20081113,36.4,36.65,36.4,36.52,3552
20081114,37.26,38.35,37.11,38.35,1318
20081117,39.83,39.83,39.83,39.83,50
20081118,38.28,38.28,38.28,38.28,260
20081119,40,40.12,40,40.12,189
20081120,39.2,39.2,34,34.24,6037
20081121,33.86,33.86,33.86,33.86,88
20081124,34.77,34.77,34.77,34.77,430
20081125,35.86,36.34,35.54,36,5096
