Date,Open,High,Low,Close,Volume
20071010,134.82,135.16,134.79,134.87,800
20071011,134.89,135.24,134.77,134.79,2881
20071012,134.81,135.63,134.79,135.63,2856
20071015,135.72,135.99,135.69,135.69,680
20071016,135.56,135.59,135.4,135.4,750
20071017,136.2,136.9,135.88,136.9,1700
20071018,136.9,136.9,135.9,136.01,1945
20071019,135.4,135.46,134.7,134.75,2083
20071022,133.98,134.02,133.55,133.58,335
20071023,133.6,133.75,133,133,845
20071024,133.4,133.7,132.9,132.95,1202
20071025,133.35,133.4,132.84,133.14,1489
20071026,132.9,133.4,132.9,133,550
20071029,133.7,133.7,133.6,133.6,283
20071030,134.36,134.51,134.25,134.26,280
20071031,133.5,133.52,133.15,133.3,800
20071101,133.16,134.25,133.11,134.2,840
20071102,133.2,133.32,132.71,132.75,1065
20071105,132.4,132.75,132.4,132.75,712
20071106,131.1,131.35,130.95,131.35,284
20071107,130.8,130.8,130,130,416
20071108,130,130,130,130,32
20071109,131.05,131.07,131,131,197
20071112,131.8,133,131.75,132.93,320
20071113,133.37,133.39,132.04,132.14,844
20071114,133.95,133.95,133.1,133.15,412
20071115,133.06,134.2,133.06,133.95,340
20071116,133.91,133.91,133.91,133.91,13
20071119,132.3,132.64,132.3,132.64,240
20071120,131.16,132.95,131.15,131.5,390
20071121,132.3,132.54,132.18,132.18,326
20071122,130.81,132.7,130.75,132.7,1115
20071123,131.82,132.87,131.82,132.24,355
20071126,134.28,135.44,134.28,135.19,799
20071127,135.19,135.19,133.3,133.65,1633
20071128,134.36,136,134.29,134.89,401
20071129,137.5,137.92,137.5,137.92,264
20071130,135.72,136.29,135.72,136.21,669
20071203,136.27,137.42,136.27,137.42,665
20071204,137.03,138.01,136.73,138.01,2642
20071205,137.7,137.7,136.35,136.35,1285
20071206,137.24,138.24,137.24,137.94,839
20071207,139.18,139.37,139.18,139.2,349
20071210,139.23,139.41,139.23,139.26,355
20071211,139.15,139.15,138.95,138.95,5660
20071212,137.32,138.39,137.32,138.35,4646
20071213,139.04,139.1,139,139,215
20071214,138.53,138.53,137.09,137.09,372
20071217,137.1,137.1,135.47,135.47,441
20071218,134.59,134.59,134.33,134.33,500
20071219,135.6,135.6,135.6,135.6,50
20071220,134.38,134.38,134.38,134.38,180
20071221,134.55,134.55,134.55,134.55,230
20071224,135.56,135.56,135.56,135.56,25
20071227,132.73,132.73,132.73,132.73,11
20071228,132.87,132.87,132.87,132.87,19
20071231,132.75,132.75,132.75,132.75,300
20080102,131.56,131.56,131.56,131.56,64
20080103,131.56,131.56,131.56,131.56,0
20080104,130.76,131.1,130.76,131.1,100
20080107,130,130,127.69,127.69,300
20080108,127.54,128.09,127.54,128.09,222
20080109,126.98,126.98,126.98,126.98,20
20080110,126.71,126.71,126.71,126.71,13
20080111,124.84,124.84,124.84,124.84,80
20080114,124,124,123.43,123.56,322
20080115,125.15,125.15,125.15,125.15,9
20080116,122.21,122.21,121.97,121.97,307
20080117,121.12,121.12,121.12,121.12,21
20080118,120,120.45,120,120.45,104
20080121,120,120,118.88,119.7,116
20080122,110.58,110.58,109.53,109.53,76
20080123,110,116.14,110,114.72,241
20080124,116.1,116.1,116.08,116.08,200
20080125,118.23,118.41,118.23,118.41,683
20080129,118,118,118,118,420
20080130,116.53,116.53,116.53,116.53,12
20080131,116.3,116.3,116.3,116.3,10
20080201,116.04,116.04,116.04,116.04,28
20080204,117.3,117.3,117.3,117.3,50
20080205,117.3,117.3,117.3,117.3,35
