Date,Open,High,Low,Close,Volume
20160503,17.13,17.13,17,17,5293
20160504,17.05,17.05,17.04,17.04,2050
20160505,17.18,17.22,17.18,17.2,6273
20160506,17.2,17.2,17.2,17.2,0
20160509,17.25,17.25,17.2,17.2,1152
20160510,17.28,17.28,17.28,17.28,2313
20160511,17.28,17.28,17.28,17.28,0
20160512,17.27,17.27,17.26,17.26,1738
20160513,17.26,17.26,17.26,17.26,0
20160516,17.2,17.21,17.2,17.21,4750
20160517,17.26,17.27,17.26,17.27,3600
20160518,17.11,17.16,17.11,17.12,6662
20160519,17.01,17.01,16.94,16.94,1092
20160520,17.07,17.07,17.07,17.07,7028
20160523,17.07,17.07,17.07,17.07,0
20160524,16.99,16.99,16.99,16.99,1380
20160525,17.14,17.15,17.14,17.15,11655
20160526,17.11,17.13,17.11,17.13,5115
20160527,17.13,17.13,17.13,17.13,0
20160530,17.32,17.34,17.3,17.3,15827
20160531,17.27,17.3,17.27,17.3,1789
20160601,17.3,17.3,17.28,17.28,4000
20160602,17.21,17.23,17.21,17.22,4195
20160603,17.31,17.32,17.31,17.32,58623
20160606,17.43,17.45,17.43,17.45,93715
20160607,17.46,17.46,17.46,17.46,39
20160608,17.51,17.51,17.46,17.46,1836
20160609,17.51,17.51,17.48,17.48,5188
20160610,17.55,17.6,17.55,17.6,1845
20160614,17.6,17.6,17.23,17.29,3677
20160615,17.5,17.5,17.38,17.39,4413
20160616,17.23,17.23,17.18,17.19,4315
20160617,17.28,17.33,17.28,17.28,4035
20160620,17.54,17.54,17.54,17.54,969
20160621,17.44,17.51,17.41,17.51,3669
20160622,17.46,17.46,17.46,17.46,88
20160623,17.46,17.51,17.46,17.51,2002
20160624,17.2,17.2,17.1,17.1,773
20160627,16.9,16.9,16.9,16.9,306
20160628,17.23,17.23,17.23,17.23,237
20160629,17.46,17.54,17.46,17.54,1492
20160630,17.64,17.64,17.64,17.64,7
20160701,17.84,17.84,17.83,17.83,2460
20160704,17.87,17.89,17.87,17.89,11865
20160705,17.86,17.86,17.86,17.86,2064
20160706,17.86,17.86,17.8,17.81,2958
20160707,17.91,17.98,17.91,17.98,5243
20160708,17.8,17.8,17.75,17.75,5304
20160711,17.95,17.95,17.95,17.95,5238
20160712,18.01,18.01,17.99,17.99,614
20160713,17.98,17.98,17.91,17.97,4140
20160714,17.93,17.93,17.93,17.93,27
20160715,18,18.03,17.97,18.01,2633
20160718,18.06,18.07,18.06,18.06,3287
20160719,18.07,18.07,17.99,18.06,6039
20160720,18.12,18.14,18.12,18.14,4878
20160721,18.17,18.18,18.17,18.17,72602
20160722,18.1,18.11,18.05,18.09,17948
20160725,18.26,18.26,18.26,18.26,1356
20160726,18.21,18.24,18.2,18.24,4572
20160727,18.16,18.2,18.16,18.18,8688
20160728,18.06,18.06,18.05,18.05,567
20160729,18.05,18.05,18,18,5645
20160801,18.21,18.25,18.21,18.25,2259
20160802,18.13,18.13,18.13,18.13,250
20160803,17.95,17.96,17.9,17.93,6424
20160804,17.9,17.9,17.9,17.9,289
20160805,18.13,18.16,18.13,18.16,2801
20160808,17.97,17.97,17.87,17.93,8132
20160809,17.92,17.94,17.92,17.94,4827
20160810,17.89,17.89,17.88,17.88,6507
20160811,17.84,17.88,17.84,17.88,130682
20160812,17.96,17.96,17.94,17.94,1412
20160815,18.02,18.06,18.02,18.06,17835
