Date,Open,High,Low,Close,Volume
20071010,93.43,93.6,93.43,93.51,2138
20071011,93.63,93.69,93.35,93.37,3180
20071012,93.5,93.5,92.94,93.44,2393
20071015,93.63,93.63,93.48,93.48,1000
20071016,93.74,93.74,93.56,93.57,1565
20071017,94.13,94.51,94.13,94.31,1721
20071018,94.13,94.13,93.67,93.67,525
20071019,93.67,93.67,93.2,93.2,2221
20071022,91.97,92.12,91.72,91.9,2175
20071023,92.88,92.98,92.74,92.74,673
20071024,92.28,92.28,92.28,92.28,150
20071025,91.92,91.92,91.76,91.76,955
20071026,91.66,91.66,91.2,91.22,1545
20071029,91.7,91.7,91.61,91.64,612
20071030,91.75,92.2,91.75,92.2,225
20071031,91.88,91.88,91.68,91.68,780
20071101,91.44,92.14,91.43,92.06,1671
20071102,91.85,91.85,91.4,91.4,2031
20071105,90.73,90.73,90.58,90.6,600
20071106,90.1,90.22,90.1,90.22,220
20071107,89.7,89.7,89.06,89.12,816
20071108,89,89,89,89,182
20071109,88.94,89.2,88.5,88.5,246
20071112,89.84,89.84,89.68,89.68,602
20071113,90.84,90.84,90.52,90.52,719
20071114,90.96,91.38,90.96,91.38,281
20071115,91.76,91.95,91.7,91.7,1882
20071116,91.76,92,91.76,92,799
20071119,92.05,92.05,91,91.45,2054
20071120,91.14,92.49,91.14,91.5,1794
20071121,91.1,91.7,91.1,91.6,1010
20071122,89.98,91.37,89.98,91.37,1014
20071123,91.95,92.4,91.9,92.23,1317
20071126,92.2,93.7,92.2,93.14,559
20071127,93.14,93.4,92.2,93.22,2041
20071128,93.22,94.34,93.2,93.6,1571
20071129,94.11,94.15,94.11,94.11,1251
20071130,94.45,94.45,94.11,94.11,684
20071203,93.81,94.43,93.81,94.43,976
20071204,94.43,94.92,94.05,94.65,2046
20071205,93.8,94.65,93.8,94.65,1310
20071206,94.45,95.73,94.45,95.73,1142
20071207,95.39,96.05,95.39,96,4956
20071210,96.55,96.72,96.55,96.55,565
20071211,96.49,96.73,96.4,96.7,2325
20071212,95.4,96.24,95.4,96.24,789
20071213,95.53,96.1,95.53,95.81,1665
20071214,95.2,95.2,95.2,95.2,87
20071217,96.26,96.26,94.4,94.4,2002
20071218,94.4,94.88,94.4,94.88,310
20071219,94.63,94.63,94.63,94.63,23
20071220,94.8,94.8,94.4,94.4,440
20071221,95,95,94.92,94.92,710
20071224,95.66,95.82,95.58,95.79,1260
20071227,94.53,94.53,94.53,94.53,7
20071228,94.13,94.13,94.13,94.13,50
20071231,92.94,93.25,92.94,93.25,110
20080102,92.84,93.03,92.69,92.69,397
20080103,91.1,91.3,91.1,91.3,189
20080104,91.51,92.22,91.51,92.22,502
20080107,90.02,90.15,90.02,90.15,183
20080108,90.35,90.5,90,90.5,343
20080109,89.47,89.47,89,89.38,671
20080110,89.96,89.96,89.96,89.96,220
20080111,89.07,89.07,89.07,89.07,200
20080114,88.11,88.11,88.11,88.11,450
20080115,87.4,87.69,87.4,87.51,436
20080116,87.51,87.51,87.19,87.19,100
20080117,86.5,86.5,86.5,86.5,9
20080118,86.5,86.5,85.69,85.88,597
20080121,84.2,84.35,84.2,84.24,1073
20080122,82.24,82.24,81,81.42,255
20080123,82.24,82.42,82.16,82.16,1196
20080124,84.13,84.13,84.13,84.13,5
20080125,83.63,83.63,82.51,82.51,500
20080129,83.45,83.46,83.37,83.37,305
20080130,83.3,83.95,83.3,83.95,875
20080131,82.15,82.24,82.15,82.24,125
20080201,82.5,82.5,82.5,82.5,15
20080204,83.63,83.63,83.5,83.57,790
20080205,82.6,82.6,82.15,82.3,1984
20080206,80.48,80.55,80.35,80.39,559
20080207,80,80.05,79.79,80.05,452
20080208,79.9,80.11,79.7,79.85,3150
20080211,79.85,79.85,78.5,78.5,240
20080212,78.5,78.5,78.5,78.5,10
20080213,80.05,80.15,80.05,80.15,1315
20080214,80.15,80.15,80.15,80.15,0
20080215,80.5,80.5,80.5,80.5,124
20080218,80.33,80.33,79.45,79.5,776
20080219,79.31,79.31,79.31,79.31,15
20080220,79.9,79.9,79.65,79.79,750
20080221,79.8,79.8,79.5,79.5,1265
20080222,79,79,79,79,1000
20080225,79.9,79.93,79.75,79.75,287
20080226,80.23,80.23,79.7,79.7,1630
