Date,Open,High,Low,Close,Volume
20071010,174.4,174.47,174.4,174.43,385
20071011,174.34,174.35,174.15,174.15,920
20071012,172.77,172.86,172.69,172.69,164
20071015,173.19,173.19,173.19,173.19,50
20071016,172.7,172.88,172.7,172.88,450
20071017,174.24,174.84,174.12,174.77,1664
20071018,173.85,173.93,173.08,173.17,888
20071019,172.55,172.55,171.05,171.4,1790
20071022,169.4,169.4,164.29,167.8,14974
20071023,170.55,170.75,170.55,170.75,280
20071024,168.9,168.9,168.9,168.9,18
20071025,168.35,168.4,168.08,168.1,341
20071026,167.8,167.8,167.02,167.02,1882
20071029,167.2,167.55,167.2,167.55,23
20071030,167.38,167.38,167.38,167.38,32
20071031,166.6,170.04,166.3,170.04,1902
20071101,170.04,170.04,166.5,166.5,414
20071102,166.46,166.46,165.15,165.15,1147
20071105,164.5,164.5,164.25,164.25,630
20071106,165,165,163.2,163.6,315
20071107,163.5,163.5,163,163,19042
20071108,161,161,159.18,159.18,378
20071109,158.6,158.6,158.6,158.6,366
20071112,160.55,161.9,160.55,161.9,1080
20071113,163.74,163.74,162.6,162.92,288
20071114,164.43,164.43,164.43,164.43,15
20071115,165.1,165.19,164.88,164.88,249
20071116,164.91,164.91,164.82,164.82,46
20071119,163.84,163.9,163.84,163.9,35
20071120,163.93,164.93,163.8,164.53,123
20071121,162.16,162.17,162.16,162.17,58
20071122,160.89,162.3,160.89,162.28,1380
20071123,164,164,163.55,163.55,255
20071126,164.97,165.07,164.97,165.07,130
20071127,161.85,162.36,161.85,162.33,158
20071128,163.04,164.04,163.04,164.04,58
20071129,165.84,166.42,165.84,166.42,54
20071130,167.49,167.88,167.45,167.72,185
20071203,168.49,169.42,168.49,169.36,552
20071204,169,169.52,168.78,169.35,795
20071205,168.37,169.51,167.64,169.51,1563
20071206,172.19,172.19,171.92,171.95,152
20071207,172.28,172.28,171.95,171.95,114
20071210,172.46,172.52,172.28,172.28,360
20071211,172.41,172.45,172.12,172.25,545
20071212,172.05,172.05,170.2,170.44,5550
20071213,169.01,169.01,169.01,169.01,50
20071214,170.98,170.98,170.98,170.98,30
20071217,173.03,173.03,170.92,170.92,114
20071218,169.46,170.5,169.46,170.5,14
20071219,169.86,169.86,169.86,169.86,5
20071220,170.48,170.48,170.48,170.48,140
20071221,171.89,171.89,171.38,171.38,405
20071224,172.91,172.94,172.91,172.94,42
20071227,172.79,172.79,172.22,172.22,115
20071228,171.23,171.23,170.38,170.38,35
20071231,167.99,167.99,167.99,167.99,10
20080102,168.17,168.18,168.17,168.18,44
20080103,168.18,168.18,168.18,168.18,0
20080104,165.17,165.17,165.17,165.17,50
20080107,161.69,161.83,160.2,161.83,400
20080108,161.12,161.62,161.12,161.62,336
20080109,158.88,158.88,158.88,158.88,60
20080110,159.58,159.58,159.03,159.03,58
20080111,158.5,158.53,158.29,158.53,163
20080114,157.66,157.66,157.5,157.55,218
20080115,158.01,158.01,158.01,158.01,100
20080116,157.5,157.5,155.08,156.12,1628
20080117,156.94,156.94,156.94,156.94,17
20080118,156.57,156.57,153.53,154.47,220
20080121,151.54,151.54,151.54,151.54,26
20080122,148.05,148.05,146.6,147.43,86
20080123,150.16,150.16,150.16,150.16,16
20080124,154.33,154.33,154.33,154.33,150
20080125,154.32,154.32,153.84,154.22,150
20080129,153.07,153.07,153.07,153.07,20
20080130,152.9,152.9,152.9,152.9,12
20080131,150.97,150.97,150.97,150.97,12
20080201,153.4,153.4,153.4,153.4,6
20080204,155.23,155.51,155.23,155.3,786
20080205,152.1,152.1,152.1,152.1,40
20080206,150.5,150.5,150.46,150.46,142
20080207,148.5,148.84,148.5,148.84,133
20080208,150.37,150.37,150.23,150.23,673
