Date,Open,High,Low,Close,Volume
20090312,60.21,60.21,60.21,60.21,83
20090313,60.21,60.21,60.21,60.21,0
20090316,60.21,60.21,60.21,60.21,0
20090317,60.21,60.21,60.21,60.21,0
20090318,60.21,60.21,60.21,60.21,0
20090319,61.57,61.57,61.57,61.57,160
20090320,61.57,61.57,61.57,61.57,0
20090323,62,62,62,62,20
20090324,62,62,62,62,0
20090325,62,62,62,62,0
20090326,62,62,62,62,0
20090327,62,62,62,62,0
20090330,62,62,62,62,0
20090331,62,62,62,62,0
20090401,62,62,62,62,0
20090402,62,62,62,62,0
20090403,62,62,62,62,0
20090406,62,62,62,62,0
20090407,62,62,62,62,0
20090408,62,62,62,62,0
20090409,62,62,62,62,0
20090414,62,62,62,62,0
20090415,62,62,62,62,0
20090416,62,62,62,62,0
20090417,62,62,62,62,0
20090420,62,62,62,62,0
20090421,62,62,62,62,0
20090422,62,62,62,62,0
20090423,59.81,59.81,59.81,59.81,15
20090424,59.81,59.81,59.81,59.81,0
20090427,59.43,59.43,59.43,59.43,83
20090428,59.43,59.43,59.43,59.43,0
20090429,60.81,60.81,60.81,60.81,33
20090430,60.76,60.76,60.76,60.76,160
20090501,60.76,60.76,60.76,60.76,0
20090504,60.76,60.76,60.76,60.76,0
20090505,60.76,60.76,60.76,60.76,0
20090506,60.76,60.76,60.76,60.76,0
20090507,60.76,60.76,60.76,60.76,0
20090508,60.76,60.76,60.76,60.76,0
20090511,59.58,59.58,59.58,59.58,60
20090512,59.58,59.58,59.58,59.58,0
20090513,59.58,59.58,59.58,59.58,0
20090514,59.58,59.58,59.58,59.58,0
20090515,59.58,59.58,59.58,59.58,0
20090518,59.58,59.58,59.58,59.58,0
20090519,59.58,59.58,59.58,59.58,0
20090520,61.2,61.2,61.2,61.2,205
20090521,60.98,60.98,60.98,60.98,325
20090522,60.98,60.98,60.98,60.98,0
20090525,60.98,60.98,60.98,60.98,0
20090526,60.98,60.98,60.98,60.98,0
20090527,60.98,60.98,60.98,60.98,0
20090528,60.6,60.6,60.6,60.6,250
20090529,60.12,60.12,60.04,60.04,600
20090601,59.82,59.82,59.81,59.81,831
20090602,59.81,59.81,59.81,59.81,0
20090603,59.75,59.75,59.75,59.75,80
20090604,59.75,59.75,59.75,59.75,0
20090605,59.75,59.75,59.75,59.75,0
20090609,59.75,59.75,59.75,59.75,0
20090610,59.75,59.75,59.75,59.75,0
20090611,59.4,59.4,59.4,59.4,3360
20090612,59.4,59.4,59.4,59.4,0
20090615,59.43,59.43,59.43,59.43,210
20090616,59.43,59.43,59.43,59.43,0
20090617,59.43,59.43,59.43,59.43,0
20090618,59.43,59.43,59.43,59.43,0
20090619,59.43,59.43,59.43,59.43,0
20090622,59.43,59.43,59.43,59.43,0
20090623,59.65,59.65,59.65,59.65,421
20090624,59.65,59.65,59.65,59.65,0
20090625,59.65,59.65,59.65,59.65,0
20090626,59.65,59.65,59.65,59.65,0
20090629,59.65,59.65,59.65,59.65,0
20090630,59.65,59.65,59.65,59.65,0
20090701,59.65,59.65,59.65,59.65,0
20090702,59.78,59.78,59.78,59.78,26
20090703,59.78,59.78,59.78,59.78,0
20090706,59.7,59.7,59.7,59.7,90
20090707,59.7,59.7,59.7,59.7,0
20090708,59.7,59.7,59.7,59.7,0
20090709,59.7,59.7,59.7,59.7,0
20090710,60.39,60.39,60.39,60.39,208
20090713,60.39,60.39,60.39,60.39,0
20090714,60.39,60.39,60.39,60.39,0
20090715,60.39,60.39,60.39,60.39,0
20090716,60.39,60.39,60.39,60.39,0
20090717,60.39,60.39,60.39,60.39,0
20090720,60.39,60.39,60.39,60.39,0
20090721,61.27,61.27,61.27,61.27,33
20090722,61.27,61.27,61.27,61.27,0
20090723,61.27,61.27,61.27,61.27,0
20090724,61.27,61.27,61.27,61.27,0
20090727,62.02,62.02,62.02,62.02,479
20090728,61.62,61.78,61.44,61.44,2520
20090729,61.44,61.44,61.44,61.44,0
20090730,61.44,61.44,61.44,61.44,0
20090731,61.5,61.56,61.5,61.56,242
20090803,62,62,61.29,61.29,250
20090804,61,61.05,60.36,61.05,618
20090805,61,61,61,61,330
20090806,60.78,60.78,60.78,60.78,500
20090807,60.6,60.6,60.6,60.6,665
20090810,60.6,60.6,60.6,60.6,0
20090811,60.6,60.6,60.6,60.6,0
20090812,60.6,60.6,60.6,60.6,0
20090813,60.6,60.6,60.6,60.6,0
20090814,60.6,60.6,60.6,60.6,0
20090817,61.41,61.41,61.41,61.41,50
