Date,Open,High,Low,Close,Volume
19990927,1.8,1.82,1.79,1.81,6951000
19990928,1.8,1.8,1.6,1.75,10494500
19990929,1.75,1.75,1.69,1.7,1659481
19990930,1.65,1.66,1.63,1.652,1892000
19991001,1.65,1.66,1.64,1.64,219850
19991004,1.651,1.651,1.6,1.61,699000
19991005,1.61,1.62,1.61,1.62,183885
19991006,1.62,1.66,1.62,1.66,216000
19991007,1.661,1.67,1.66,1.66,290700
19991008,1.67,1.67,1.65,1.66,479700
19991011,1.68,1.68,1.66,1.66,309379
19991012,1.66,1.68,1.65,1.67,272020
19991013,1.66,1.67,1.66,1.66,141000
19991014,1.66,1.66,1.65,1.66,443500
19991015,1.66,1.67,1.66,1.66,158100
19991018,1.6,1.63,1.6,1.61,93800
19991019,1.62,1.63,1.62,1.62,165555
19991020,1.62,1.62,1.62,1.62,12682
19991021,1.63,1.63,1.62,1.62,67000
19991022,1.62,1.65,1.62,1.65,88617
19991025,1.65,1.66,1.65,1.66,54740
19991026,1.67,1.7,1.67,1.7,440750
19991027,1.66,1.7,1.66,1.69,34250
19991028,1.7,1.73,1.68,1.707,109750
19991029,1.697,1.74,1.697,1.73,99000
19991101,1.74,1.74,1.73,1.74,320800
19991102,1.72,1.75,1.72,1.75,8500
19991103,1.75,1.77,1.75,1.77,135500
19991104,1.792,1.792,1.77,1.77,143600
19991105,1.78,1.79,1.77,1.77,607372
19991108,1.79,1.79,1.78,1.78,47500
19991109,1.79,1.82,1.75,1.82,172378
19991110,1.82,1.95,1.82,1.93,2458922
19991111,1.96,2.04,1.96,2.04,1545202
19991112,2.1,2.16,2.03,2.06,661550
19991115,2.1,2.19,2.1,2.18,397360
19991116,2.18,2.18,2.13,2.16,842157
19991117,2.18,2.25,2.18,2.24,430971
19991118,2.23,2.3,2.23,2.25,376272
19991119,2.25,2.4,2.25,2.34,592100
19991122,2.367,2.5,2.367,2.46,330930
19991123,2.493,2.493,2.2,2.43,286993
19991124,2.385,2.385,2.24,2.25,1671105
19991125,2.25,2.35,2.25,2.345,4146200
19991126,2.341,2.35,2.3,2.31,955697
19991129,2.35,2.35,2.32,2.33,164750
19991130,2.35,2.35,2.26,2.28,195586
19991201,2.28,2.28,2.23,2.23,181000
19991202,2.23,2.26,2.23,2.26,307168
19991203,2.309,2.309,2.26,2.3,205000
19991206,2.37,2.37,2.27,2.29,456517
19991207,2.29,2.31,2.29,2.3,474051
19991208,2.3,2.3,2.21,2.21,105000
19991209,2.2,2.2,2.18,2.2,1544199
19991210,2.2,2.25,2.15,2.25,572041
19991213,2.21,2.25,2.2,2.2,114870
19991214,2.2,2.22,2.18,2.2,567181
19991215,2.206,2.25,2.206,2.25,140450
19991216,2.27,2.3,2.25,2.3,163950
19991217,2.354,2.354,2.25,2.3,322855
19991220,2.35,2.39,2.3,2.39,84235
19991221,2.35,2.39,2.32,2.32,44244
19991222,2.35,2.39,2.33,2.38,56050
19991223,2.38,2.39,2.35,2.39,73587
19991224,2.39,2.39,2.36,2.36,41550
19991229,2.393,2.45,2.36,2.45,103983
19991230,2.45,2.5,2.45,2.48,118677
20000104,2.5,2.8,2.49,2.7,162596
20000105,2.65,2.68,2.49,2.61,180600
20000106,2.65,2.68,2.63,2.67,1003860
20000107,2.66,2.66,2.55,2.55,138091
20000110,2.57,2.61,2.57,2.59,97376
20000111,2.59,2.65,2.59,2.61,17723
20000112,2.61,2.62,2.6,2.6,230290
20000113,2.59,2.6,2.53,2.6,83836
20000114,2.65,2.66,2.63,2.65,121336
20000117,2.656,2.75,2.656,2.71,54600
20000118,2.71,2.72,2.69,2.69,343282
20000119,2.69,2.69,2.53,2.65,122000
20000120,2.61,2.68,2.61,2.68,256610
20000121,2.68,2.68,2.63,2.68,566350
20000124,2.68,2.68,2.67,2.68,329266
20000125,2.654,2.654,2.58,2.62,361147
20000127,2.66,2.66,2.62,2.65,145793
20000128,2.63,2.7,2.63,2.66,835328
20000131,2.67,2.7,2.6,2.69,653995
20000201,2.69,2.69,2.65,2.69,428481
20000202,2.69,2.69,2.62,2.68,494016
20000203,2.64,2.64,2.61,2.63,79702
20000204,2.63,2.63,2.58,2.59,32563
20000207,2.572,2.59,2.52,2.55,90133
20000208,2.53,2.55,2.53,2.53,162628
20000209,2.54,2.54,2.3,2.37,166194
20000210,2.35,2.4,2.29,2.38,179076
20000211,2.45,2.5,2.45,2.47,402687
20000214,2.45,2.5,2.45,2.48,2004001
20000215,2.45,2.59,2.45,2.526,108546
20000216,2.59,2.62,2.57,2.62,456738
20000217,2.6,2.8,2.6,2.8,158855
20000218,2.85,2.91,2.84,2.9,1048401
20000221,2.894,2.894,2.7,2.72,116300
20000222,2.7,2.75,2.69,2.75,49786
20000223,2.75,2.8,2.75,2.75,511780
20000224,2.75,2.77,2.69,2.69,27720
20000225,2.69,2.69,2.5,2.54,646030
20000228,2.64,2.64,2.45,2.6,1022790
20000229,2.64,2.65,2.35,2.4,1322773
20000301,2.5,2.5,2.42,2.45,1014779
20000302,2.45,2.47,2.45,2.45,1489124
20000303,2.455,2.5,2.455,2.48,3536455
20000306,2.506,2.6,2.506,2.599,179160
20000307,2.64,2.64,2.6,2.6,90449
20000308,2.6,2.69,2.6,2.65,66031
20000309,2.69,2.72,2.69,2.71,34250
20000310,2.75,2.8,2.75,2.8,78300
20000313,2.85,2.85,2.77,2.77,42173
20000314,2.743,2.743,2.65,2.72,351681
20000315,2.66,2.66,2.55,2.55,52111
20000316,2.52,2.53,2.49,2.51,1020113
20000317,2.51,2.55,2.5,2.52,588566
20000320,2.52,2.52,2.37,2.37,211175
20000321,2.474,2.52,2.42,2.45,867290
20000322,2.55,2.7,2.55,2.7,273751
20000323,2.7,2.8,2.65,2.75,229624
20000324,2.7,2.77,2.7,2.77,78150
20000327,2.7,2.77,2.7,2.75,272700
20000328,2.729,2.85,2.729,2.85,176300
20000329,2.85,3.1,2.85,3.05,1538585
20000330,3.06,3.25,3.06,3.2,560065
20000331,3.238,3.238,2.8,3,2975156
20000403,3,3,2.84,2.84,361705
20000404,2.809,2.81,2.65,2.66,550107
