Date,Open,High,Low,Close,Volume
20150626,40.2,40.2,40.2,40.2,124
20150629,40.2,40.2,40.2,40.2,0
20150630,40.2,40.2,40.2,40.2,0
20150701,40.2,40.2,40.2,40.2,0
20150702,40.2,40.2,40.2,40.2,0
20150703,40.47,40.79,40.47,40.79,1392
20150706,40.79,40.79,40.79,40.79,1000
20150707,40.79,40.79,40.79,40.79,0
20150708,41.6,41.63,41.53,41.53,2763
20150709,41.21,41.21,41.11,41.11,3100
20150710,41.11,41.11,41.11,41.11,0
20150713,41.11,41.11,41.11,41.11,0
20150714,41.11,41.11,41.11,41.11,0
20150715,41.11,41.11,41.11,41.11,0
20150716,41.11,41.11,41.11,41.11,0
20150717,42.93,42.93,42.77,42.77,842
20150720,43.25,43.25,43.25,43.25,37
20150721,42.99,43.15,42.99,43.13,1440
20150722,42.57,42.6,42.45,42.6,3808
20150723,42.85,42.85,42.85,42.85,235
20150724,42.59,42.87,42.59,42.87,399
20150727,42.57,42.57,42.45,42.45,600
20150728,42.4,42.4,42.4,42.4,653
20150729,42.4,42.4,42.4,42.4,0
20150730,43.05,43.05,43,43.05,1098
20150731,43.04,43.04,43.04,43.04,1200
20150803,43.04,43.04,43.04,43.04,0
20150804,42.85,42.85,42.53,42.53,2101
20150805,42.22,42.22,42.22,42.22,4493
20150806,41.85,41.85,41.8,41.8,665
20150807,41.69,41.69,41.69,41.69,240
20150810,41.44,41.44,41.44,41.44,246
20150811,42.1,42.1,42.1,42.1,44
20150812,42.1,42.1,42.1,42.1,0
20150813,42.1,42.1,42.1,42.1,0
20150814,42.1,42.1,42.1,42.1,0
20150817,42.1,42.1,42.1,42.1,0
20150818,42.1,42.1,42.1,42.1,0
20150819,42.61,42.61,42.59,42.59,725
20150820,42.13,42.13,42.13,42.13,33
20150821,41.05,41.05,41.05,41.05,248
20150824,40.34,40.39,39.61,39.73,982
20150825,39.51,39.6,39.3,39.3,1051
20150826,38.92,39.53,38.92,39.53,1050
20150827,40.21,40.21,40.21,40.21,30
20150828,40.85,40.9,40.85,40.9,3670
20150831,40.9,40.9,40.9,40.9,0
20150901,40.35,40.35,40.35,40.35,33
20150902,40.64,40.64,40.64,40.64,85
20150903,40.64,40.64,40.64,40.64,0
20150904,40.64,40.64,40.64,40.64,0
20150907,41.54,41.54,41.54,41.54,240
20150908,41.54,41.54,41.54,41.54,0
20150909,41.54,41.54,41.54,41.54,0
20150910,41.06,41.06,41.06,41.06,267
20150911,40.47,40.47,40.47,40.47,126
20150914,40.52,40.52,40.52,40.52,250
20150915,40.52,40.52,40.52,40.52,0
20150916,40.52,40.52,40.52,40.52,0
20150917,40.52,40.52,40.52,40.52,0
20150918,40.5,40.5,40.5,40.5,700
20150921,39.79,39.79,39.79,39.79,7
20150922,40.39,40.39,40.39,40.39,100
20150923,39.92,39.92,39.92,39.92,743
20150924,39.95,39.95,39.92,39.92,226
20150925,39.88,39.88,39.88,39.88,300
20150928,39.65,39.65,39.65,39.65,30
20150929,39.56,39.56,39.56,39.56,600
20150930,39.56,39.56,39.56,39.56,0
20151001,39.9,39.98,39.9,39.98,1050
20151002,39.73,39.73,39.73,39.73,16
