Date,Open,High,Low,Close,Volume
19920102,7.925,8.06,7.9,7.96,3030529
19920103,7.94,8.01,7.94,7.99,762887
19920106,8.098,8.16,8.061,8.08,1202334
19920107,8.069,8.1,8.03,8.1,1232827
19920108,8.158,8.18,8.12,8.13,1123765
19920109,8.12,8.18,8.1,8.18,1015776
19920110,8.191,8.23,8.18,8.18,1329169
19920113,8.167,8.21,8.1,8.1,1948663
19920114,8.084,8.1,8.05,8.06,748856
19920115,8.17,8.17,8.1,8.13,804604
19920116,8.13,8.15,8.1,8.13,1197902
19920117,8.108,8.12,8.04,8.09,1552905
19920120,8.15,8.2,8.13,8.13,547206
19920121,8.065,8.12,8,8,1323412
19920122,7.964,7.991,7.87,7.87,1820590
19920123,7.9,7.93,7.78,7.81,1427057
19920124,7.77,7.791,7.51,7.6,7309692
19920128,7.591,7.7,7.54,7.67,2060707
19920129,7.76,7.76,7.59,7.62,3653756
19920130,7.563,7.58,7.5,7.53,2645711
19920131,7.597,7.65,7.57,7.6,3911652
19920203,7.585,7.605,7.54,7.55,735700
19920204,7.533,7.534,7.45,7.46,2066274
19920205,7.51,7.54,7.47,7.48,1281765
19920206,7.477,7.53,7.45,7.5,2001183
19920207,7.544,7.61,7.5,7.5,2460523
19920210,7.517,7.58,7.5,7.54,1829386
19920211,7.582,7.65,7.55,7.58,3224989
19920212,7.6,7.6,7.47,7.47,2540291
19920213,7.49,7.51,7.44,7.48,3047745
19920214,7.421,7.46,7.39,7.42,1267375
19920217,7.456,7.459,7.42,7.45,587458
19920218,7.478,7.53,7.46,7.47,1931404
19920219,7.468,7.49,7.44,7.47,1288746
19920220,7.517,7.54,7.42,7.43,1428866
19920221,7.52,7.53,7.44,7.44,1485952
19920224,7.449,7.48,7.43,7.46,2071438
19920225,7.504,7.63,7.48,7.58,1561900
19920226,7.61,7.7,7.58,7.6,2370443
19920227,7.6,7.6,7.49,7.54,1711901
19920228,7.531,7.54,7.46,7.47,2242548
19920302,7.495,7.58,7.47,7.58,1034699
19920303,7.582,7.63,7.51,7.51,803701
19920304,7.56,7.56,7.46,7.48,997133
19920305,7.47,7.52,7.45,7.47,577993
19920306,7.454,7.454,7.43,7.44,1162097
19920309,7.45,7.46,7.43,7.45,609997
19920310,7.453,7.5,7.45,7.47,934681
19920311,7.5,7.5,7.44,7.44,862228
19920312,7.442,7.444,7.35,7.35,1435627
19920313,7.352,7.37,7.33,7.35,1185258
19920316,7.389,7.39,7.3,7.3,1205247
19920317,7.3,7.3,7.22,7.25,1689612
19920318,7.309,7.313,7.21,7.25,1733019
19920319,7.23,7.32,7.22,7.32,975991
19920320,7.376,7.38,7.31,7.36,1181230
19920323,7.4,7.42,7.38,7.4,829581
19920324,7.36,7.43,7.36,7.42,1724503
19920325,7.408,7.42,7.39,7.39,1518309
19920326,7.409,7.41,7.36,7.37,735324
19920327,7.393,7.43,7.37,7.42,1167447
19920330,7.4,7.41,7.38,7.4,1472724
19920331,7.402,7.41,7.35,7.36,2276329
19920401,7.37,7.37,7.29,7.3,1616957
19920402,7.289,7.3,7.12,7.2,2085935
19920403,7.201,7.25,7.17,7.2,1006882
19920406,7.239,7.26,7.2,7.22,1365649
19920407,7.28,7.28,7.22,7.24,1301306
19920408,7.197,7.22,7.16,7.18,1103740
19920409,7.155,7.21,7.15,7.18,2460698
19920410,7.232,7.34,7.22,7.3,2702786
19920413,7.32,7.326,7.23,7.24,1578150
19920414,7.237,7.24,7.18,7.2,753321
19920415,7.227,7.23,7.17,7.17,3294947
19920416,7.202,7.22,7.13,7.15,1320748
19920421,7.136,7.2,7.11,7.15,1143960
19920422,7.173,7.22,7.17,7.19,2223452
19920423,7.203,7.34,7.2,7.3,1049773
19920424,7.37,7.45,7.37,7.45,2831721
19920427,7.44,7.45,7.37,7.37,470185
19920428,7.37,7.47,7.35,7.47,1900021
19920429,7.495,7.58,7.43,7.58,4509493
19920430,7.707,7.72,7.6,7.68,3807900
19920501,7.727,7.8,7.707,7.76,1898049
