Date,Open,High,Low,Close,Volume
20150526,10.01,10.01,10.01,10.01,500
20150527,10.03,10.05,10,10,67271
20150528,10.19,10.25,10.15,10.21,50677
20150529,10.28,10.29,10.25,10.26,83499
20150601,10.3,10.3,10.22,10.24,21756
20150602,10.3,10.3,10.18,10.18,58553
20150603,10.07,10.07,10,10.02,43424
20150604,10.1,10.14,10.08,10.13,19002
20150605,10.13,10.15,10.1,10.1,40832
20150609,10.11,10.11,9.97,9.99,30470
20150610,9.99,10.06,9.95,9.95,54254
20150611,10.07,10.07,9.99,10.02,39498
20150612,10.04,10.05,10.02,10.05,17359
20150615,9.95,9.98,9.94,9.94,13077
20150616,9.91,9.91,9.86,9.9,7070
20150617,9.99,10.03,9.99,10.02,23507
20150618,10.02,10.02,9.97,9.97,7028
20150619,10.06,10.12,10.06,10.12,18046
20150622,10.08,10.09,10.07,10.08,14034
20150623,10.19,10.24,10.18,10.24,11130
20150624,10.2,10.23,10.17,10.19,33510
20150625,10.19,10.19,10.16,10.16,22840
20150626,10.14,10.15,10.11,10.15,40125
20150629,10.05,10.05,10,10.03,16536
20150630,9.93,9.94,9.9,9.94,45987
20150701,9.92,9.93,9.9,9.92,24048
20150702,10.07,10.08,10.04,10.08,2375
20150703,10.08,10.15,10.08,10.15,60089
20150706,10.13,10.17,10.13,10.15,31880
20150707,10.27,10.32,10.27,10.32,20545
20150708,10.31,10.34,10.3,10.3,11408
20150709,10.22,10.22,10.19,10.19,7152
20150710,10.2,10.2,10.16,10.2,37344
20150713,10.29,10.31,10.29,10.31,6460
20150714,10.56,10.56,10.51,10.52,11232
20150715,10.55,10.55,10.52,10.52,26389
20150716,10.7,10.74,10.69,10.74,57002
20150717,10.76,10.77,10.75,10.77,67979
20150720,10.98,11.03,10.98,10.99,91619
20150721,11.03,11.07,11,11.07,93516
20150722,10.96,10.96,10.8,10.85,57986
20150723,10.92,10.93,10.88,10.91,36006
20150724,10.88,10.98,10.88,10.98,39338
20150727,10.91,10.92,10.88,10.88,76900
20150728,10.8,10.82,10.78,10.8,9601
20150729,10.79,10.82,10.78,10.82,26410
20150730,10.88,10.91,10.87,10.88,71254
20150731,10.96,10.98,10.95,10.97,62080
20150803,10.91,10.92,10.91,10.92,32338
20150804,10.93,10.94,10.81,10.81,85469
20150805,10.75,10.8,10.72,10.79,118054
20150806,10.85,10.89,10.82,10.87,63334
20150807,10.72,10.72,10.68,10.7,36310
20150810,10.64,10.67,10.64,10.67,111748
20150811,10.7,10.8,10.69,10.8,75856
20150812,10.75,10.77,10.71,10.74,21574
20150813,10.66,10.7,10.65,10.66,67934
20150814,10.66,10.68,10.66,10.66,24006
20150817,10.67,10.69,10.66,10.66,6269
20150818,10.75,10.79,10.75,10.78,81693
20150819,10.77,10.79,10.74,10.74,29207
20150820,10.66,10.67,10.64,10.67,7455
20150821,10.39,10.4,10.31,10.32,90586
20150824,10.01,10.03,9.81,9.88,47699
20150825,9.78,10,9.75,9.75,196893
20150826,9.75,9.97,9.75,9.97,67129
20150827,10.33,10.34,10.3,10.3,92809
20150828,10.47,10.49,10.43,10.46,56324
20150831,10.45,10.45,10.41,10.42,9516
20150901,10.38,10.38,10.22,10.26,40807
20150902,10.31,10.45,10.31,10.35,121090
20150903,10.51,10.55,10.49,10.54,80408
20150904,10.47,10.47,10.4,10.46,34523
