Date,Open,High,Low,Close,Volume
20070905,2.31,2.43,2.3,2.41,50101980
20070906,2.39,2.45,2.36,2.4,3021974
20070907,2.41,2.5,2.4,2.5,1919039
20070910,2.44,2.57,2.43,2.53,1902109
20070911,2.57,2.66,2.53,2.53,1457839
20070912,2.53,2.55,2.49,2.5,1377182
20070913,2.5,2.58,2.48,2.58,1054618
20070914,2.58,2.61,2.55,2.55,698222
20070917,2.55,2.57,2.5,2.51,951858
20070918,2.5,2.51,2.48,2.5,1055515
20070919,2.53,2.57,2.51,2.53,317968
20070920,2.56,2.63,2.54,2.61,5468682
20070921,2.62,2.75,2.59,2.66,1182998
20070924,2.69,2.79,2.63,2.7,576242
20070925,2.74,2.8,2.69,2.7,922947
20070926,2.69,2.69,2.6,2.62,1762441
20070927,2.67,2.77,2.64,2.71,412415
20070928,2.71,2.71,2.64,2.64,263080
20071001,2.65,2.8,2.65,2.8,88135
20071002,2.79,2.8,2.72,2.74,815792
20071003,2.76,2.92,2.76,2.82,843806
20071004,2.82,2.84,2.73,2.75,516208
20071005,2.8,2.85,2.73,2.74,389335
20071008,2.75,2.78,2.65,2.7,699003
20071009,2.71,2.73,2.67,2.68,315530
20071010,2.67,2.7,2.62,2.62,1165269
20071011,2.62,2.69,2.61,2.62,1027175
20071012,2.64,2.8,2.64,2.8,738312
20071015,2.82,2.92,2.76,2.92,1462998
20071016,2.92,3.05,2.92,2.98,2105927
20071017,2.96,3,2.95,2.98,359089
20071018,3.01,3.12,3.01,3.09,706029
20071019,3.2,3.34,3.14,3.25,624516
20071022,3.14,3.24,3.09,3.16,740382
20071023,3.25,3.35,3.17,3.29,1032968
20071024,3.39,3.45,3.31,3.32,774191
20071025,3.4,3.4,3.36,3.39,643069
20071026,3.4,3.4,3.32,3.34,403265
20071029,3.35,3.37,3.21,3.23,1142667
20071030,3.25,3.31,3.22,3.24,287696
20071031,3.24,3.3,3.21,3.23,498889
20071101,3.25,3.25,3.21,3.24,1236081
20071102,3.19,3.24,3.17,3.2,1976066
20071105,3.22,3.24,3.06,3.13,324149
20071106,3.19,3.21,3.14,3.2,358907
20071107,3.2,3.23,3.16,3.22,469146
20071108,3.17,3.29,3.16,3.25,377804
20071109,3.25,3.31,3.22,3.3,648628
20071112,3.35,3.55,3.35,3.46,732638
20071113,3.49,3.5,3.35,3.44,465710
20071114,3.48,3.52,3.45,3.45,558301
20071115,3.46,3.48,3.34,3.34,293190
20071116,3.39,3.47,3.32,3.36,430859
20071119,3.4,3.45,3.39,3.4,736845
20071120,3.4,3.42,3.36,3.38,191677
20071121,3.4,3.4,3.31,3.31,139971
20071122,3.29,3.29,3.13,3.17,423573
20071123,3.16,3.17,3.05,3.08,273359
20071126,3.14,3.14,3.1,3.12,193860
20071127,3.08,3.1,3.02,3.02,193366
20071128,3.02,3.05,2.9,3,285202
20071129,3.1,3.1,2.99,3.07,459287
20071130,3.07,3.13,3.03,3.06,479995
20071203,3.06,3.1,2.93,2.98,268270
20071204,2.98,3.05,2.97,3,652183
20071205,3,3,2.96,3,524339
20071206,3.05,3.17,3.01,3.07,1311683
20071207,3.08,3.14,3.06,3.14,475555
20071210,3.11,3.25,3.11,3.19,664596
20071211,3.29,3.29,3.16,3.19,107009
20071212,3.18,3.18,3.03,3.03,1163187
20071213,3.07,3.18,3.06,3.13,252839
20071214,3.11,3.15,2.81,2.92,1594981
20071217,2.88,2.9,2.64,2.76,448102
20071218,2.6,2.82,2.42,2.77,2246403
20071219,2.8,2.87,2.76,2.82,628212
20071220,2.82,2.91,2.82,2.82,39060
20071221,2.82,2.85,2.7,2.82,566315
20071224,2.8,2.85,2.75,2.75,47516
20071227,2.85,3.04,2.8,3.04,580099
20071228,3.04,3.08,3.03,3.05,22280
20071231,2.86,3.02,2.86,3.02,16766
20080102,2.95,2.95,2.92,2.92,36078
20080103,2.9,2.9,2.86,2.87,54195
20080104,2.86,2.86,2.8,2.8,349259
20080107,2.75,2.77,2.68,2.69,333182
20080108,2.69,2.7,2.62,2.62,654730
20080109,2.62,2.62,2.5,2.55,657346
20080110,2.55,2.62,2.55,2.6,533515
20080111,2.55,2.6,2.55,2.59,1110051
20080114,2.52,2.56,2.46,2.5,914493
20080115,2.49,2.5,2.4,2.5,407584
20080116,2.48,2.48,2.33,2.4,1075062
20080117,2.45,2.63,2.45,2.45,233067
20080118,2.47,2.47,2.35,2.43,419308
20080121,2.4,2.44,2.32,2.38,425775
20080122,2,2.05,1.7,1.975,1669663
20080123,2.2,2.3,1.995,2.05,1174117
20080124,2.05,2.1,2.04,2.05,1554924
20080125,2.29,2.32,2.25,2.31,411279
20080129,2.32,2.32,2.18,2.2,109888
20080130,2.3,2.33,2.2,2.24,265637
20080131,2.19,2.5,2.16,2.41,498866
20080201,2.48,2.48,2.28,2.35,112670
20080204,2.35,2.4,2.3,2.34,143129
20080205,2.31,2.36,2.3,2.36,104780
20080206,2.3,2.32,2.21,2.28,95675
20080207,2.28,2.28,2.2,2.23,894460
20080208,2.23,2.23,2.22,2.23,200904
20080211,2.23,2.25,2.22,2.22,401645
20080212,2.25,2.27,2.22,2.23,69885
20080213,2.25,2.25,2.16,2.18,110742
20080214,2.16,2.18,2.11,2.13,328348
20080215,2.11,2.15,2.08,2.08,269213
20080218,2.14,2.15,2.03,2.05,279319
20080219,2.07,2.08,2.02,2.05,433764
