Date,Open,High,Low,Close,Volume
20190402,20.1,20.1,20,20,8000
20190403,20.06,20.06,20.06,20.06,748
20190404,20.16,20.16,20.08,20.08,3000
20190405,20.05,20.05,20.05,20.05,1250
20190408,20.05,20.05,20.05,20.05,0
20190409,19.96,19.96,19.96,19.96,1000
20190410,19.85,19.86,19.85,19.86,1500
20190411,19.86,19.86,19.86,19.86,0
20190412,19.86,19.86,19.86,19.86,0
20190415,19.86,19.86,19.86,19.86,0
20190416,19.86,19.86,19.86,19.86,0
20190417,19.8,19.8,19.71,19.72,1886
20190418,19.48,19.48,19.48,19.48,500
20190423,19.49,19.49,19.49,19.49,2570
20190424,19.49,19.49,19.49,19.49,0
20190426,19.49,19.49,19.49,19.49,0
20190429,19.49,19.49,19.49,19.49,0
20190430,19.49,19.49,19.49,19.49,0
20190501,19.89,19.9,19.89,19.9,1550
20190502,19.9,19.9,19.9,19.9,0
20190503,19.9,19.9,19.9,19.9,0
20190506,19.9,19.9,19.9,19.9,0
20190507,19.9,19.9,19.9,19.9,0
20190508,19.9,19.9,19.9,19.9,0
20190509,19.71,19.71,19.71,19.71,500
20190510,19.73,19.73,19.73,19.73,755
20190513,19.73,19.73,19.73,19.73,0
20190514,19.73,19.73,19.73,19.73,0
20190515,20,20,20,20,75
20190516,20.11,20.11,20.11,20.11,1500
20190517,20.24,20.24,20.2,20.2,2045
20190520,20.2,20.2,20.2,20.2,0
20190521,20.09,20.09,20.09,20.09,39
20190522,20.21,20.21,20.21,20.21,1808
20190523,20.21,20.21,20.21,20.21,0
20190524,20.16,20.16,20.16,20.16,500
20190527,20.16,20.16,20.16,20.16,0
20190528,20.16,20.16,20.16,20.16,0
20190529,20.03,20.04,20.03,20.04,1730
20190530,19.85,19.86,19.85,19.86,5000
20190531,19.8,19.8,19.8,19.8,3112
20190603,19.8,19.8,19.8,19.8,0
20190604,19.8,19.8,19.8,19.8,0
20190605,19.8,19.8,19.8,19.8,0
20190606,19.8,19.8,19.8,19.8,0
20190607,19.8,19.8,19.8,19.8,0
20190611,19.8,19.8,19.8,19.8,0
20190612,19.8,19.8,19.8,19.8,0
20190613,20.2,20.2,20.2,20.2,3074
20190614,20.2,20.2,20.2,20.2,0
20190617,20.34,20.34,20.34,20.34,245
20190618,20.34,20.34,20.34,20.34,0
20190619,20.34,20.34,20.34,20.34,0
20190620,20.52,20.52,20.52,20.52,300
20190621,20.53,20.53,20.53,20.53,972
20190624,20.32,20.32,20.32,20.32,735
20190625,20.24,20.24,20.2,20.2,791
20190626,20.09,20.09,20.09,20.09,725
20190627,20.09,20.09,20.09,20.09,0
20190628,19.86,19.87,19.86,19.87,526
20190701,19.87,19.87,19.87,19.87,0
20190702,19.8,19.8,19.8,19.8,1260
20190703,19.8,19.8,19.8,19.8,0
20190704,20.29,20.29,20.29,20.29,500
20190705,20.29,20.29,20.29,20.29,0
20190708,20.3,20.3,20.2,20.2,1510
20190709,20.22,20.22,20.22,20.22,755
20190710,20.39,20.39,20.39,20.39,1000
20190711,20.45,20.47,20.45,20.47,490
20190712,20.47,20.47,20.47,20.47,0
20190715,20.47,20.47,20.47,20.47,0
20190716,20.47,20.47,20.47,20.47,0
20190717,20.2,20.2,20.19,20.19,162
20190718,20.19,20.19,20.19,20.19,0
20190719,20.19,20.19,20.19,20.19,0
20190722,20.19,20.19,20.19,20.19,0
20190723,20.19,20.19,20.19,20.19,0
20190724,20.19,20.19,20.19,20.19,0
20190725,20.19,20.19,20.19,20.19,0
20190726,20.19,20.19,20.19,20.19,0
20190729,20.02,20.02,20.02,20.02,617
20190730,20.02,20.02,20.02,20.02,0
20190731,20.2,20.2,20.2,20.2,100
20190801,19.99,19.99,19.99,19.99,25
20190802,19.93,19.96,19.93,19.96,2491
20190805,19.99,19.99,19.99,19.99,75
20190806,19.6,19.6,19.6,19.6,178
20190807,19.78,19.78,19.78,19.78,127
20190808,19.78,19.78,19.78,19.78,0
20190809,19.78,19.78,19.78,19.78,0
20190812,20.2,20.22,20.2,20.22,1180
20190813,20.13,20.13,20.13,20.13,144
20190814,20.15,20.15,20.09,20.09,1897
20190815,20.01,20.01,19.96,19.96,1250
20190816,19.96,19.96,19.96,19.96,0
20190819,19.96,19.96,19.96,19.96,0
20190820,19.96,19.96,19.96,19.96,0
20190821,19.96,19.96,19.96,19.96,0
20190822,20.36,20.36,20.36,20.36,730
20190823,20.43,20.43,20.43,20.43,51
20190826,20.43,20.43,20.43,20.43,0
20190827,20.29,20.31,20.29,20.29,856
20190828,20.28,20.28,20.28,20.28,972
20190829,20.28,20.28,20.28,20.28,0
20190830,20.47,20.47,20.47,20.47,1529
20190902,20.47,20.47,20.47,20.47,0
20190903,20.4,20.51,20.4,20.48,2565
20190904,20.61,20.64,20.61,20.64,29000
20190905,20.64,20.64,20.64,20.64,0
20190906,20.67,20.67,20.67,20.67,9000
20190909,20.67,20.67,20.67,20.67,0
20190910,20.76,20.76,20.68,20.68,6395
20190911,20.68,20.68,20.58,20.58,4750
20190912,20.69,20.69,20.64,20.64,1500
20190913,20.64,20.64,20.64,20.64,581
20190916,20.61,20.61,20.51,20.51,2918
20190917,20.63,20.63,20.63,20.63,420
20190918,20.79,20.79,20.79,20.79,1955
20190919,20.79,20.79,20.79,20.79,0
20190920,20.9,20.9,20.9,20.9,500
20190923,20.87,20.87,20.87,20.87,950
20190924,20.87,20.87,20.87,20.87,0
20190925,20.87,20.87,20.87,20.87,0
20190926,20.87,20.87,20.87,20.87,0
20190927,20.87,20.87,20.87,20.87,0
20190930,21.12,21.12,21.12,21.12,1000
20191001,21.2,21.2,21.15,21.15,988
20191002,20.96,20.96,20.9,20.9,690
20191003,20.66,20.69,20.66,20.69,1693
20191004,20.8,20.8,20.8,20.8,5400
20191007,20.89,20.9,20.89,20.9,544
20191008,20.97,20.97,20.97,20.97,3577
20191009,20.91,20.91,20.91,20.91,500
20191010,20.91,20.91,20.91,20.91,0
20191011,20.97,20.97,20.92,20.92,5300
20191014,20.92,20.92,20.92,20.92,0
20191015,20.97,20.97,20.97,20.97,1034
20191016,21.04,21.04,21.04,21.04,1500
20191017,21.04,21.04,21.04,21.04,3325
20191018,21.04,21.04,21.04,21.04,0
20191021,21.11,21.21,21.11,21.21,540
20191022,21.34,21.34,21.31,21.31,970
20191023,21.31,21.31,21.31,21.31,235
20191024,21.36,21.36,21.36,21.36,6783
20191025,21.36,21.36,21.36,21.36,0
20191028,21.3,21.3,21.2,21.2,3333
20191029,21.2,21.2,21.2,21.2,0
20191030,21.17,21.17,21.17,21.17,989
20191031,21.27,21.27,21.27,21.27,700
20191101,21.27,21.27,21.27,21.27,0
20191104,21.27,21.28,21.27,21.28,5813
20191105,21.24,21.24,21.24,21.24,46
20191106,21.22,21.22,20.97,20.98,29368
20191107,20.93,20.99,20.93,20.99,831
20191108,20.96,20.96,20.83,20.83,73888
20191111,20.8,20.8,20.68,20.68,1813
20191112,20.68,20.68,20.64,20.64,2096
20191113,20.7,20.7,20.7,20.7,1640
20191114,20.7,20.7,20.7,20.7,0
20191115,20.63,20.78,20.63,20.78,235
20191118,20.86,20.86,20.81,20.81,1341
20191119,20.96,20.96,20.96,20.96,3000
20191120,20.97,21.04,20.97,21.04,3590
20191121,20.94,20.96,20.94,20.96,928
20191122,20.98,20.98,20.77,20.77,28531
20191125,20.77,20.77,20.77,20.77,0
20191126,20.83,20.83,20.82,20.83,1667
20191127,20.85,21.06,20.85,21.06,2750
20191128,21.07,21.13,21.07,21.13,1690
20191129,21.15,21.16,21.09,21.16,4409
20191202,21.16,21.16,21.16,21.16,0
20191203,20.8,20.8,20.8,20.8,5931
20191204,20.75,20.86,20.75,20.86,1071
20191205,20.85,20.89,20.85,20.87,10933
20191206,20.89,20.89,20.88,20.89,5005
20191209,20.89,20.89,20.89,20.89,0
20191210,20.95,21.01,20.95,21.01,7123
20191211,21.01,21.01,21.01,21.01,230
20191212,20.69,20.69,20.64,20.64,1788
20191213,20.47,20.47,20.47,20.47,7643
20191216,20.41,20.45,20.41,20.43,3596
20191217,20.47,20.52,20.47,20.52,4066
20191218,20.52,20.52,20.38,20.38,2112
20191219,20.51,20.51,20.47,20.47,1774
20191220,20.53,20.62,20.53,20.62,3189
20191223,20.7,20.7,20.7,20.7,2461
20191224,20.7,20.7,20.7,20.7,0
20191227,20.72,20.72,20.72,20.72,1055
20191230,20.75,20.82,20.72,20.82,6157
20191231,20.82,20.82,20.82,20.82,0
20200102,20.82,20.82,20.82,20.82,0
20200103,20.82,20.82,20.82,20.82,0
20200106,20.82,20.82,20.82,20.82,0
20200107,20.64,20.71,20.64,20.71,20340
20200108,20.51,20.55,20.51,20.55,16256
20200109,20.62,20.62,20.56,20.56,7545
20200110,20.54,20.56,20.54,20.56,2701
20200113,20.63,20.63,20.63,20.63,2000
20200114,20.68,20.82,20.68,20.82,2630
20200115,20.77,20.79,20.77,20.78,15514
20200116,20.94,20.94,20.94,20.94,18586
20200117,21.1,21.12,21.1,21.1,26591
20200120,21.12,21.12,21.12,21.12,849
20200121,21.19,21.19,21.15,21.15,2812
20200122,21.31,21.33,21.31,21.33,23544
20200123,21.2,21.21,21.19,21.19,10437
20200124,21.22,21.32,21.22,21.32,4806
20200128,21.32,21.37,21.16,21.37,13736
20200129,21.42,21.42,21.27,21.32,34492
20200130,21.24,21.24,21.22,21.22,21060
20200131,21.29,21.29,21.25,21.25,14400
20200203,21.01,21.01,21.01,21.01,1000
20200204,21.1,21.11,20.98,21.11,96604
20200205,21.19,21.24,21.19,21.22,12128
20200206,21.31,21.31,21.25,21.29,37316
20200207,21.29,21.33,21.29,21.33,4922
20200210,21.33,21.33,21.29,21.31,7646
20200211,21.4,21.53,21.4,21.53,1317
20200212,21.53,21.53,21.53,21.53,12454
20200213,21.56,21.57,21.49,21.57,48614
20200214,21.68,21.7,21.68,21.7,11844
