Date,Open,High,Low,Close,Volume
19991125,6.5,7.2,6.5,7.1,255350
19991126,7.25,7.3,7,7,166721
19991129,7,7,6.8,6.8,588785
19991130,6.7,6.7,6.55,6.6,402860
19991201,6.55,6.55,6.45,6.45,222723
19991202,6.5,6.6,6.5,6.6,369703
19991203,6.6,6.6,6.6,6.6,20400
19991206,6.739,6.739,6.6,6.6,36150
19991207,6.65,6.65,6.65,6.65,669000
19991208,6.65,6.65,6.65,6.65,282000
19991209,6.9,7,6.9,7,166400
19991210,7.25,7.3,7.24,7.3,627005
19991213,7.526,7.526,7.39,7.45,923800
19991214,7.48,7.5,7.48,7.5,184500
19991215,7.45,7.45,7.24,7.24,16031
19991216,7,7,7,7,10900
19991217,7,7,7,7,7900
19991220,7,7,7,7,31375
19991221,7,7,7,7,21000
19991222,7,7,7,7,5990
19991223,7,7,7,7,0
19991224,7,7,7,7,24300
19991229,6.71,6.71,6.71,6.71,5
19991230,6.9,6.9,6.9,6.9,305200
20000104,6.801,6.801,6.65,6.65,15249
20000105,6.5,6.5,6.4,6.5,23061
20000106,6.5,6.5,6.4,6.4,187994
20000107,6.4,6.4,6.31,6.31,8335
20000110,6.343,6.35,6.32,6.32,5546
20000111,6.4,6.4,6.35,6.4,432954
20000112,6.4,6.55,6.4,6.55,106617
20000113,6.5,6.55,6.5,6.5,8350
20000114,6.55,6.6,6.52,6.6,8100
20000117,6.55,6.55,6.5,6.55,320650
20000118,6.55,6.55,6.55,6.55,61400
20000119,6.6,6.95,6.6,6.9,25275
20000120,6.9,7,6.9,7,204915
20000121,7.015,7.5,7.015,7.45,11452
20000124,7.86,9.3,7.86,9,119625
20000125,9,9,8.78,8.8,10105
20000127,8.01,8.01,7.62,8,56055
20000128,7.575,7.6,7.25,7.25,30972
20000131,7.058,7.45,7.058,7.45,513828
20000201,7.1,7.1,6.95,6.95,28794
20000202,7,7.2,7,7.15,82208
20000203,7.1,7.7,7.1,7.6,75390
20000204,8.005,8.487,8.005,8.487,127100
20000207,8.5,8.79,8.4,8.5,579391
20000208,8.516,8.75,8.49,8.6,73682
20000209,8.7,8.9,8.7,8.9,570430
20000210,8.9,9,8.85,8.94,21125
20000211,9.032,9.7,9.032,9.7,37007
20000214,9.389,9.4,9.3,9.3,8749
20000215,9.3,9.3,9.3,9.3,64231
20000216,9.1,9.3,9.1,9.15,10261
20000217,9.2,9.2,9.2,9.2,3430
20000218,9.2,9.2,9.1,9.2,109540
20000221,9.05,9.05,9,9.02,18881
20000222,9.02,9.02,8.95,8.98,44687
20000223,8.99,9.2,8.99,9,39173
20000224,9.189,9.29,9.189,9.2,2500
20000225,10.163,10.9,10.163,10.6,192190
20000228,10.702,11.23,10.7,11.02,43189
20000229,12,12.2,11.82,12.01,189956
20000301,12.2,12.2,12,12.1,741162
20000302,13,13.5,13,13,891400
20000303,13,13.095,13,13.095,563550
20000306,13.006,13.006,12.9,12.9,280881
20000307,12.95,12.95,12.8,12.9,243140
20000308,12.9,12.9,12.9,12.9,0
20000309,12.9,12.9,12.9,12.9,0
20000310,12.9,12.9,12.9,12.9,0
20000313,12.9,12.9,12.9,12.9,0
20000314,12.9,12.9,12.9,12.9,0
20000315,12.9,12.9,12.9,12.9,0
20000316,12.9,12.9,12.9,12.9,0
20000317,12.9,12.9,12.9,12.9,0
20000320,12.9,12.9,12.9,12.9,0
20000321,12.9,12.9,12.9,12.9,0
20000322,12.9,12.9,12.9,12.9,0
20000323,12.9,12.9,12.9,12.9,0
20000324,12.9,12.9,12.9,12.9,0
20000327,12.9,12.9,12.9,12.9,0
20000328,12.9,12.9,12.9,12.9,0
20000329,12.9,12.9,12.9,12.9,0
20000330,12.9,12.9,12.9,12.9,0
20000331,12.9,12.9,12.9,12.9,0
20000403,5.5,5.8,5.5,5.8,58000
20000404,5.8,5.8,5.8,5.8,31114
20000405,5.683,5.683,5,5.1,131134
20000406,5.603,6.1,5.603,5.8,230530
20000407,5.8,5.8,5.8,5.8,15100
20000410,5.8,5.8,5.8,5.8,12700
20000411,6,6.3,6,6.3,70920
20000412,6.27,6.27,5.7,5.7,27040
20000413,5.492,5.8,5.42,5.8,39197
20000414,5.496,5.65,5.3,5.4,113750
20000417,5.118,5.118,4.9,4.9,3561290
20000418,5.4,5.4,5.2,5.2,690161
20000419,5.507,5.71,5.507,5.55,275859
20000420,6,6,5.4,5.4,4300
20000426,5.5,5.6,5.49,5.5,80773
20000427,5.5,6,5.5,5.94,606751
20000428,5.94,6,5.9,6,614141
20000501,6.04,6.1,6.03,6.1,60857
20000502,6.39,6.7,6.39,6.6,1299190
20000503,6.6,6.6,6.34,6.4,879437
20000504,5.392,5.62,5.3,5.6,930801
20000505,5,5.2,4.85,4.85,3142694
20000508,5.02,5.06,4.9,5.05,3411726
20000509,5.25,5.25,4.85,4.87,1344024
20000510,4.8,4.8,4.5,4.51,107626
20000511,4.45,4.45,4.3,4.35,117920
20000512,4.6,4.65,4.55,4.62,67100
20000515,4.605,4.605,4.3,4.38,336890
20000516,4.65,4.65,4.55,4.6,80815
20000517,4.5,4.5,4.39,4.45,773553
20000518,4.55,4.6,4.45,4.6,114321
20000519,4.52,4.6,4.52,4.6,113354
20000522,4.5,4.5,4.45,4.5,206665
20000523,4.59,4.59,4.3,4.3,50830
20000524,4.25,4.25,4.22,4.22,1044477
20000525,4.203,4.203,4.05,4.1,50070
20000526,4.1,4.1,3.95,4,638676
20000529,4,4.02,3.95,4,40765
20000530,4,4.05,4,4.05,135775
20000531,4.21,4.25,3.95,4.25,328178
20000601,4.25,4.25,4.15,4.15,413096
20000602,4.112,4.45,4.1,4.45,23445
20000605,4.6,4.6,4.55,4.55,1171461
20000606,4.6,4.95,4.6,4.867,642102
20000607,4.911,5.05,4.9,4.986,309750
20000608,4.807,4.807,4.5,4.54,873325
20000609,4.6,4.75,4.55,4.65,274410
20000613,4.7,4.73,4.54,4.59,385323
20000614,4.7,4.9,4.65,4.8,952797
20000615,5.109,5.28,5.05,5.28,901100
20000616,5.3,5.35,5.05,5.15,884225
20000619,4.982,5.15,4.9,5.15,1371846
20000620,5.19,5.2,5.1,5.184,946104
20000621,5.15,5.21,5.15,5.21,1002999
20000622,5.194,5.194,5.05,5.08,2049481
20000623,5.1,5.1,4.98,5,1090447
20000626,4.2,4.5,4.19,4.477,2048839
20000627,4.4,4.5,4.35,4.45,2651900
20000628,4.45,4.62,4.45,4.54,780957
20000629,4.656,4.75,4.656,4.69,800984
20000630,4.69,4.69,4.54,4.659,2084819
