Date,Open,High,Low,Close,Volume
20130802,1.35,1.452,1.35,1.42,39382710
20130805,1.45,1.45,1.41,1.43,3669034
20130806,1.43,1.445,1.425,1.43,1324613
20130807,1.44,1.47,1.43,1.465,2489889
20130808,1.49,1.54,1.45,1.46,1579935
20130809,1.48,1.5,1.455,1.46,3975582
20130812,1.45,1.47,1.435,1.44,2061952
20130813,1.43,1.435,1.42,1.43,1185091
20130814,1.43,1.45,1.43,1.44,1161096
20130815,1.445,1.445,1.42,1.44,948968
20130816,1.445,1.445,1.42,1.42,555357
20130819,1.415,1.42,1.36,1.37,1775930
20130820,1.38,1.4,1.37,1.38,1479932
20130821,1.385,1.41,1.38,1.4,3385453
20130822,1.405,1.435,1.4,1.435,1679579
20130823,1.43,1.44,1.4,1.41,319952
20130826,1.42,1.43,1.41,1.42,226766
20130827,1.415,1.42,1.4,1.41,148863
20130828,1.41,1.41,1.39,1.405,2032453
20130829,1.405,1.415,1.395,1.41,472921
20130830,1.4,1.42,1.385,1.385,1010762
20130902,1.41,1.415,1.4,1.415,1241701
20130903,1.41,1.415,1.385,1.41,951381
20130904,1.42,1.42,1.395,1.41,239871
20130905,1.41,1.435,1.41,1.41,1514924
20130906,1.41,1.41,1.39,1.4,140641
20130909,1.425,1.435,1.405,1.41,726918
20130910,1.42,1.435,1.41,1.42,334728
20130911,1.435,1.44,1.41,1.425,410961
20130912,1.435,1.48,1.435,1.46,2069056
20130913,1.46,1.47,1.45,1.46,1215067
20130916,1.46,1.48,1.455,1.46,204941
20130917,1.47,1.475,1.455,1.46,279922
20130918,1.46,1.54,1.455,1.54,677782
20130919,1.53,1.59,1.495,1.56,1035872
20130920,1.56,1.6,1.5,1.5,555346
20130923,1.52,1.58,1.52,1.56,140454
20130924,1.58,1.58,1.555,1.56,211315
20130925,1.56,1.56,1.54,1.55,147620
20130926,1.55,1.585,1.55,1.575,543094
20130927,1.58,1.59,1.57,1.59,159507
20130930,1.58,1.59,1.57,1.575,145927
20131001,1.575,1.64,1.57,1.6,646552
20131002,1.6,1.65,1.595,1.625,875694
20131003,1.63,1.64,1.61,1.61,168065
20131004,1.62,1.69,1.615,1.65,583943
20131007,1.715,1.72,1.66,1.69,265336
20131008,1.7,1.73,1.675,1.7,651744
20131009,1.7,1.71,1.67,1.69,711534
20131010,1.69,1.7,1.63,1.63,556417
20131011,1.67,1.68,1.65,1.67,349572
20131014,1.675,1.7,1.67,1.67,408439
20131015,1.675,1.7,1.66,1.68,4014047
20131016,1.67,1.695,1.6,1.6,466509
20131017,1.63,1.64,1.62,1.62,174693
20131018,1.63,1.7,1.625,1.7,140687
20131021,1.7,1.7,1.67,1.68,202691
20131022,1.7,1.7,1.68,1.685,240923
20131023,1.7,1.7,1.67,1.68,323870
20131024,1.67,1.71,1.67,1.685,664889
20131025,1.7,1.705,1.695,1.7,990078
20131028,1.7,1.705,1.695,1.7,229221
20131029,1.7,1.7,1.68,1.69,314521
20131030,1.69,1.69,1.67,1.68,112303
20131031,1.69,1.69,1.67,1.67,435122
20131101,1.69,1.7,1.665,1.69,5007298
20131104,1.69,1.69,1.62,1.63,1683188
20131105,1.65,1.67,1.65,1.67,112216
20131106,1.67,1.68,1.63,1.63,224356
20131107,1.66,1.66,1.62,1.65,219721
20131108,1.65,1.68,1.63,1.67,1223840
20131111,1.67,1.67,1.62,1.65,3543561
20131112,1.65,1.68,1.635,1.65,924207
20131113,1.65,1.69,1.63,1.685,328025
20131114,1.685,1.69,1.66,1.68,278278
20131115,1.68,1.795,1.67,1.76,1647677
20131118,1.785,1.8,1.765,1.78,1238770
20131119,1.78,1.83,1.755,1.82,436276
20131120,1.82,1.82,1.76,1.77,1005979
20131121,1.77,1.78,1.755,1.78,605424
20131122,1.79,1.825,1.775,1.795,1319170
20131125,1.83,1.835,1.795,1.82,838970
20131126,1.84,1.85,1.805,1.805,14772330
20131127,1.81,1.81,1.755,1.775,863291
20131128,1.775,1.8,1.76,1.795,308161
20131129,1.775,1.8,1.75,1.77,723448
20131202,1.77,1.77,1.69,1.7,1532448
20131203,1.72,1.72,1.675,1.685,7239118
20131204,1.7,1.75,1.69,1.75,786175
20131205,1.72,1.75,1.71,1.725,574235
20131206,1.72,1.73,1.68,1.68,543500
20131209,1.695,1.695,1.66,1.66,334919
20131210,1.67,1.68,1.602,1.62,764819
20131211,1.63,1.635,1.495,1.56,650480
20131212,1.54,1.555,1.505,1.53,1392675
20131213,1.525,1.55,1.495,1.55,1153310
20131216,1.61,1.61,1.56,1.585,835436
20131217,1.61,1.61,1.565,1.575,482708
20131218,1.58,1.58,1.55,1.55,751853
20131219,1.59,1.59,1.56,1.59,386028
20131220,1.58,1.595,1.575,1.58,799176
20131223,1.595,1.625,1.595,1.625,625778
20131224,1.62,1.63,1.62,1.62,147193
20131227,1.63,1.7,1.63,1.69,60551
20131230,1.7,1.7,1.63,1.66,235219
20131231,1.635,1.655,1.6,1.655,198089
20140102,1.675,1.73,1.675,1.7,119572
20140103,1.7,1.7,1.69,1.7,63348
20140106,1.68,1.685,1.66,1.665,46852
20140107,1.66,1.67,1.63,1.63,135443
20140108,1.65,1.68,1.65,1.66,20882
20140109,1.66,1.695,1.65,1.695,390245
20140110,1.7,1.7,1.677,1.7,310687
20140113,1.7,1.7,1.652,1.665,121809
20140114,1.65,1.7,1.635,1.64,133585
20140115,1.65,1.67,1.645,1.665,97112
20140116,1.655,1.67,1.65,1.67,52358
20140117,1.65,1.7,1.65,1.7,117999
20140120,1.69,1.7,1.665,1.695,97117
20140121,1.655,1.695,1.65,1.66,69435
20140122,1.655,1.665,1.645,1.65,363100
20140123,1.645,1.645,1.605,1.61,517714
20140124,1.62,1.645,1.615,1.615,240840
20140128,1.615,1.66,1.61,1.65,224377
20140129,1.67,1.67,1.625,1.64,244037
20140130,1.64,1.64,1.615,1.635,112599
20140131,1.635,1.635,1.605,1.625,130188
20140203,1.625,1.635,1.59,1.62,254190
20140204,1.62,1.63,1.595,1.63,195772
20140205,1.6,1.63,1.565,1.57,201716
20140206,1.59,1.6,1.53,1.59,470133
20140207,1.59,1.64,1.57,1.625,1491791
20140210,1.635,1.635,1.585,1.59,271017
20140211,1.63,1.63,1.57,1.59,312203
20140212,1.59,1.63,1.57,1.585,513875
20140213,1.595,1.6,1.575,1.58,189039
20140214,1.585,1.61,1.575,1.575,433030
20140217,1.575,1.65,1.575,1.615,408138
