Date,Open,High,Low,Close,Volume
19920213,0.075,0.075,0.075,0.075,18000
19920214,0.075,0.075,0.075,0.075,0
19920217,0.075,0.075,0.075,0.075,0
19920218,0.075,0.075,0.075,0.075,0
19920219,0.075,0.075,0.075,0.075,0
19920220,0.075,0.075,0.075,0.075,0
19920221,0.075,0.075,0.075,0.075,0
19920224,0.075,0.075,0.075,0.075,0
19920225,0.075,0.075,0.075,0.075,0
19920226,0.075,0.075,0.075,0.075,0
19920227,0.075,0.075,0.075,0.075,0
19920228,0.075,0.075,0.075,0.075,0
19920302,0.075,0.075,0.075,0.075,0
19920303,0.075,0.075,0.075,0.075,0
19920304,0.075,0.075,0.075,0.075,0
19920305,0.075,0.075,0.075,0.075,0
19920306,0.075,0.075,0.075,0.075,0
19920309,0.075,0.075,0.075,0.075,0
19920310,0.075,0.075,0.075,0.075,0
19920311,0.075,0.075,0.075,0.075,0
19920312,0.075,0.075,0.075,0.075,0
19920313,0.075,0.075,0.075,0.075,0
19920316,0.075,0.075,0.075,0.075,0
19920317,0.075,0.075,0.075,0.075,0
19920318,0.07,0.07,0.07,0.07,50000
19920319,0.07,0.07,0.07,0.07,0
19920320,0.04,0.04,0.04,0.04,8000
19920323,0.05,0.05,0.05,0.05,10000
19920324,0.05,0.05,0.05,0.05,0
19920325,0.05,0.05,0.05,0.05,0
19920326,0.05,0.05,0.05,0.05,0
19920327,0.05,0.05,0.05,0.05,0
19920330,0.05,0.05,0.05,0.05,0
19920331,0.05,0.05,0.05,0.05,0
19920401,0.05,0.05,0.05,0.05,0
19920402,0.05,0.05,0.05,0.05,0
19920403,0.05,0.05,0.05,0.05,0
19920406,0.05,0.05,0.05,0.05,0
19920407,0.05,0.05,0.05,0.05,0
19920408,0.05,0.05,0.05,0.05,0
19920409,0.05,0.05,0.05,0.05,0
19920410,0.05,0.05,0.05,0.05,0
19920413,0.05,0.05,0.05,0.05,0
19920414,0.075,0.075,0.075,0.075,10000
19920415,0.075,0.075,0.075,0.075,0
19920416,0.075,0.075,0.075,0.075,0
19920421,0.075,0.075,0.075,0.075,0
19920422,0.075,0.075,0.075,0.075,0
19920423,0.075,0.075,0.075,0.075,0
19920424,0.075,0.075,0.075,0.075,0
19920427,0.075,0.075,0.075,0.075,0
19920428,0.075,0.075,0.075,0.075,0
19920429,0.075,0.075,0.075,0.075,0
19920430,0.075,0.075,0.075,0.075,0
19920501,0.075,0.075,0.075,0.075,0
19920504,0.075,0.075,0.075,0.075,0
19920505,0.075,0.075,0.075,0.075,0
19920506,0.075,0.075,0.075,0.075,0
19920507,0.075,0.075,0.075,0.075,0
19920508,0.075,0.075,0.075,0.075,0
19920511,0.075,0.075,0.075,0.075,0
19920512,0.075,0.075,0.075,0.075,0
19920513,0.075,0.075,0.075,0.075,0
19920514,0.075,0.075,0.075,0.075,0
19920515,0.075,0.075,0.075,0.075,0
19920518,0.075,0.075,0.075,0.075,0
19920519,0.075,0.075,0.075,0.075,0
19920520,0.08,0.08,0.08,0.08,10000
19920521,0.08,0.08,0.08,0.08,0
19920522,0.08,0.08,0.08,0.08,0
19920525,0.08,0.08,0.08,0.08,0
19920526,0.08,0.08,0.08,0.08,0
19920527,0.08,0.08,0.08,0.08,0
19920528,0.08,0.08,0.08,0.08,0
19920529,0.08,0.08,0.08,0.08,0
19920601,0.08,0.08,0.08,0.08,0
19920602,0.08,0.08,0.08,0.08,0
19920603,0.08,0.08,0.08,0.08,0
19920604,0.09,0.09,0.09,0.09,2000
19920605,0.09,0.09,0.09,0.09,0
19920609,0.09,0.09,0.09,0.09,0
19920610,0.09,0.09,0.09,0.09,0
19920611,0.09,0.09,0.09,0.09,0
19920612,0.09,0.09,0.09,0.09,0
19920615,0.09,0.09,0.09,0.09,0
19920616,0.09,0.09,0.09,0.09,0
19920617,0.09,0.09,0.09,0.09,0
19920618,0.09,0.09,0.09,0.09,0
19920619,0.09,0.09,0.09,0.09,0
19920622,0.09,0.09,0.09,0.09,0
19920623,0.09,0.09,0.09,0.09,0
19920624,0.055,0.055,0.05,0.05,60000
19920625,0.05,0.05,0.05,0.05,0
19920626,0.05,0.05,0.05,0.05,0
19920629,0.07,0.07,0.065,0.065,20000
19920630,0.065,0.065,0.065,0.065,0
19920701,0.065,0.065,0.065,0.065,0
19920702,0.065,0.065,0.065,0.065,0
19920703,0.065,0.065,0.065,0.065,0
19920706,0.065,0.065,0.065,0.065,0
19920707,0.065,0.065,0.065,0.065,0
19920708,0.065,0.065,0.065,0.065,0
19920709,0.065,0.065,0.065,0.065,0
19920710,0.065,0.065,0.065,0.065,0
19920713,0.065,0.065,0.065,0.065,0
19920714,0.065,0.065,0.065,0.065,0
19920715,0.065,0.065,0.065,0.065,0
19920716,0.065,0.065,0.065,0.065,0
19920717,0.065,0.065,0.065,0.065,0
19920720,0.065,0.065,0.065,0.065,0
19920721,0.065,0.065,0.065,0.065,0
19920722,0.065,0.065,0.065,0.065,0
19920723,0.065,0.065,0.065,0.065,0
19920724,0.065,0.065,0.065,0.065,0
19920727,0.065,0.065,0.065,0.065,0
19920728,0.065,0.065,0.065,0.065,0
19920729,0.065,0.065,0.065,0.065,0
19920730,0.065,0.065,0.065,0.065,0
19920731,0.065,0.065,0.065,0.065,0
19920803,0.065,0.065,0.065,0.065,0
19920804,0.08,0.08,0.08,0.08,50000
19920805,0.08,0.08,0.08,0.08,0
19920806,0.08,0.08,0.08,0.08,0
19920807,0.08,0.08,0.08,0.08,0
19920810,0.08,0.08,0.08,0.08,0
19920811,0.08,0.08,0.08,0.08,0
19920812,0.08,0.08,0.08,0.08,0
19920813,0.08,0.08,0.08,0.08,0
19920814,0.085,0.085,0.085,0.085,2000
19920817,0.085,0.085,0.085,0.085,0
19920818,0.085,0.085,0.085,0.085,0
19920819,0.085,0.085,0.085,0.085,0
19920820,0.085,0.085,0.085,0.085,0
19920821,0.085,0.085,0.085,0.085,0
19920824,0.085,0.085,0.085,0.085,0
19920825,0.085,0.085,0.085,0.085,0
19920826,0.085,0.11,0.085,0.11,3142000
19920827,0.11,0.11,0.11,0.11,0
19920828,0.11,0.11,0.11,0.11,0
19920831,0.11,0.11,0.11,0.11,0
19920901,0.11,0.11,0.11,0.11,0
19920902,0.11,0.11,0.11,0.11,0
19920903,0.11,0.11,0.11,0.11,0
19920904,0.11,0.11,0.11,0.11,0
19920907,0.11,0.11,0.11,0.11,0
19920908,0.11,0.11,0.11,0.11,0
19920909,0.11,0.11,0.11,0.11,0
19920910,0.11,0.11,0.11,0.11,0
19920911,0.11,0.11,0.11,0.11,0
19920914,0.11,0.11,0.11,0.11,0
19920915,0.11,0.11,0.11,0.11,0
19920916,0.11,0.11,0.11,0.11,0
19920917,0.11,0.11,0.11,0.11,0
19920918,0.11,0.11,0.11,0.11,0
19920921,0.11,0.11,0.11,0.11,0
19920922,0.11,0.11,0.11,0.11,0
19920923,0.11,0.11,0.11,0.11,0
19920924,0.11,0.11,0.11,0.11,0
19920925,0.11,0.11,0.11,0.11,0
19920928,0.11,0.11,0.11,0.11,0
19920929,0.11,0.11,0.11,0.11,0
19920930,0.11,0.11,0.11,0.11,0
19921001,0.11,0.11,0.11,0.11,0
19921002,0.11,0.11,0.11,0.11,0
19921005,0.11,0.11,0.11,0.11,0
19921006,0.11,0.11,0.11,0.11,0
19921007,0.11,0.11,0.11,0.11,0
19921008,0.11,0.11,0.11,0.11,0
19921009,0.11,0.11,0.11,0.11,0
19921012,0.11,0.11,0.11,0.11,0
19921013,0.11,0.11,0.11,0.11,0
19921014,0.11,0.11,0.11,0.11,0
19921015,0.11,0.11,0.11,0.11,0
19921016,0.11,0.11,0.11,0.11,0
19921019,0.11,0.11,0.11,0.11,0
19921020,0.11,0.11,0.11,0.11,0
19921021,0.11,0.11,0.11,0.11,0
19921022,0.11,0.11,0.11,0.11,0
19921023,0.11,0.11,0.11,0.11,0
19921026,0.11,0.11,0.11,0.11,0
19921027,0.11,0.11,0.1,0.1,12000
19921028,0.1,0.1,0.1,0.1,0
19921029,0.1,0.1,0.1,0.1,0
19921030,0.1,0.1,0.1,0.1,0
19921102,0.14,0.2,0.14,0.2,84000
19921103,0.2,0.2,0.2,0.2,0
19921104,0.2,0.2,0.2,0.2,0
19921105,0.2,0.2,0.2,0.2,0
19921106,0.2,0.2,0.2,0.2,0
19921109,0.2,0.2,0.2,0.2,0
19921110,0.2,0.2,0.2,0.2,0
19921111,0.2,0.2,0.2,0.2,0
19921112,0.2,0.2,0.2,0.2,0
19921113,0.2,0.2,0.2,0.2,0
19921116,0.2,0.2,0.2,0.2,0
