Date,Open,High,Low,Close,Volume
20010827,33.98,33.99,33.75,33.75,674400
20010828,33.75,33.85,33.73,33.84,47863
20010829,33.72,33.72,33.58,33.58,117161
20010830,33.59,33.59,33.3,33.33,75887
20010831,33.02,33.02,32.83,32.83,135033
20010903,32.74,32.83,32.74,32.83,137500
20010904,32.9,32.96,32.82,32.91,175031
20010905,32.82,32.96,32.75,32.94,404477
20010906,32.86,32.95,32.68,32.7,327849
20010907,32.507,32.507,32.34,32.42,108488
20010910,32.22,32.6,32.21,32.6,147183
20010911,32.62,32.69,32.62,32.69,78022
20010912,31.25,31.46,31.25,31.35,6225
20010913,31.56,31.59,31.36,31.36,20950
20010914,31.39,31.39,31.06,31.22,85650
20010917,30.42,30.47,29.75,29.75,38525
20010918,30.5,30.5,30.26,30.3,38965
20010919,30.3,30.6,30.1,30.6,158640
20010920,30.28,30.33,30,30,44710
20010921,29.453,29.59,29.453,29.55,16400
20010924,29.359,29.39,29.11,29.39,67197
20010925,29.75,29.79,29.66,29.69,158457
20010926,29.89,30.19,29.85,30.1,245774
20010927,30.03,30.22,30,30.22,149000
20010928,30.49,30.75,30.49,30.75,21745
20011001,30.75,30.75,30.75,30.75,0
20011002,31.1,31.61,31.1,31.61,150512
20011003,31.588,31.87,31.43,31.43,161601
20011004,31.63,31.69,31.43,31.58,62153
20011005,31.72,32.01,31.71,32.01,148397
20011008,31.602,31.79,31.602,31.75,76293
20011009,31.66,31.81,31.66,31.73,79506
20011010,31.71,31.76,31.62,31.65,87312
20011011,32.04,32.23,32,32.23,70199
20011012,32.66,32.66,32.49,32.57,26658
20011015,32.31,32.31,32.15,32.25,71891
20011016,32.4,32.45,32.38,32.45,47579
20011017,32.45,32.64,32.43,32.64,73328
20011018,32.3,32.3,32.11,32.22,13191
20011019,32.15,32.21,32,32,67309
20011022,32.1,32.12,32.02,32.04,58853
20011023,32.33,32.43,32.32,32.39,51490
20011024,32.4,32.72,32.38,32.7,101833
20011025,32.69,32.76,32.69,32.75,14000
20011026,33,33.17,32.97,33.08,95322
20011029,33.01,33.01,33.01,33.01,9707
20011030,32.67,32.84,32.67,32.82,2655220
20011031,32.68,32.73,32.68,32.72,4179603
20011101,32.72,32.72,32.72,32.72,0
20011102,32.93,32.93,32.85,32.85,23755
20011105,32.73,32.73,32.6,32.6,81209
20011106,33.01,33.14,33.01,33.14,47387
20011107,33.28,33.28,33,33,570937
