Date,Open,High,Low,Close,Volume
19960315,605.66,605.98,568,583,34239
19960318,582.214,582.214,565,574,6290
19960319,577.846,580,576.98,579.99,7667
19960320,579,584,579,584,9376
19960321,584.009,597,584.008,593,4134
19960322,593.817,600,593,598,7416
19960325,600.13,621,600,619,2425
19960326,619,621,608,608,2268
19960327,610,610,607.9,608,3256
19960328,606.846,611,604,611,11118
19960329,612.002,612.01,610,610,1719
19960401,610,611,608,608,556
19960402,608,608,605,605,388
19960403,605.1,605.1,603,605.1,2820
19960404,605.089,605.1,603.8,605,2020
19960409,604.5,606,604.5,605,601
19960410,605.01,605.1,600,605.1,1131
19960411,605.518,610,605.51,610,742
19960412,610,621.1,610,620,906
19960415,620.19,621,620,621,2617
19960416,621.5,632,621.5,632,2673
19960417,631,637.01,631,637,1830
19960418,638,647,638,643,1148
19960419,640,643,635,635,300
19960422,634,636,633,635,812
19960423,635.01,640,635.01,639,2889
19960424,640,640,636,637,588
19960426,637.005,637.5,637,637.5,257
19960429,637.5,638,635,635,606
19960430,631,631,627,627,47440
19960501,627,628,625,625,718
19960502,625,625,618,619,327
19960503,612,617.1,609,617,361
19960506,615,620,615,620,310
19960507,620,625,618,625,213
19960508,625,628,622,622.1,1383
19960509,622.2,625,622,622,208
19960510,623,624,620,620,505
19960513,619.994,620,618,620,646
19960514,620,621,619,620,421
19960515,620,625,620,625,1109
19960516,624,624,622,624,124
19960517,623.992,624,622,622,127
19960520,622,622,618,620,230
19960521,618.005,624.99,618.005,621,228
19960522,621,623.5,618,618,451
19960523,622,622,618,620,175
19960524,620.007,622,620,621,253
19960527,620.999,621,620,620,1186
19960528,621,622,621,622,148
19960529,622.1,623,622.1,623,607
19960530,623,623,622,622,1442
19960531,622.99,623,621.5,621.5,2081
19960603,621.469,622,620.2,620.2,2754
19960604,620.2,620.2,620,620,1528
19960605,620,620,618,620,180
19960606,618,618,618,618,397
19960607,618,620,618,620,91
19960611,616.1,620,615,615,133
19960612,615.08,620,615,619,342
19960613,603.5,605,603,605,204
19960614,607,610,607,607,1335
19960617,606.1,606.1,600,605,18073
19960618,604.953,605,600,600,468
19960619,600,604.9,595,604.9,40309
19960620,603.004,603.004,596,600,18420
19960621,600.003,600.5,597,598,40338
19960624,598,600.06,598,600.06,758
19960625,604.9,610,604.9,608,278
19960626,609,609,606,608,1372
