Date,Open,High,Low,Close,Volume
20220524,4.61,4.78,4.49,4.7,9696288
20220525,4.72,4.78,4.65,4.65,7196939
20220526,4.62,4.72,4.55,4.71,5779610
20220527,4.75,4.89,4.725,4.8,5269963
20220530,4.86,4.87,4.76,4.78,7078159
20220531,4.8,4.88,4.74,4.74,7617629
20220601,4.73,4.75,4.55,4.6,7587982
20220602,4.55,4.62,4.46,4.55,7782544
20220603,4.46,4.54,4.35,4.43,6398604
20220606,4.41,4.48,4.38,4.42,2214089
20220607,4.42,4.54,4.42,4.48,5809684
20220608,4.41,4.68,4.41,4.59,7106932
20220609,4.51,4.62,4.46,4.57,7763818
20220610,4.56,4.61,4.5,4.55,4407322
20220614,4.32,4.59,4.23,4.59,6953619
20220615,4.64,4.7,4.42,4.49,8715324
20220616,4.5,4.59,4.46,4.52,6683374
20220617,4.41,4.51,4.35,4.5,14847540
20220620,4.42,4.535,4.42,4.5,6450709
20220621,4.55,4.56,4.41,4.52,8297773
20220622,4.46,4.52,4.45,4.46,5075481
20220623,4.54,4.55,4.47,4.53,3618275
20220624,4.58,4.625,4.54,4.58,4284677
20220627,4.63,4.63,4.47,4.56,3811453
20220628,4.55,4.55,4.43,4.54,5184871
20220629,4.45,4.53,4.32,4.42,6932301
20220630,4.45,4.56,4.43,4.52,5533030
20220701,4.52,4.56,4.48,4.48,3240242
20220704,4.57,4.59,4.47,4.57,4865553
20220705,4.56,4.68,4.56,4.6,3768144
20220706,4.61,4.67,4.58,4.6,4374750
20220707,4.63,4.63,4.56,4.6,4888888
20220708,4.56,4.6,4.51,4.54,3818511
20220711,4.55,4.56,4.47,4.52,4785191
20220712,4.5,4.53,4.47,4.5,4189599
20220713,4.54,4.54,4.46,4.51,4993359
20220714,4.45,4.53,4.45,4.53,3963148
20220715,4.5,4.56,4.5,4.55,2801029
20220718,4.57,4.59,4.45,4.51,2900453
20220719,4.48,4.49,4.42,4.46,4446641
20220720,4.52,4.56,4.45,4.47,5114539
20220721,4.47,4.51,4.44,4.48,4708081
20220722,4.46,4.49,4.41,4.44,5313300
20220725,4.46,4.5,4.43,4.43,2789531
