Date,Open,High,Low,Close,Volume
19971117,2.6,2.75,2.6,2.67,307942200
19971118,2.605,2.819,2.435,2.53,260418800
19971119,2.493,2.649,2.484,2.57,119527800
19971120,2.56,2.64,2.537,2.63,72716750
19971121,2.601,2.72,2.601,2.71,83610340
19971124,2.666,2.729,2.645,2.67,41518520
19971125,2.625,2.667,2.581,2.64,47377260
19971126,2.666,2.69,2.605,2.69,42390880
19971127,2.689,2.78,2.661,2.77,71555410
19971128,2.766,2.85,2.746,2.75,86887660
19971201,2.717,2.81,2.67,2.7,31114280
19971202,2.696,2.786,2.68,2.76,39677500
19971203,2.797,2.799,2.74,2.77,33235490
19971204,2.827,2.827,2.76,2.79,30409100
19971205,2.818,2.818,2.75,2.78,25065320
19971208,2.798,2.89,2.781,2.85,42455660
19971209,2.902,2.93,2.813,2.93,33483660
19971210,2.916,2.936,2.86,2.86,30761620
19971211,2.85,2.86,2.8,2.84,22953000
19971212,2.77,2.89,2.77,2.86,26506960
19971215,2.881,2.93,2.854,2.91,21086280
19971216,2.981,3.01,2.902,3,32449340
19971217,3.04,3.15,2.99,3.09,22359910
19971218,3.041,3.119,2.99,3.04,17160460
19971219,2.978,3.09,2.97,3.08,21586830
19971222,2.99,3.18,2.99,3.15,19401210
19971223,3.18,3.28,3.133,3.25,26925780
19971224,3.28,3.3,3.15,3.15,12010200
19971229,3.128,3.19,3.113,3.18,6974926
19971230,3.193,3.252,3.14,3.16,22791240
19971231,3.16,3.24,3.16,3.24,30083180
19980102,3.164,3.25,3.1,3.24,6213774
19980105,3.201,3.29,3.193,3.25,15802820
19980106,3.24,3.27,3.212,3.25,15626510
19980107,3.19,3.238,3.17,3.18,14411760
19980108,3.15,3.22,3.143,3.2,18262830
19980109,3.142,3.21,3.142,3.2,11337960
19980112,3.022,3.18,3,3.09,22486970
19980113,3.164,3.169,3.1,3.14,14842540
19980114,3.156,3.22,3.154,3.2,9261862
19980115,3.185,3.21,3.13,3.18,12624080
19980116,3.17,3.26,3.151,3.25,18575500
19980119,3.274,3.32,3.267,3.32,21124080
19980120,3.31,3.37,3.294,3.37,15953440
19980121,3.33,3.39,3.26,3.28,13234910
19980122,3.225,3.276,3.2,3.2,9612719
19980123,3.18,3.33,3.15,3.33,15444180
19980127,3.286,3.3,3.251,3.29,6322729
19980128,3.29,3.31,3.24,3.28,9627458
19980129,3.307,3.31,3.26,3.28,9985015
19980130,3.282,3.34,3.282,3.32,15083000
19980202,3.33,3.41,3.307,3.38,18919190
19980203,3.415,3.431,3.32,3.33,9871388
19980204,3.34,3.38,3.31,3.32,7665884
19980205,3.327,3.34,3.28,3.34,5862616
19980206,3.34,3.36,3.32,3.34,5827819
19980209,3.336,3.4,3.336,3.4,10151560
19980210,3.35,3.41,3.35,3.39,15365750
19980211,3.37,3.48,3.37,3.47,33276270
19980212,3.503,3.55,3.461,3.54,14139820
19980213,3.556,3.595,3.47,3.5,18316080
19980216,3.507,3.51,3.4,3.411,10530030
19980217,3.428,3.5,3.398,3.5,15787820
19980218,3.474,3.61,3.46,3.56,32794610
19980219,3.61,3.67,3.546,3.63,28278730
19980220,3.645,3.645,3.57,3.61,14223880
19980223,3.597,3.78,3.597,3.71,21443250
19980224,3.702,3.78,3.68,3.76,9151520
19980225,3.761,3.92,3.733,3.87,18532590
19980226,3.803,3.91,3.791,3.9,57591100
19980227,3.903,3.94,3.86,3.91,13566870
19980302,3.905,3.92,3.77,3.77,27125400
19980303,3.767,3.767,3.6,3.68,16381240
19980304,3.731,3.739,3.67,3.7,9527387
19980305,3.694,3.694,3.61,3.61,13606970
19980306,3.575,3.61,3.52,3.59,15094660
19980309,3.68,3.68,3.57,3.58,6752929
19980310,3.577,3.68,3.563,3.67,9542880
19980311,3.724,3.74,3.684,3.73,18123800
19980312,3.737,3.8,3.72,3.79,16308150
19980313,3.76,3.88,3.76,3.85,17667310
19980316,3.744,3.832,3.704,3.78,19404240
19980317,3.811,3.9,3.794,3.87,16390290
19980318,3.843,3.89,3.83,3.84,13289240
19980319,3.81,3.89,3.79,3.89,15758200
19980320,3.86,3.92,3.86,3.91,27164390
19980323,3.907,4,3.903,3.98,22251580
19980324,3.98,4,3.936,3.94,30378340
19980325,3.977,3.978,3.86,3.87,23532080
19980326,3.85,3.878,3.82,3.84,18560750
19980327,3.836,3.9,3.831,3.89,19887770
19980330,3.86,3.9,3.844,3.89,9787370
19980331,3.9,3.93,3.871,3.89,15392550
19980401,3.903,3.93,3.89,3.89,10685870
19980402,3.876,3.916,3.83,3.84,18553510
19980403,3.88,3.88,3.84,3.85,10164890
19980406,3.879,3.89,3.83,3.84,7682069
19980407,3.847,3.868,3.82,3.83,10597490
19980408,3.8,3.83,3.75,3.77,19128790
19980409,3.736,3.759,3.72,3.74,9312718
19980414,3.747,3.85,3.74,3.85,15436710
19980415,3.871,3.9,3.83,3.89,14382600
19980416,3.915,3.917,3.82,3.85,18752780
19980417,3.79,3.859,3.79,3.83,11803290
19980420,3.834,3.87,3.817,3.86,8472563
19980421,3.889,3.889,3.81,3.82,18072810
19980422,3.813,3.84,3.76,3.76,14907370
19980423,3.74,3.768,3.7,3.74,18298080
19980424,3.733,3.75,3.67,3.74,22510820
19980427,3.71,3.731,3.67,3.7,14612330
19980428,3.667,3.684,3.581,3.68,19348780
19980429,3.693,3.71,3.57,3.58,30921750
19980430,3.577,3.65,3.577,3.6,20683520
19980501,3.654,3.75,3.632,3.73,16277650
19980504,3.746,3.749,3.7,3.74,5252774
19980505,3.734,3.734,3.7,3.73,6968730
19980506,3.723,3.727,3.67,3.71,12921220
19980507,3.68,3.692,3.66,3.69,12906800
19980508,3.665,3.69,3.64,3.65,25850270
19980511,3.645,3.65,3.6,3.65,22365530
19980512,3.62,3.65,3.61,3.64,16782930
19980513,3.66,3.66,3.63,3.64,14175570
19980514,3.618,3.69,3.611,3.68,25082540
19980515,3.676,3.82,3.662,3.8,32718550
19980518,3.804,3.93,3.71,3.88,41056980
19980519,3.849,3.91,3.803,3.89,21845800
19980520,3.886,3.899,3.84,3.86,20979740
19980521,3.883,3.888,3.76,3.77,21425020
19980522,3.731,3.744,3.71,3.73,9564503
19980525,3.74,3.745,3.69,3.7,6117599
19980526,3.73,3.78,3.7,3.78,6710931
19980527,3.695,3.78,3.695,3.73,10546840
19980528,3.756,3.8,3.713,3.8,12673510
19980529,3.77,3.84,3.76,3.76,26682630
19980601,3.704,3.742,3.66,3.69,16424010
19980602,3.679,3.7,3.65,3.66,14313730
19980603,3.6,3.69,3.6,3.67,14903830
19980604,3.634,3.74,3.634,3.73,7926305
19980605,3.705,3.75,3.69,3.7,8171590
19980609,3.68,3.7,3.65,3.66,10660930
19980610,3.64,3.67,3.62,3.63,17100940
19980611,3.64,3.64,3.55,3.58,25937780
19980612,3.5,3.65,3.46,3.65,28537440
19980615,3.65,3.68,3.59,3.64,10200860
19980616,3.58,3.77,3.56,3.73,22780000
19980617,3.73,3.79,3.73,3.78,19138880
19980618,3.84,3.91,3.81,3.86,20084910
19980619,3.8,3.87,3.77,3.85,20668970
19980622,3.8,3.88,3.8,3.88,12026070
19980623,3.86,3.91,3.86,3.9,18605350
19980624,3.92,3.96,3.91,3.95,11691060
19980625,3.96,4.06,3.95,3.99,21683600
19980626,4,4.09,3.99,4.05,20137330
19980629,4.07,4.1,4.04,4.08,16616820
19980630,4.09,4.17,4.08,4.14,12256420
19980701,4.09,4.23,4.05,4.23,23803130
19980702,4.25,4.4,4.25,4.35,14734930
19980703,4.29,4.39,4.24,4.36,21218270
19980706,4.35,4.49,4.35,4.46,10564790
19980707,4.45,4.48,4.36,4.39,15736570
19980708,4.37,4.44,4.37,4.4,12750220
19980709,4.4,4.42,4.27,4.37,16316160
19980710,4.31,4.34,4.28,4.29,13167490
19980713,4.25,4.36,4.24,4.35,13002420
