Date,Open,High,Low,Close,Volume
20151211,49.59,49.66,49.59,49.66,11200
20151214,49.6,49.6,49.6,49.6,100
20151215,48.9,49.04,48.7,49.04,28519
20151216,49.04,49.04,49.04,49.04,0
20151217,50.5,50.89,50.44,50.89,5597
20151218,50.77,50.77,50.77,50.77,5000
20151221,50.77,50.77,50.77,50.77,0
20151222,50.5,50.5,50.5,50.5,1500
20151223,50.5,50.5,50.5,50.5,0
20151224,50.5,50.5,50.5,50.5,0
20151229,50.5,50.5,50.5,50.5,0
20151230,50.5,50.5,50.5,50.5,0
20151231,50.5,50.5,50.5,50.5,0
20160104,50.5,50.5,50.5,50.5,50
20160105,50.5,50.5,50.5,50.5,0
20160106,50,50,50,50,50
20160107,50,50,50,50,0
20160108,48.64,49.15,48.64,49.15,6205
20160111,49.15,49.15,49.15,49.15,0
20160112,48.46,48.46,48.46,48.46,110
20160113,48.39,48.39,48.39,48.39,3000
20160114,48.38,48.38,48.38,48.38,2500
20160115,48.36,48.36,48.36,48.36,21
20160118,47.57,47.57,47.57,47.57,40
20160119,47.57,47.57,47.57,47.57,0
20160120,47.57,47.57,47.57,47.57,0
20160121,46.45,47.44,46.45,47.44,2720
20160122,46.25,46.25,46.25,46.25,14
20160125,47.5,47.5,47.3,47.33,20000
20160127,47.3,47.3,47.24,47.3,3350
20160128,47.3,47.3,47.3,47.3,0
20160129,47.3,47.3,47.3,47.3,0
20160201,48.19,48.19,48.19,48.19,215
20160202,47.31,47.31,47.28,47.28,2215
20160203,47.17,47.17,47.17,47.17,215
20160204,46.49,46.9,46.49,46.9,2717
20160205,46.9,46.9,46.9,46.9,0
20160208,47.08,47.08,47.08,47.08,2000
20160209,46.84,46.84,46.7,46.7,5000
20160210,46.85,46.85,46.7,46.7,3270
20160211,46.43,46.43,45.63,46.41,4960
20160212,45.61,46.01,45.61,46.01,5000
20160215,46.02,46.02,46.02,46.02,2500
20160216,46.02,46.02,46.02,46.02,0
20160217,47.49,47.49,47.49,47.49,2500
20160218,47.49,47.49,47.49,47.49,0
20160219,47.49,47.49,47.49,47.49,0
20160222,47.4,47.79,47.4,47.79,1765
20160223,47.19,47.19,47.19,47.19,210
20160224,47.19,47.19,47.19,47.19,0
20160225,47.19,47.19,47.19,47.19,0
20160226,46.85,46.85,46.85,46.85,220
20160229,47.24,47.24,47.15,47.15,575
20160301,47.44,47.44,47.1,47.1,546
20160302,48.01,48.1,48.01,48.1,2310
20160303,48.1,48.1,48.1,48.1,0
20160304,48.1,48.1,48.1,48.1,0
20160307,48.1,48.1,48.1,48.1,0
20160308,48.1,48.1,48.1,48.1,0
20160309,47.78,47.78,47.7,47.7,2176
20160310,47.69,47.69,47.69,47.69,60
20160311,47.74,47.74,47.74,47.74,210
20160314,47.43,47.43,47.43,47.43,102
20160315,48.12,48.12,48.12,48.12,1
20160316,48.28,48.28,48.28,48.28,20
20160317,47.9,47.9,47.8,47.8,2200
20160318,47.95,47.95,47.95,47.95,2500
20160321,47.95,47.95,47.95,47.95,0
20160322,47.95,47.95,47.95,47.95,0
20160323,47.95,47.95,47.95,47.95,0
20160324,47.95,47.95,47.95,47.95,0
20160329,48.66,48.66,48.38,48.38,1139
20160330,48.92,48.92,48.92,48.92,11
20160331,48.92,48.92,48.92,48.92,0
20160401,48.89,48.89,48.89,48.89,716
20160404,48.88,48.88,48.88,48.88,204
20160405,48.38,48.38,48.38,48.38,41
20160406,48.38,48.38,48.38,48.38,0
20160407,48.38,48.38,48.38,48.38,0
20160408,48.33,48.33,48.33,48.33,350
20160411,48.33,48.33,48.33,48.33,0
20160412,48.33,48.33,48.33,48.33,0
20160413,48.33,48.33,48.33,48.33,0
20160414,49.14,49.14,49.14,49.14,200
20160415,49.14,49.29,49.14,49.29,395
20160418,49.29,49.29,49.29,49.29,0
20160419,49.29,49.29,49.29,49.29,0
20160420,49.29,49.29,49.29,49.29,0
20160421,48.51,48.51,48.51,48.51,250
20160422,48.51,48.51,48.51,48.51,0
20160426,48.51,48.51,48.51,48.51,0
20160427,48.51,48.51,48.51,48.51,0
20160428,49.44,49.44,49.44,49.44,11
20160429,49.18,49.18,49.14,49.14,71
20160502,48.67,48.67,48.67,48.67,11
20160503,48.67,48.67,48.67,48.67,0
20160504,48.41,48.41,48.28,48.28,12
20160505,48.15,48.15,48.05,48.08,2542
20160506,48.08,48.08,48.08,48.08,0
20160509,48.08,48.08,48.08,48.08,0
20160510,48.08,48.08,48.08,48.08,0
20160511,48.82,48.82,48.82,48.82,600
20160512,48.7,48.7,48.7,48.7,25
20160513,48.24,48.24,48.24,48.24,7
20160516,48.89,48.89,48.89,48.89,4000
20160517,48.89,48.89,48.89,48.89,0
20160518,48.68,48.68,48.68,48.68,79
20160519,48.68,48.68,48.68,48.68,0
20160520,48.68,48.68,48.68,48.68,0
20160523,49.03,49.03,49.03,49.03,3059
20160524,49.03,49.03,49.03,49.03,1613
20160525,49.96,49.96,49.96,49.96,100
20160526,50.3,50.3,50,50,1554
20160527,50,50,50,50,2000
20160530,50.89,50.89,50.6,50.6,3989
20160531,50.6,50.6,50.6,50.6,0
20160601,50.6,50.6,50.35,50.42,4070
20160602,50.7,50.7,50.5,50.5,636
20160603,50.5,50.5,50.5,50.5,0
20160606,50.5,50.5,50.5,50.5,0
20160607,50.5,50.5,50.5,50.5,0
20160608,50.7,50.7,50.7,50.7,780
20160609,50.95,50.95,50.95,50.95,247
20160610,51.04,51.04,50.97,50.97,734
20160614,50.97,50.97,50.97,50.97,0
20160615,50.97,50.97,50.97,50.97,0
20160616,49.56,49.56,49,49,1370
20160617,49.71,49.71,49.31,49.31,3648
20160620,49.31,49.31,49.31,49.31,0
20160621,49.63,49.84,49.5,49.78,11141
20160622,49.78,49.78,49.78,49.78,0
20160623,50,50,49.66,49.89,17064
20160624,50.03,50.03,47.93,47.93,272
20160627,48.52,48.52,48.52,48.52,210
