Date,Open,High,Low,Close,Volume
20101015,50.2,50.21,49.78,50.21,263480
20101018,50.22,50.22,49.87,49.87,27939
20101019,49.89,50,49.89,50,4050
20101020,49.69,49.69,49.49,49.6,4948
20101021,49.86,49.86,49.86,49.86,1000
20101022,49.46,49.46,49.44,49.44,500
20101025,50.05,50.05,50.05,50.05,600
20101026,49.91,49.91,49.52,49.52,4311
20101027,48.98,49.3,48.95,48.95,13756
20101028,49.47,49.5,49.47,49.5,7000
20101029,49.7,49.7,49.35,49.47,7600
20101101,49.78,49.78,49.78,49.78,220
20101102,50.16,50.2,50.16,50.2,850
20101103,50.5,50.5,49.52,49.66,610
20101104,49.66,49.66,49.66,49.66,0
20101105,49.98,50.01,49.98,50.01,630
20101108,49.25,49.25,49.12,49.12,3268
20101109,48.86,48.86,48.7,48.7,1635
20101110,49.23,49.23,49.23,49.23,200
20101111,48.67,48.95,48.67,48.77,440
20101112,48.62,48.62,48.55,48.55,450
20101115,48.35,48.35,47.83,47.83,2883
20101116,47.83,47.83,47.83,47.83,0
20101117,47.81,47.81,47.78,47.78,1400
20101118,47.5,47.5,47.5,47.5,270
20101119,47.92,47.92,47.92,47.92,1000
20101122,48.6,48.64,48.6,48.64,705
20101123,48.62,48.64,48.43,48.53,6520
20101124,48.12,48.22,48.12,48.22,6309
20101125,48.22,48.22,48.22,48.22,0
20101126,48.39,48.54,48.39,48.54,34782
20101129,48.37,48.37,48.37,48.37,256
20101130,48.46,48.46,48.46,48.46,256
20101201,48.08,48.08,48,48,770
20101202,48,48,48,48,0
20101203,49.09,49.09,48.82,48.82,16100
20101206,48.59,48.62,48.55,48.55,522
20101207,48.88,48.88,48.86,48.86,5650
20101208,48.82,48.82,48.82,48.82,600
20101209,49.28,49.28,49.28,49.28,11
20101210,49.43,49.43,49.43,49.43,21
20101213,49.46,49.46,49.46,49.46,201
20101214,49.46,49.46,49.46,49.46,0
20101215,49.05,49.05,49.01,49.05,4300
20101216,49.39,49.39,49.38,49.38,765
20101217,48.74,48.74,48.61,48.61,696
20101220,48.84,48.87,48.83,48.87,20750
20101221,48.94,48.94,48.93,48.93,3603
20101222,48.84,48.88,48.84,48.88,16386
20101223,49.2,49.34,49.2,49.34,10500
20101224,49.34,49.34,49.34,49.34,0
20101229,49.29,49.29,49.16,49.24,662
20101230,49.24,49.24,49.24,49.24,0
20101231,49.25,49.25,49.25,49.25,100
20110104,48.33,48.33,48.33,48.33,507
20110105,48.46,48.46,48.46,48.46,205
20110106,48.69,48.75,48.69,48.75,10000
20110107,48.5,48.5,48.5,48.5,155
20110110,48.5,48.83,48.5,48.83,1079
20110111,48.62,49.33,48.62,49.33,3763
20110112,49,49.01,48.95,48.95,10362
