Date,Open,High,Low,Close,Volume
20090512,45.05,45.22,45.05,45.22,303
20090513,45.14,45.25,45.14,45.25,1228
20090514,44.65,44.75,44.61,44.75,303
20090515,44.6,44.6,44.6,44.6,220
20090518,44.88,44.88,44.85,44.85,404
20090519,46.03,46.34,45.86,45.86,1890
20090520,45.67,45.67,45.67,45.67,110
20090521,45.85,45.85,45.73,45.73,350
20090522,45.37,45.37,45.37,45.37,50
20090525,45.37,45.6,45.37,45.6,166
20090526,45.6,45.6,45.6,45.6,0
20090527,45.6,45.6,45.6,45.6,0
20090528,45.44,45.69,45.44,45.69,404
20090529,45.33,45.45,45.25,45.45,1030
20090601,45.45,45.45,45.45,45.45,0
20090602,46.26,46.26,46.26,46.26,110
20090603,46.25,46.3,46.23,46.23,1970
20090604,46.23,46.23,45.67,46.11,2355
20090605,46.11,46.11,46.11,46.11,0
20090609,46.11,46.11,46.11,46.11,0
20090610,46.1,46.1,46.07,46.1,1050
20090611,46.21,46.21,46.05,46.12,740
20090612,46.1,46.1,46.04,46.04,325
20090615,46.34,46.34,46.1,46.1,560
20090616,45.7,45.7,45.7,45.7,60
20090617,45.2,45.2,45.17,45.18,1043
20090618,45.18,45.18,45.18,45.18,0
20090619,44.32,44.32,44.32,44.32,100
20090622,45.04,45.07,45.04,45.07,462
20090623,44.19,44.37,44.19,44.37,2016
20090624,44.21,44.21,44.21,44.21,200
20090625,44.21,44.21,44.21,44.21,0
20090626,44.79,44.79,44.79,44.79,45
20090629,45.23,45.23,45.01,45.01,1840
20090630,44.91,44.97,44.91,44.95,800
20090701,44.95,44.95,44.95,44.95,0
20090702,44.95,44.95,44.95,44.95,0
20090703,44.95,44.95,44.95,44.95,0
20090706,44.66,44.66,44.66,44.66,222
20090707,44.63,44.63,44.63,44.63,200
20090708,44.15,44.23,44.07,44.07,1996
20090709,44.33,44.34,44.33,44.34,400
20090710,44.7,44.7,44.7,44.7,318
20090713,44.5,44.5,44.18,44.21,5865
20090714,44.7,44.7,44.7,44.7,225
20090715,44.7,44.7,44.7,44.7,0
20090716,45.67,45.67,45.66,45.66,1619
20090717,46.01,46.15,46.01,46.15,1943
20090720,46.04,46.1,46.04,46.1,1060
20090721,46.6,46.66,46.6,46.66,465
20090722,46.66,46.66,46.66,46.66,0
20090723,46.6,46.6,46.6,46.6,500
20090724,47.3,47.38,47.19,47.38,1157
20090727,47.83,47.83,47.8,47.8,647
20090728,47.79,47.79,47.79,47.79,313
20090729,47.26,47.26,47.2,47.2,1093
20090730,47.2,47.2,47.2,47.2,0
20090731,47.7,47.7,47.64,47.64,372
20090803,47.73,48.28,47.73,48.28,1281
20090804,48.72,48.72,48.45,48.58,1710
20090805,48.58,48.58,48.58,48.58,0
20090806,48.58,48.58,48.3,48.3,1711
20090807,48.3,48.3,48.3,48.3,0
20090810,48.3,48.3,48.16,48.19,1306
20090811,48.11,48.49,48.11,48.49,634
20090812,47.86,47.86,47.86,47.86,209
20090813,48.49,48.71,48.2,48.2,1499
20090814,48.17,48.48,48.17,48.48,455
20090817,48.82,48.98,48.78,48.87,6453
20090818,47.31,47.32,47.31,47.32,1950
20090819,48.02,48.02,48.02,48.02,1039
20090820,48.17,48.32,48.17,48.19,2957
20090821,48.78,48.78,48.6,48.67,2520
20090824,49.11,49.11,49.11,49.11,245
20090825,49.04,49.21,49.04,49.05,3613
20090826,49.65,49.65,49.65,49.65,1225
20090827,49.71,49.71,49.61,49.61,701
20090828,49.61,49.61,49.61,49.61,120
20090831,49.1,49.1,49.1,49.1,1325
20090901,49,49,48.7,48.7,633
20090902,48.68,48.68,48.44,48.44,1555
20090903,48.28,48.31,48.22,48.22,4005
20090904,48.12,48.15,47.91,47.91,1352
20090907,48.37,48.41,48.37,48.41,241
20090908,48.13,48.13,48.13,48.13,1120
20090909,48.94,49.02,48.94,49.02,5915
20090910,49.29,49.63,49.29,49.63,1800
20090911,49.16,49.16,49.16,49.16,200
20090914,49.28,49.28,49.28,49.28,420
20090915,49.32,49.32,49.31,49.31,1050
20090916,49.8,49.93,49.8,49.88,2461
20090917,50.44,50.44,50.17,50.31,556
20090918,50.25,50.31,50.21,50.21,3372
20090921,50.36,50.42,50.35,50.38,2597
20090922,50.4,50.4,50.12,50.12,635
20090923,50.26,50.26,50.26,50.26,196
20090924,50.27,50.27,50.01,50.04,459
20090925,49.58,49.58,49.55,49.55,278
20090928,49.6,49.6,49.29,49.45,4039
20090929,49.6,49.73,49.58,49.71,1071
20090930,49.46,49.46,49.45,49.45,402
20091001,49.14,49.17,49.14,49.17,420
20091002,50,50,48.44,48.44,932
20091005,49.5,49.5,48.09,48.63,6206
20091006,48.53,48.53,48.15,48.15,759
20091007,48.64,48.67,48.43,48.43,37854
20091008,48.65,48.81,48.43,48.43,2660
20091009,48.58,48.58,48.58,48.58,1801
20091012,48.69,48.72,48.69,48.72,1025
20091013,48.71,48.75,48.71,48.75,1433
20091014,50,50,50,50,400
20091015,50,50,49.2,49.2,1375
20091016,49.65,49.65,48.75,49.23,4232
20091019,49,49.38,48.6,48.72,4534
20091020,49.1,49.1,49.1,49.1,125
20091021,48.92,49.05,48.92,49.01,1552
20091022,48.42,48.43,48.4,48.43,1363
20091023,48.52,49.18,48.52,49.18,1400
20091026,49.18,49.18,49.18,49.18,0
20091027,48.14,48.14,48,48.04,614
20091028,47.9,47.9,47.61,47.8,1351
20091029,47.05,47.19,46.97,46.97,3001
