Date,Open,High,Low,Close,Volume
19920102,4.432,4.5,4.42,4.46,1836582
19920103,4.428,4.46,4.42,4.46,2044040
19920106,4.505,4.508,4.43,4.45,2402047
19920107,4.433,4.433,4.34,4.38,3395799
19920108,4.34,4.38,4.28,4.29,3490705
19920109,4.301,4.38,4.28,4.35,5068129
19920110,4.388,4.44,4.38,4.42,3439048
19920113,4.4,4.41,4.33,4.35,1243658
19920114,4.337,4.35,4.29,4.3,2007495
19920115,4.358,4.37,4.32,4.36,4401023
19920116,4.356,4.356,4.29,4.29,1479049
19920117,4.271,4.272,4.23,4.25,3414381
19920120,4.28,4.28,4.19,4.19,2719596
19920121,4.158,4.21,4.15,4.17,1984700
19920122,4.157,4.21,4.144,4.2,2084690
19920123,4.238,4.24,4.2,4.22,2146360
19920124,4.2,4.2,4.12,4.15,2464685
19920128,4.16,4.17,4.12,4.17,3243649
19920129,4.22,4.22,4.09,4.1,1939632
19920130,4.042,4.05,4,4.02,2923552
19920131,4.155,4.18,4.08,4.18,4724304
19920203,4.193,4.2,4.17,4.18,853945
19920204,4.163,4.19,4.15,4.19,1048440
19920205,4.227,4.227,4.16,4.18,712517
19920206,4.17,4.22,4.16,4.22,2323338
19920207,4.23,4.29,4.21,4.23,1219318
19920210,4.186,4.23,4.186,4.23,376310
19920211,4.263,4.29,4.26,4.28,1688140
19920212,4.28,4.29,4.18,4.19,1825754
19920213,4.219,4.22,4.14,4.17,2060057
19920214,4.135,4.14,4.07,4.09,1749966
19920217,4.091,4.094,4.07,4.07,1283376
19920218,4.075,4.1,4.07,4.08,1461447
19920219,4.075,4.09,4.06,4.07,1897728
19920220,4.064,4.09,4.06,4.06,842053
19920221,4.082,4.09,4.01,4.01,3790256
19920224,4.02,4.03,4,4.02,3750734
19920225,4.067,4.1,4.032,4.1,2260175
19920226,4.094,4.1,4.08,4.08,1252434
19920227,4.107,4.107,4.01,4.01,1420751
19920228,4.017,4.03,4,4.02,2143364
19920302,4.037,4.1,4.032,4.1,920718
19920303,4.114,4.13,4.04,4.06,768280
19920304,4.06,4.08,3.95,3.96,4424696
19920305,3.95,3.96,3.93,3.94,2619492
19920306,3.915,3.916,3.85,3.85,2528315
19920309,3.847,3.86,3.81,3.84,1925672
19920310,3.861,3.92,3.84,3.92,1975415
19920311,3.959,3.973,3.91,3.91,902625
19920312,3.887,3.9,3.84,3.84,1691591
19920313,3.83,3.86,3.83,3.84,1640205
19920316,3.851,3.86,3.81,3.81,1449567
19920317,3.831,3.834,3.77,3.8,1804315
19920318,3.797,3.828,3.78,3.79,1839682
19920319,3.79,3.83,3.79,3.83,1133404
19920320,3.84,3.9,3.83,3.9,941611
19920323,3.9,3.92,3.87,3.89,496923
19920324,3.885,3.888,3.84,3.86,1731508
19920325,3.848,3.849,3.8,3.8,2792691
19920326,3.81,3.81,3.67,3.68,3402415
19920327,3.72,3.74,3.69,3.71,3397887
19920330,3.709,3.74,3.7,3.72,1533155
19920331,3.74,3.76,3.73,3.76,1591928
19920401,3.761,3.761,3.69,3.69,974155
19920402,3.68,3.69,3.58,3.62,2232463
19920403,3.656,3.656,3.57,3.61,1500699
19920406,3.635,3.66,3.59,3.65,1483554
19920407,3.701,3.77,3.68,3.71,1935185
19920408,3.642,3.67,3.58,3.59,981785
19920409,3.58,3.62,3.55,3.55,2206008
19920410,3.611,3.67,3.58,3.64,1632515
19920413,3.653,3.7,3.6,3.6,916140
19920414,3.6,3.607,3.55,3.58,1332631
19920415,3.62,3.65,3.61,3.62,1816488
19920416,3.641,3.67,3.64,3.64,1157706
19920421,3.622,3.68,3.62,3.67,1022581
19920422,3.7,3.74,3.69,3.74,1393810
19920423,3.753,3.8,3.75,3.8,1407272
19920424,3.832,3.86,3.81,3.86,2785871
19920427,3.841,3.85,3.8,3.82,1727240
19920428,3.81,3.86,3.79,3.86,1075158
19920429,3.88,4,3.86,3.98,2119445
19920430,4.068,4.1,4.04,4.05,3167557
19920501,4.076,4.11,4.03,4.05,1748633
19920504,4.066,4.15,4.057,4.1,1592995
19920505,4.189,4.2,4.1,4.12,2160592
19920506,4.12,4.25,4.12,4.23,4512478
19920507,4.262,4.35,4.25,4.31,4270039
19920508,4.297,4.297,4.22,4.23,1721865
19920511,4.218,4.23,4.17,4.2,1179290
19920512,4.2,4.208,4.16,4.19,1828686
19920513,4.207,4.21,4.15,4.15,1901221
19920514,4.14,4.14,4.09,4.12,1782131
19920515,4.09,4.09,3.93,3.93,3253516
19920518,3.94,4.08,3.94,4,1369557
19920519,4.045,4.05,3.88,3.94,1299103
19920520,3.86,3.92,3.84,3.89,2674354
19920521,3.626,3.79,3.575,3.72,10041940
19920522,3.706,3.72,3.66,3.7,6125880
19920525,3.692,3.71,3.67,3.68,2317851
19920526,3.682,3.69,3.61,3.63,2803233
19920527,3.607,3.607,3.51,3.52,7041280
19920528,3.553,3.553,3.48,3.51,6229172
19920529,3.502,3.514,3.45,3.5,5099937
19920601,3.492,3.496,3.45,3.46,3505072
19920602,3.482,3.52,3.46,3.5,2551909
19920603,3.491,3.55,3.49,3.52,4371202
19920604,3.532,3.59,3.53,3.55,3089496
19920605,3.574,3.58,3.55,3.57,3199443
19920609,3.592,3.63,3.57,3.57,3025155
19920610,3.415,3.43,3.38,3.39,8145586
19920611,3.364,3.41,3.35,3.38,15582540
19920612,3.406,3.406,3.36,3.37,3455459
19920615,3.371,3.38,3.3,3.32,3534605
19920616,3.296,3.312,3.25,3.26,7262398
19920617,3.245,3.29,3.24,3.28,3127207
19920618,3.231,3.28,3.22,3.27,1919638
19920619,3.3,3.35,3.29,3.33,2322570
19920622,3.345,3.38,3.341,3.35,2631160
19920623,3.36,3.4,3.36,3.4,3516009
19920624,3.42,3.48,3.42,3.45,1958705
19920625,3.451,3.48,3.43,3.48,1845942
19920626,3.47,3.47,3.42,3.42,1613840
19920629,3.413,3.46,3.39,3.45,1090216
19920630,3.48,3.48,3.42,3.44,841119
19920701,3.436,3.5,3.43,3.49,1000482
19920702,3.502,3.54,3.5,3.52,2280302
19920703,3.497,3.53,3.47,3.47,1228478
19920706,3.46,3.49,3.45,3.47,923900
19920707,3.491,3.5,3.48,3.48,1547871
19920708,3.46,3.46,3.39,3.39,2880163
19920709,3.397,3.4,3.31,3.32,2948086
19920710,3.338,3.35,3.3,3.34,1860911
19920713,3.359,3.359,3.31,3.34,1250621
19920714,3.345,3.35,3.32,3.34,968353
19920715,3.335,3.336,3.28,3.32,1239484
19920716,3.31,3.32,3.3,3.3,548237
19920717,3.298,3.298,3.23,3.25,1694887
19920720,3.236,3.238,3.17,3.17,1777370
19920721,3.132,3.154,3.1,3.14,3975681
19920722,3.141,3.15,3.09,3.12,2419923
19920723,3.089,3.15,3.08,3.15,2425392
19920724,3.16,3.16,3.12,3.14,2805250
19920727,3.155,3.2,3.13,3.14,1602572
19920728,3.155,3.155,3.12,3.14,791179
19920729,3.195,3.2,3.15,3.16,3171777
19920730,3.22,3.22,3.18,3.2,2265964
19920731,3.208,3.26,3.2,3.23,5917699
19920803,3.24,3.27,3.24,3.26,928136
19920804,3.259,3.259,3.22,3.25,759167
19920805,3.238,3.238,3.17,3.17,992006
19920806,3.141,3.15,3.09,3.14,2793433
19920807,3.128,3.15,3.11,3.14,989015
19920810,3.12,3.14,3.11,3.14,1922763
19920811,3.15,3.15,3.09,3.1,1717880
19920812,3.09,3.09,2.97,2.98,1942042
19920813,2.974,3,2.96,2.98,2087268
19920814,2.991,3,2.96,2.98,1973602
19920817,2.983,3.03,2.982,3.03,2029226
19920818,3.002,3.04,3,3.01,2498463
19920819,3.018,3.02,2.96,2.97,3754560
19920820,2.968,3,2.95,2.97,1820901
19920821,2.979,2.99,2.96,2.98,2279535
19920824,2.977,2.977,2.93,2.94,2586068
19920825,2.899,2.92,2.88,2.91,3188527
19920826,2.93,2.99,2.93,2.95,2726806
19920827,2.955,2.98,2.95,2.95,1045492
19920828,2.974,2.98,2.95,2.96,2699247
19920831,2.95,2.96,2.92,2.96,2535079
19920901,2.951,2.96,2.94,2.95,1527194
19920902,2.94,2.95,2.9,2.92,2880141
19920903,2.925,2.925,2.83,2.84,5480531
19920904,2.876,2.92,2.86,2.9,2461719
19920907,2.9,2.9,2.82,2.83,3183398
19920908,2.842,2.849,2.78,2.8,5322189
19920909,2.761,2.79,2.73,2.75,3310661
19920910,2.817,3,2.73,2.88,5872059
19920911,2.991,3.02,2.89,2.91,8256008
19920914,2.955,3,2.94,2.98,3737652
19920915,3.013,3.015,2.96,3,1846961
19920916,2.952,2.97,2.9,2.9,6512071
19920917,2.927,2.97,2.88,2.96,3913362
19920918,2.97,3.04,2.97,3.03,2311313
19920921,3.06,3.12,3.03,3.08,1678384
19920922,3.07,3.07,2.96,3,6000734
19920923,2.98,3.06,2.96,3,7438061
19920924,2.93,2.94,2.86,2.91,7201650
19920925,2.891,2.891,2.79,2.86,5644655
19920928,2.848,2.88,2.8,2.85,5022043
19920929,2.844,2.87,2.83,2.84,3493521
19920930,2.85,2.86,2.83,2.85,1832433
19921001,2.83,2.9,2.82,2.86,2417135
19921002,2.855,2.86,2.84,2.85,2057269
19921005,2.791,2.83,2.791,2.8,1221883
19921006,2.776,2.81,2.765,2.78,2039890
19921007,2.8,2.82,2.77,2.77,2612553
19921008,2.77,2.8,2.77,2.79,1288215
19921009,2.82,2.84,2.79,2.84,2608045
19921012,2.83,2.88,2.82,2.86,1621334
19921013,2.873,2.9,2.86,2.89,1505150
19921014,2.9,2.9,2.87,2.88,1595225
19921015,2.863,2.88,2.85,2.87,980400
19921016,2.846,2.86,2.82,2.82,2231894
19921019,2.815,2.83,2.79,2.8,3307113
19921020,2.82,2.83,2.78,2.8,2508426
19921021,2.812,2.83,2.8,2.82,1937595
19921022,2.831,2.86,2.82,2.84,960617
19921023,2.846,2.85,2.81,2.82,918587
19921026,2.82,2.82,2.79,2.79,1174739
19921027,2.81,2.813,2.77,2.77,946535
19921028,2.775,2.78,2.75,2.76,2939394
19921029,2.76,2.76,2.73,2.74,2854492
19921030,2.743,2.78,2.73,2.74,6156106
19921102,2.753,2.76,2.68,2.7,1130765
19921103,2.71,2.72,2.68,2.72,923762
19921104,2.73,2.76,2.71,2.75,942119
19921105,2.73,2.78,2.72,2.75,692714
19921106,2.448,2.56,2.396,2.51,9140652
19921109,2.501,2.52,2.42,2.5,16492450
19921110,2.507,2.54,2.5,2.53,4945852
19921111,2.538,2.62,2.538,2.6,1267765
19921112,2.609,2.65,2.6,2.62,2563518
19921113,2.605,2.66,2.6,2.63,6245732
19921116,2.609,2.62,2.59,2.6,1565171
19921117,2.582,2.63,2.58,2.6,1666718
19921118,2.619,2.66,2.61,2.62,925225
19921119,2.65,2.67,2.62,2.67,6383472
19921120,2.666,2.73,2.666,2.73,3909972
19921123,2.786,2.84,2.78,2.8,3780221
19921124,2.815,2.92,2.812,2.9,4379014
19921125,2.95,3,2.93,2.98,9464757
19921126,3,3.03,2.96,2.99,16080500
19921127,3.031,3.04,2.98,3,4072451
19921130,3.001,3.03,3,3,2655920
19921201,3.001,3.02,2.97,2.98,1858351
19921202,2.973,2.973,2.92,2.95,1427711
19921203,2.93,2.95,2.9,2.91,1662597
19921204,2.913,2.92,2.91,2.92,738245
19921207,2.93,2.97,2.92,2.96,1011405
19921208,3.001,3.06,3.001,3.04,3460318
19921209,3.065,3.08,3.03,3.05,2497247
19921210,3.055,3.09,3.04,3.07,3519660
19921211,3.068,3.07,3,3.01,1958867
19921214,3.02,3.08,3,3.08,1744457
19921215,3.088,3.09,3.06,3.06,4015950
19921216,3.061,3.062,3.01,3.03,1739097
19921217,3.007,3.09,3,3.04,2407453
19921218,3.084,3.19,3.084,3.18,8306024
19921221,3.211,3.25,3.16,3.16,18886330
19921222,3.175,3.2,3.15,3.17,9265920
19921223,3.18,3.19,3.16,3.16,4224447
19921224,3.152,3.18,3.151,3.17,1610077
19921229,3.196,3.23,3.18,3.22,1391034
19921230,3.239,3.26,3.23,3.24,2505535
19921231,3.242,3.25,3.22,3.23,1439749
19930104,3.23,3.24,3.21,3.24,1129390
19930105,3.248,3.25,3.2,3.2,1913169
19930106,3.18,3.19,3.13,3.15,2315663
19930107,3.14,3.17,3.13,3.16,1157076
19930108,3.15,3.15,3.09,3.14,2172362
19930111,3.132,3.17,3.12,3.16,2122203
19930112,3.163,3.17,3.11,3.11,1348501
19930113,3.115,3.115,3.03,3.04,4961241
19930114,3.022,3.09,2.86,2.91,11285490
19930115,2.9,2.93,2.86,2.92,6965672
19930118,2.896,2.897,2.84,2.85,5016362
19930119,2.87,2.888,2.76,2.79,7224879
19930120,2.756,2.84,2.75,2.83,3870761
19930121,2.87,2.88,2.84,2.87,2792771
19930122,2.895,3,2.85,2.9,6121636
19930125,2.943,2.98,2.87,2.89,3462971
19930126,2.892,2.93,2.892,2.92,2105445
19930127,2.933,2.95,2.92,2.93,3230786
19930128,2.95,2.97,2.94,2.96,3913331
19930129,2.985,3,2.96,2.97,37928720
19930201,2.964,2.97,2.94,2.97,5575038
19930202,2.982,3.01,2.98,3,5987447
19930203,3.052,3.055,3,3,4057223
19930204,3.051,3.06,3,3.02,3616105
19930205,3.023,3.03,3.01,3.03,6544008
19930208,3.042,3.05,3.01,3.03,6463518
19930209,3.024,3.15,3.021,3.11,8760334
19930210,3.082,3.15,3.08,3.14,4632309
19930211,3.122,3.19,3.122,3.18,2742844
19930212,3.184,3.2,3.17,3.2,3392548
19930215,3.181,3.19,3.14,3.17,2322307
19930216,3.18,3.21,3.16,3.19,3690598
19930217,3.16,3.28,3.15,3.27,4549661
19930218,3.26,3.31,3.2,3.23,2418300
19930219,3.226,3.26,3.21,3.22,1609918
19930222,3.233,3.24,3.21,3.24,1301497
19930223,3.247,3.27,3.23,3.25,2059123
19930224,3.227,3.25,3.21,3.22,2845229
19930225,3.204,3.22,3.13,3.15,6036805
19930226,3.14,3.14,3.06,3.08,6462533
19930301,3.1,3.19,3.09,3.19,2680190
19930302,3.168,3.24,3.16,3.22,3429892
19930303,3.239,3.239,3.17,3.17,4107333
19930304,3.176,3.22,3.17,3.2,3305236
19930305,3.2,3.21,3.17,3.2,1425437
19930308,3.161,3.18,3.15,3.18,619478
19930309,3.199,3.22,3.18,3.19,2418375
19930310,3.189,3.2,3.17,3.2,1734761
19930311,3.194,3.23,3.19,3.22,3135590
19930312,3.227,3.24,3.16,3.2,2622173
19930315,3.052,3.11,3.005,3.07,3350009
19930316,3.118,3.14,3.09,3.11,3983177
19930317,3.106,3.12,3.05,3.07,2594217
19930318,3.046,3.07,2.96,3.06,4939037
19930319,3.06,3.12,3.06,3.12,2436562
19930322,3.1,3.11,3.08,3.1,2353520
19930323,3.081,3.09,3.01,3.03,3267483
19930324,3.025,3.03,3,3.02,7115568
19930325,3.02,3.03,2.98,2.99,4659037
19930326,2.978,3,2.959,2.99,3169394
19930329,2.996,3.03,2.996,3.01,1596656
19930330,3.027,3.07,3.027,3.05,1453497
19930331,3.043,3.08,3,3.04,3799678
19930401,3.01,3.05,3.01,3.05,2763916
19930402,3.038,3.1,3.03,3.08,1704669
19930405,3.077,3.12,3.05,3.08,2948179
19930406,3.083,3.1,3.01,3.03,5384035
19930407,3.026,3.026,2.98,3.02,8285801
19930408,3.028,3.039,2.99,3.03,4583690
19930413,3.033,3.15,3.03,3.11,4734136
19930414,3.138,3.18,3.135,3.17,5775089
19930415,3.205,3.27,3.199,3.25,24555560
19930416,3.309,3.35,3.28,3.33,9540855
19930419,3.365,3.42,3.33,3.33,5827717
19930420,3.35,3.43,3.35,3.41,15747260
19930421,3.417,3.45,3.401,3.44,13721270
19930422,3.458,3.58,3.452,3.54,9346471
19930423,3.495,3.52,3.42,3.43,22363240
19930426,3.392,3.42,3.38,3.4,612979
19930427,3.405,3.42,3.37,3.38,2998428
19930428,3.374,3.39,3.36,3.38,1943785
19930429,3.37,3.38,3.3,3.31,3102967
19930430,3.296,3.34,3.27,3.33,42088420
19930503,3.304,3.34,3.3,3.32,2055269
