Date,Open,High,Low,Close,Volume
20161020,24.74,24.74,24.74,24.74,200
20161021,24.74,24.74,24.74,24.74,0
20161024,24.86,24.86,24.86,24.86,1036
20161025,24.86,24.86,24.86,24.86,0
20161026,24.69,24.69,24.54,24.54,303
20161027,24.54,24.54,24.54,24.54,0
20161028,24.54,24.54,24.54,24.54,0
20161031,24.54,24.54,24.54,24.54,0
20161101,24.69,24.69,24.69,24.69,103
20161102,24.69,24.69,24.69,24.69,0
20161103,24.38,24.38,24.38,24.38,122
20161104,24.38,24.38,24.38,24.38,0
20161107,24.44,24.44,24.44,24.44,1500
20161108,24.31,24.31,24.31,24.31,122
20161109,24.31,24.31,24.31,24.31,0
20161110,24.87,24.87,24.87,24.87,900
20161111,24.87,24.87,24.87,24.87,0
20161114,24.87,24.87,24.87,24.87,0
20161115,24.87,24.87,24.87,24.87,0
20161116,24.87,24.87,24.87,24.87,0
20161117,24.87,24.87,24.87,24.87,0
20161118,24.87,24.87,24.87,24.87,0
20161121,24.87,24.87,24.87,24.87,0
20161122,24.87,24.87,24.87,24.87,0
20161123,24.87,24.87,24.87,24.87,0
20161124,24.87,24.87,24.87,24.87,0
20161125,24.87,24.87,24.87,24.87,0
20161128,25.87,25.87,25.87,25.87,192
20161129,25.87,25.87,25.87,25.87,0
20161130,25.87,25.87,25.87,25.87,0
20161201,26.2,26.2,26.2,26.2,955
20161202,26.2,26.2,26.2,26.2,0
20161205,26.2,26.2,26.2,26.2,0
20161206,25.9,25.9,25.9,25.9,350
20161207,25.9,25.9,25.9,25.9,0
20161208,25.9,25.9,25.9,25.9,0
20161209,25.9,25.9,25.9,25.9,0
20161212,25.9,25.9,25.9,25.9,0
20161213,26.4,26.4,26.4,26.4,188
20161214,26.4,26.4,26.4,26.4,0
20161215,26.4,26.4,26.4,26.4,0
20161216,26.4,26.4,26.4,26.4,0
20161219,26.4,26.4,26.4,26.4,0
20161220,26.4,26.4,26.4,26.4,0
20161221,26.4,26.4,26.4,26.4,0
20161222,26.4,26.4,26.4,26.4,0
20161223,26.4,26.4,26.4,26.4,0
20161228,26.4,26.4,26.4,26.4,0
20161229,26.4,26.4,26.4,26.4,0
20161230,26.4,26.4,26.4,26.4,0
20170103,26.4,26.4,26.4,26.4,0
20170104,26.4,26.4,26.4,26.4,0
20170105,26.4,26.4,26.4,26.4,0
20170106,26.4,26.4,26.4,26.4,0
20170109,27.2,27.2,27.2,27.2,170
20170110,27.15,27.15,26.9,26.9,3000
20170111,26.9,26.9,26.9,26.9,0
20170112,26.9,26.9,26.9,26.9,0
20170113,26.9,26.9,26.9,26.9,0
20170116,26.9,26.9,26.9,26.9,0
20170117,26.9,26.9,26.9,26.9,0
20170118,26.9,26.9,26.9,26.9,0
20170119,26.9,26.9,26.9,26.9,0
20170120,26.9,26.9,26.9,26.9,0
20170123,26.9,26.9,26.9,26.9,0
20170124,26.9,26.9,26.9,26.9,0
20170125,26.9,26.9,26.9,26.9,0
20170127,26.9,26.9,26.9,26.9,0
20170130,26.9,26.9,26.9,26.9,0
20170131,26.9,26.9,26.9,26.9,0
20170201,26.9,26.9,26.9,26.9,0
20170202,26.9,26.9,26.9,26.9,0
20170203,26.9,26.9,26.9,26.9,0
20170206,26.9,26.9,26.9,26.9,0
20170207,26.9,26.9,26.9,26.9,0
20170208,26.5,26.54,26.5,26.54,7500
20170209,26.54,26.54,26.54,26.54,0
20170210,26.54,26.54,26.54,26.54,0
20170213,26.54,26.54,26.54,26.54,0
20170214,26.54,26.54,26.54,26.54,0
20170215,26.68,26.68,26.68,26.68,374
20170216,26.68,26.68,26.68,26.68,0
20170217,26.68,26.68,26.68,26.68,0
20170220,26.68,26.68,26.68,26.68,0
20170221,26.68,26.68,26.68,26.68,0
20170222,26.68,26.68,26.68,26.68,0
20170223,26.68,26.68,26.68,26.68,0
20170224,26.68,26.68,26.68,26.68,0
20170227,26.68,26.68,26.68,26.68,0
20170228,26.68,26.68,26.68,26.68,0
20170301,26.68,26.68,26.68,26.68,0
20170302,26.68,26.68,26.68,26.68,0
20170303,26.68,26.68,26.68,26.68,0
20170306,26.68,26.68,26.68,26.68,0
20170307,26.68,26.68,26.68,26.68,0
20170308,26.68,26.68,26.68,26.68,0
20170309,27.4,27.4,27.4,27.4,912
20170310,27.52,27.52,27.5,27.5,350
20170313,27.45,27.45,27.45,27.45,159
20170314,27.45,27.45,27.45,27.45,0
20170315,27.46,27.46,27.46,27.46,300
20170316,27.46,27.46,27.46,27.46,0
20170317,27.46,27.46,27.46,27.46,0
20170320,27.12,27.12,27.12,27.12,1000
20170321,27.12,27.12,27.12,27.12,0
20170322,27.06,27.1,27.06,27.1,3585
20170323,27.1,27.1,27.1,27.1,0
20170324,27.1,27.1,27.1,27.1,0
20170327,27.1,27.1,27.1,27.1,0
20170328,27.1,27.1,27.1,27.1,0
20170329,27.1,27.1,27.1,27.1,0
20170330,27.1,27.1,27.1,27.1,0
20170331,27.1,27.1,27.1,27.1,0
20170403,27.1,27.1,27.1,27.1,0
20170404,27.1,27.1,27.1,27.1,0
20170405,27.1,27.1,27.1,27.1,0
20170406,27.1,27.1,27.1,27.1,0
20170407,27.1,27.1,27.1,27.1,0
20170410,27.1,27.1,27.1,27.1,0
20170411,27.1,27.1,27.1,27.1,0
20170412,27.1,27.1,27.1,27.1,0
20170413,27.1,27.1,27.1,27.1,0
20170418,27.1,27.1,27.1,27.1,0
20170419,27.1,27.1,27.1,27.1,0
20170420,27.1,27.1,27.1,27.1,0
20170421,27.1,27.1,27.1,27.1,0
20170424,27.1,27.1,27.1,27.1,0
20170426,27.1,27.1,27.1,27.1,0
20170427,27.1,27.1,27.1,27.1,0
20170428,28.55,28.55,28.55,28.55,56
20170501,28.55,28.55,28.55,28.55,0
20170502,28.33,28.33,28.33,28.33,176
20170503,28.33,28.33,28.33,28.33,0
20170504,28.33,28.33,28.33,28.33,0
20170505,28.33,28.33,28.33,28.33,0
20170508,28.33,28.33,28.33,28.33,0
20170509,28.33,28.33,28.33,28.33,0
20170510,28.33,28.33,28.33,28.33,0
20170511,28.33,28.33,28.33,28.33,0
20170512,28.33,28.33,28.33,28.33,0
20170515,28.33,28.33,28.33,28.33,0
20170516,29.22,29.22,29.1,29.1,800
20170517,29.13,29.13,29.13,29.13,274
20170518,29.13,29.13,29.13,29.13,0
20170519,28.8,28.8,28.77,28.77,3000
20170522,28.77,28.77,28.77,28.77,0
20170523,29.02,29.02,28.9,28.9,2654
20170524,28.9,28.9,28.9,28.9,0
20170525,28.9,28.9,28.9,28.9,0
20170526,28.9,28.9,28.9,28.9,0
20170529,28.9,28.9,28.9,28.9,0
20170530,29.3,29.3,29.3,29.3,6576
20170531,29.24,29.25,29.24,29.25,2025
20170601,29.25,29.25,29.25,29.25,0
20170602,29.25,29.25,29.25,29.25,0
20170605,29.65,29.65,29.65,29.65,1000
20170606,29.51,29.54,29.51,29.54,142
20170607,29.54,29.54,29.54,29.54,0
20170608,29.54,29.54,29.54,29.54,0
20170609,29.25,29.25,29.25,29.25,259
20170613,29,29.14,29,29.14,385
20170614,29.14,29.14,29.14,29.14,0
20170615,29.1,29.1,29,29,163
20170616,29,29,29,29,600
20170619,29,29,29,29,0
20170620,29,29,29,29,0
20170621,29,29,29,29,0
20170622,29,29,29,29,0
20170623,29.1,29.1,29.1,29.1,500
20170626,28.92,28.92,28.92,28.92,341
20170627,29.06,29.06,29,29,862
20170628,28.8,28.88,28.8,28.88,517
20170629,28.93,28.93,28.93,28.93,11576
20170630,28.71,28.71,28.47,28.55,16434
20170703,27.56,27.56,27.37,27.37,2203
20170704,27.48,27.77,27.48,27.77,2346
20170705,27.7,27.7,27.7,27.7,1038
20170706,27.75,27.86,27.75,27.86,8539
20170707,27.85,27.85,27.85,27.85,118
20170710,27.86,27.89,27.75,27.89,3405
20170711,27.89,27.89,27.89,27.89,0
20170712,27.89,27.89,27.89,27.89,0
20170713,27.89,27.89,27.89,27.89,0
20170714,27.73,27.73,27.73,27.73,448
20170717,27.64,27.64,27.64,27.64,19
20170718,27.64,27.64,27.5,27.5,4701
20170719,27.3,27.3,27.27,27.27,1615
20170720,27.34,27.34,27.23,27.23,861
20170721,27.23,27.23,27.23,27.23,0
20170724,27.39,27.42,27.39,27.39,2077
20170725,27.3,27.36,27.3,27.36,1391
20170726,27.36,27.36,27.36,27.36,0
20170727,27.16,27.16,27.1,27.1,1480
20170728,27.1,27.1,27.1,27.1,0
20170731,27.11,27.11,27.11,27.11,4209
20170801,27.11,27.11,27.11,27.11,0
20170802,27.4,27.4,27.4,27.4,2000
20170803,27.5,27.5,27.5,27.5,700
20170804,27.48,27.48,27.48,27.48,182
20170807,27.55,27.55,27.55,27.55,1270
20170808,27.68,27.68,27.6,27.6,1764
20170809,27.6,27.6,27.6,27.6,0
20170810,27.6,27.6,27.6,27.6,0
20170811,27.54,27.54,27.54,27.54,2165
20170814,27.32,27.32,27.32,27.32,187
20170815,27.65,27.65,27.65,27.65,361
20170816,27.65,27.65,27.65,27.65,0
20170817,27.65,27.65,27.65,27.65,0
20170818,27.65,27.65,27.65,27.65,0
20170821,27.19,27.19,27.16,27.19,132294
20170822,27.14,27.22,27.14,27.18,1226
20170823,27.43,27.43,27.43,27.43,322
20170824,27.43,27.46,27.37,27.45,305
20170825,27.54,27.54,27.54,27.54,1988
20170828,27.38,27.4,27.27,27.4,8590
20170829,27.32,27.33,27.19,27.19,5763
20170830,27.22,27.22,27.21,27.22,5053
20170831,27.54,27.54,27.39,27.39,1450
20170901,27.61,27.61,27.61,27.61,791
20170904,27.51,27.53,27.39,27.53,634
20170905,27.48,27.48,27.35,27.35,982
20170906,27.27,27.33,27.2,27.33,14598
20170907,27.28,27.28,27.16,27.28,418
20170908,27.1,27.1,27.09,27.09,2439
20170911,27.26,27.26,27.26,27.26,12
20170912,27.49,27.69,27.49,27.63,95859
20170913,27.66,27.67,27.62,27.65,22152
20170914,27.67,27.67,27.58,27.62,20964
20170915,27.64,27.72,27.64,27.69,1410
20170918,27.75,27.75,27.75,27.75,117
20170919,28,28,28,28,595
20170920,27.98,27.98,27.98,27.98,13
20170921,28,28.14,27.87,28.14,1445
20170922,28.18,28.18,28.18,28.18,884
20170925,28.08,28.2,28.08,28.2,211
20170926,28.1,28.1,28.1,28.1,8
20170927,28.38,28.47,28.38,28.47,810
20170928,28.67,28.67,28.67,28.67,162
20170929,28.64,28.66,28.6,28.66,2791
20171002,28.82,28.87,28.8,28.8,764
20171003,29.02,29.1,29.02,29.07,1203
20171004,29.01,29.01,28.94,28.94,1615
20171005,29.1,29.1,29.1,29.1,207
20171006,29.31,29.31,29.31,29.31,349
20171009,29.2,29.2,29.2,29.2,21
20171010,29.45,29.45,29.35,29.35,5136
20171011,29.4,29.46,29.32,29.46,927
20171012,29.4,29.4,29.3,29.39,1207
20171013,29.36,29.36,29.35,29.35,1964
20171016,29.3,29.3,29.12,29.12,438
20171017,29.42,29.42,29.39,29.39,822
20171018,29.29,29.29,29.29,29.29,2496
20171019,29.3,29.3,29.3,29.3,1705
20171020,29.29,29.3,29.29,29.3,151
20171023,29.49,29.66,29.49,29.52,1744
20171024,29.64,29.64,29.52,29.52,1587
20171025,29.7,29.96,29.7,29.96,128
20171026,29.96,29.96,29.89,29.89,256
20171027,30.32,30.42,30.32,30.35,295
20171030,30.25,30.34,30.17,30.28,2124
20171031,30.18,30.18,30.18,30.18,131
20171101,30.45,30.45,30.35,30.35,2771
20171102,30.32,30.32,30.13,30.15,832
20171103,30.43,30.47,30.41,30.41,6545
20171106,30.63,30.63,30.42,30.42,243
20171107,30.48,30.58,30.41,30.58,2268
20171108,30.52,30.65,30.52,30.65,351
20171109,30.65,30.65,30.65,30.65,44
20171110,30.58,30.58,30.41,30.45,6884
20171113,30.61,30.61,30.61,30.61,66
20171114,30.61,30.61,30.56,30.56,594
20171115,30.56,30.74,30.56,30.74,394
20171116,30.6,30.6,30.51,30.51,1244
20171117,30.8,30.84,30.75,30.75,787
20171120,30.95,30.95,30.85,30.85,781
20171121,30.96,31.15,30.96,31.15,284
20171122,30.91,31.1,30.91,31.1,1455
20171123,30.92,30.94,30.81,30.94,4832
20171124,31,31,30.82,30.94,2537
20171127,31.12,31.12,31.08,31.12,1925
20171128,31,31.04,31,31.04,860
20171129,31.32,31.35,31.2,31.35,2893
20171130,31.28,31.32,31.28,31.32,1527
20171201,31.49,31.52,31.36,31.52,1912
20171204,31.32,31.35,31.27,31.3,1557
20171205,31.13,31.13,30.81,30.9,8984
20171206,31,31.13,31,31.03,13317
20171207,31.16,31.25,31.16,31.22,6239
20171208,31.41,31.53,31.41,31.53,421
20171211,31.74,31.74,31.63,31.66,4044
20171212,31.67,31.67,31.54,31.66,275
20171213,31.5,31.5,31.25,31.25,1013
20171214,31.2,31.2,30.95,31.06,9026
20171215,31.2,31.2,30.81,30.86,1757
20171218,31,31.15,31,31.14,2500
20171219,31.1,31.39,31.1,31.38,3691
20171220,31.31,31.38,31.31,31.38,1416
20171221,31.28,31.34,31.28,31.34,1082
20171222,31.23,31.23,31.1,31.11,1260
20171227,31.1,31.1,31.07,31.07,713
20171228,30.99,30.99,30.85,30.98,558
20171229,30.92,30.92,30.92,30.92,109
20180102,30.95,30.95,30.76,30.76,5031
20180103,30.95,30.99,30.95,30.99,995
20180104,30.8,30.88,30.8,30.8,846
20180105,31,31,30.91,30.93,1249
20180108,31.22,31.29,31.11,31.29,1039
20180109,31.3,31.4,31.27,31.27,2780
20180110,31.49,31.5,31.41,31.41,2679
20180111,31.39,31.39,31.25,31.31,4501
20180112,31.31,31.46,31.31,31.36,505
20180115,31.44,31.51,31.44,31.44,650
