Date,Open,High,Low,Close,Volume
19920102,3.9,3.93,3.9,3.9,588583
19920103,3.88,3.9,3.86,3.88,382870
19920106,3.87,3.92,3.86,3.88,2061918
19920107,3.87,3.88,3.85,3.86,886554
19920108,3.86,3.86,3.84,3.85,1481950
19920109,3.831,3.84,3.8,3.84,431600
19920110,3.84,3.84,3.8,3.8,1399075
19920113,3.8,3.8,3.68,3.7,795303
19920114,3.68,3.75,3.68,3.74,373195
19920115,3.76,3.86,3.74,3.85,1206636
19920116,3.86,3.97,3.86,3.95,1144793
19920117,3.92,3.95,3.92,3.95,879208
19920120,3.95,3.95,3.92,3.93,762454
19920121,3.93,3.93,3.9,3.92,140780
19920122,3.9,3.92,3.88,3.88,203719
19920123,3.91,3.92,3.88,3.9,353503
19920124,3.89,3.89,3.85,3.87,162201
19920128,3.85,3.9,3.85,3.9,888684
19920129,3.91,3.92,3.86,3.9,834786
19920130,3.84,3.9,3.84,3.9,982943
19920131,3.9,3.9,3.88,3.9,186843
19920203,3.88,3.88,3.86,3.88,119591
19920204,3.87,3.88,3.85,3.88,1099608
19920205,3.878,3.9,3.87,3.88,1286572
19920206,3.877,3.88,3.83,3.85,1427416
19920207,3.84,3.85,3.83,3.85,266412
19920210,3.85,3.85,3.76,3.76,290414
19920211,3.8,3.88,3.8,3.87,443561
19920212,3.86,3.88,3.86,3.86,2028300
19920213,3.862,3.862,3.82,3.84,470681
19920214,3.83,3.83,3.82,3.83,298100
19920217,3.83,3.84,3.83,3.84,241851
19920218,3.83,3.84,3.81,3.82,105502
19920219,3.81,3.82,3.78,3.8,1007230
19920220,3.8,3.82,3.79,3.79,383258
19920221,3.81,3.82,3.8,3.8,193925
19920224,3.79,3.8,3.79,3.8,405898
19920225,3.8,3.85,3.8,3.84,970808
19920226,3.87,3.89,3.86,3.89,233615
19920227,3.89,3.95,3.89,3.91,540370
19920228,3.9,3.92,3.87,3.91,562641
19920302,3.93,3.96,3.93,3.96,363180
19920303,3.945,3.96,3.94,3.94,706647
19920304,3.95,3.97,3.92,3.97,296489
19920305,3.96,3.97,3.9,3.9,422486
19920306,3.89,3.92,3.88,3.89,328038
19920309,3.88,3.88,3.85,3.85,389870
19920310,3.85,3.85,3.83,3.85,785406
19920311,3.85,3.86,3.85,3.86,1130350
19920312,3.84,3.86,3.84,3.85,336685
19920313,3.85,3.88,3.85,3.88,523941
19920316,3.87,3.9,3.87,3.87,168725
19920317,3.85,3.85,3.82,3.85,340766
19920318,3.85,3.86,3.84,3.85,433993
19920319,3.85,3.88,3.85,3.86,66035
19920320,3.86,3.88,3.86,3.88,306800
19920323,3.86,3.88,3.84,3.84,418882
19920324,3.84,3.84,3.82,3.83,151950
19920325,3.82,3.86,3.82,3.86,711162
19920326,3.84,3.84,3.78,3.78,760961
19920327,3.79,3.83,3.79,3.81,1908633
19920330,3.8,3.83,3.79,3.79,1171198
19920331,3.8,3.83,3.75,3.75,697837
19920401,3.68,3.72,3.66,3.7,1504510
19920402,3.7,3.75,3.68,3.72,499817
19920403,3.73,3.73,3.7,3.73,159640
19920406,3.73,3.75,3.7,3.7,578406
19920407,3.644,3.7,3.64,3.68,401853
19920408,3.6,3.67,3.6,3.66,261927
19920409,3.66,3.66,3.58,3.6,147766
19920410,3.6,3.67,3.59,3.62,789933
19920413,3.642,3.644,3.57,3.57,641853
19920414,3.5,3.55,3.5,3.55,167066
19920415,3.585,3.62,3.57,3.62,366740
19920416,3.639,3.64,3.58,3.61,1064601
19920421,3.61,3.68,3.61,3.62,101638
19920422,3.64,3.68,3.64,3.67,1050362
19920423,3.68,3.7,3.68,3.7,232300
19920424,3.69,3.69,3.6,3.62,309186
19920427,3.61,3.61,3.58,3.58,515158
19920428,3.58,3.62,3.58,3.6,1094806
19920429,3.6,3.7,3.6,3.7,707133
19920430,3.738,3.8,3.738,3.8,1357879
19920501,3.77,3.77,3.74,3.74,108750
19920504,3.74,3.75,3.73,3.73,231600
19920505,3.75,3.77,3.73,3.73,1025709
19920506,3.73,3.74,3.7,3.73,482825
19920507,3.72,3.72,3.7,3.72,529301
19920508,3.7,3.75,3.7,3.75,336134
19920511,3.73,3.78,3.73,3.78,848513
19920512,3.792,3.85,3.78,3.85,267527
19920513,3.85,3.85,3.8,3.8,117266
19920514,3.78,3.81,3.78,3.81,581686
19920515,3.8,3.85,3.79,3.85,1010525
19920518,3.83,3.9,3.83,3.9,532504
19920519,3.9,3.9,3.89,3.9,503082
19920520,3.89,4,3.88,4,879940
19920521,3.95,3.95,3.88,3.9,454920
19920522,3.899,3.9,3.8,3.8,469550
19920525,3.84,3.86,3.83,3.83,482200
19920526,3.858,3.86,3.84,3.86,1528335
19920527,3.88,3.92,3.88,3.92,2216416
19920528,3.91,3.95,3.9,3.9,3579422
19920529,3.913,3.93,3.9,3.93,2673277
19920601,3.93,3.93,3.9,3.93,89243
19920602,3.92,3.92,3.89,3.9,161837
19920603,3.88,3.92,3.88,3.91,264199
19920604,3.9,3.91,3.88,3.9,1581386
19920605,3.89,3.93,3.88,3.9,836886
19920609,3.9,3.92,3.88,3.91,139317
19920610,3.91,3.93,3.9,3.91,913324
19920611,3.88,3.91,3.85,3.9,2001007
19920612,3.88,3.88,3.83,3.83,857520
19920615,3.83,3.83,3.78,3.8,724574
19920616,3.79,3.81,3.79,3.8,415482
19920617,3.8,3.84,3.8,3.84,429816
19920618,3.8,3.81,3.78,3.8,337498
19920619,3.8,3.84,3.8,3.82,106235
19920622,3.82,3.82,3.81,3.82,197940
19920623,3.82,3.84,3.82,3.84,1508633
19920624,3.84,3.85,3.84,3.85,373768
19920625,3.84,3.84,3.78,3.78,929813
19920626,3.76,3.79,3.76,3.77,1684305
19920629,3.77,3.8,3.76,3.79,573493
19920630,3.8,3.85,3.75,3.75,306407
19920701,3.8,3.8,3.75,3.77,78603
19920702,3.82,3.83,3.81,3.82,26772
19920703,3.85,3.85,3.82,3.82,113800
19920706,3.82,3.86,3.82,3.86,56398
19920707,3.86,3.89,3.85,3.86,127330
19920708,3.85,3.9,3.84,3.87,2067046
19920709,3.88,3.89,3.87,3.87,425740
19920710,3.88,3.88,3.86,3.86,1343900
19920713,3.88,3.9,3.86,3.87,284351
19920714,3.87,3.92,3.87,3.88,574946
19920715,3.89,3.9,3.86,3.86,1438273
19920716,3.86,3.89,3.86,3.86,575100
19920717,3.87,3.88,3.86,3.88,582863
19920720,3.87,3.87,3.8,3.83,231100
19920721,3.833,3.84,3.81,3.81,1314583
19920722,3.82,3.84,3.8,3.8,680821
19920723,3.796,3.82,3.77,3.8,861993
19920724,3.8,3.81,3.8,3.8,164615
19920727,3.8,3.83,3.8,3.8,487740
19920728,3.8,3.82,3.8,3.81,757403
19920729,3.81,3.82,3.8,3.8,333756
19920730,3.8,3.84,3.8,3.84,496099
19920731,3.84,3.85,3.83,3.85,1423633
19920803,3.85,3.85,3.84,3.85,91275
19920804,3.84,3.84,3.81,3.82,1218650
19920805,3.84,3.85,3.82,3.82,700335
19920806,3.82,3.83,3.82,3.82,446676
19920807,3.82,3.85,3.82,3.85,858275
19920810,3.85,3.86,3.82,3.85,685298
19920811,3.848,3.85,3.79,3.79,200968
19920812,3.78,3.8,3.75,3.79,546882
19920813,3.75,3.77,3.72,3.76,673685
