Date,Open,High,Low,Close,Volume
19920102,5.05,5.05,4.8,4.9,54711
19920103,4.95,4.96,4.95,4.96,22405
19920106,4.973,5.02,4.973,5,69496
19920107,5,5.04,5,5.03,302022
19920108,5.03,5.12,5.03,5.12,38603
19920109,5.11,5.13,5.11,5.12,101632
19920110,5.1,5.12,5.1,5.1,41759
19920113,5.111,5.12,5.1,5.1,22212
19920114,5.117,5.15,5.1,5.12,13892
19920115,5.132,5.16,5.13,5.15,36997
19920116,5.15,5.2,5.15,5.15,29202
19920117,5.18,5.2,5.18,5.18,20842
19920120,5.2,5.2,5.15,5.18,84531
19920121,5.15,5.16,5.14,5.14,56003
19920122,5.12,5.12,5.1,5.1,29333
19920123,5.1,5.15,5.09,5.11,26424
19920124,5.09,5.09,5.06,5.06,14785
19920128,5.05,5.07,5.05,5.07,25629
19920129,5.07,5.07,5,5,34666
19920130,5.007,5.1,5,5.1,23959
19920131,5.1,5.15,5.07,5.1,25052
19920203,5.1,5.15,5.1,5.1,9167
19920204,5.109,5.109,5.08,5.08,66342
19920205,5.08,5.1,5.08,5.08,95052
19920206,5.115,5.12,5.1,5.1,5179
19920207,5.12,5.2,5.1,5.18,786742
19920210,5.25,5.25,5.2,5.2,324826
19920211,5.2,5.22,5.17,5.2,371509
19920212,5.19,5.22,5.17,5.2,94556
19920213,5.2,5.22,5.2,5.22,104393
19920214,5.22,5.22,5.19,5.2,39989
19920217,5.18,5.18,5.18,5.18,4336
19920218,5.2,5.2,5.18,5.2,25395
19920219,5.2,5.25,5.2,5.25,32408
19920220,5.25,5.35,5.25,5.35,17074
19920221,5.397,5.4,5.397,5.4,207015
19920224,5.4,5.5,5.4,5.5,109232
19920225,5.493,5.5,5.44,5.44,26512
19920226,5.45,5.52,5.45,5.5,80726
19920227,5.5,5.5,5.41,5.41,73766
19920228,5.4,5.41,5.35,5.35,97869
19920302,5.4,5.5,5.4,5.5,31913
19920303,5.5,5.5,5.46,5.48,130366
19920304,5.45,5.48,5.45,5.46,36942
19920305,5.451,5.48,5.45,5.48,14587
19920306,5.45,5.48,5.45,5.48,22284
19920309,5.47,5.48,5.47,5.48,22036
19920310,5.48,5.48,5.4,5.4,23617
19920311,5.35,5.35,5.34,5.34,6086
19920312,5.32,5.34,5.3,5.3,69616
19920313,5.3,5.3,5.26,5.26,20538
19920316,5.26,5.26,5.2,5.2,9140
19920317,5.18,5.18,5.1,5.18,379429
19920318,5.18,5.2,5.1,5.2,70753
19920319,5.1,5.1,5.07,5.1,406822
19920320,5.1,5.1,5.1,5.1,688478
19920323,5.2,5.2,5.12,5.12,16623
19920324,5.15,5.15,5.12,5.13,9964
19920325,5.13,5.15,5.13,5.13,62448
19920326,5.15,5.15,5.12,5.12,70671
19920327,5.12,5.18,5.12,5.18,52385
19920330,5.15,5.2,5.15,5.2,65594
19920331,5.2,5.25,5.2,5.25,379739
19920401,5.25,5.25,5.2,5.25,189140
19920402,5.2,5.22,5.19,5.19,52884
19920403,5.15,5.15,5.12,5.12,33242
