Date,Open,High,Low,Close,Volume
20160411,3.41,3.89,3.41,3.89,3373476
20160412,4,4.05,3.74,3.84,752563
20160413,4.05,4.15,4.04,4.05,2138748
20160414,4.09,4.1,4.02,4.03,771655
20160415,4.04,4.05,4.01,4.01,243624
20160418,4.03,4.05,3.9,3.9,748362
20160419,3.99,4,3.87,3.95,271552
20160420,4,4.03,3.95,3.95,169215
20160421,4,4.04,3.98,4.04,207837
20160422,4.01,4.02,3.99,4,154987
20160426,4,4,3.98,4,188855
20160427,4,4.02,3.99,4.01,114500
20160428,4.01,4.02,4,4.02,140712
20160429,4.02,4.08,4.01,4.04,147110
20160502,4.08,4.1,4.05,4.1,248448
20160503,4.2,4.35,4.15,4.25,129435
20160504,4.25,4.3,4.21,4.3,81987
20160505,4.3,4.36,4.27,4.3,78140
20160506,4.35,4.38,4.24,4.37,136896
20160509,4.39,4.57,4.37,4.56,126378
20160510,4.59,5.05,4.59,4.73,284422
20160511,4.84,4.95,4.75,4.77,480412
20160512,4.77,4.77,4.65,4.71,238759
20160513,4.72,4.72,4.55,4.59,141771
20160516,4.59,4.6,4.5,4.5,175985
20160517,4.55,4.55,4.26,4.29,199546
20160518,4.41,4.6,4.41,4.55,236764
20160519,4.61,4.66,4.55,4.58,308198
20160520,4.66,4.66,4.49,4.5,158237
20160523,4.55,4.55,4.4,4.45,1011892
20160524,4.45,4.45,4.36,4.4,556069
20160525,4.4,4.45,4.34,4.38,240727
20160526,4.38,4.4,4.36,4.4,82081
20160527,4.4,4.45,4.31,4.35,104502
20160530,4.4,4.4,4.3,4.35,115770
20160531,4.36,4.39,4.3,4.37,17004
20160601,4.39,4.4,4.38,4.38,177735
20160602,4.4,4.45,4.39,4.39,11855
20160603,4.45,4.45,4.39,4.4,50560
20160606,4.45,4.45,4.39,4.41,14957
20160607,4.4,4.41,4.31,4.36,118403
20160608,4.4,4.4,4.33,4.36,45895
20160609,4.4,4.4,4.36,4.38,19898
20160610,4.4,4.4,4.29,4.36,123270
20160614,4.35,4.36,4.25,4.27,110578
20160615,4.3,4.31,4.23,4.27,137159
20160616,4.24,4.25,4.11,4.14,150949
20160617,4.15,4.15,4.05,4.09,248887
20160620,4.1,4.2,4.1,4.18,65927
20160621,4.2,4.255,4.1,4.18,75415
20160622,4.25,4.25,4.19,4.2,427854
20160623,4.19,4.45,4.19,4.45,123514
20160624,4.4,4.47,4.35,4.44,128106
20160627,4.4,4.4,4.29,4.4,85317
20160628,4.4,4.4,4.23,4.32,107744
20160629,4.32,4.4,4.2,4.4,78865
20160630,4.4,4.45,4.34,4.43,95654
20160701,4.43,4.6,4.36,4.54,141066
20160704,4.6,4.7,4.56,4.7,330582
20160705,4.7,4.82,4.68,4.8,506224
20160706,4.8,4.95,4.72,4.9,92846
20160707,4.95,4.96,4.82,4.85,559762
20160708,4.83,4.89,4.82,4.85,166304
20160711,4.87,4.95,4.83,4.94,305898
20160712,4.95,5.18,4.94,5.14,248290
20160713,5.14,5.2,4.99,5.16,126643
20160714,5.16,5.5,5.16,5.33,248324
20160715,5.3,5.32,5.05,5.07,169722
20160718,5.1,5.35,5.1,5.12,66436
20160719,5.12,5.29,5.12,5.15,81842
20160720,5.15,5.45,5.15,5.41,517786
20160721,5.45,5.61,5.36,5.37,92599
20160722,5.35,5.49,5.2,5.42,102640
20160725,5.4,5.45,5.28,5.36,104026
20160726,5.3,5.4,5.28,5.33,41581
20160727,5.35,5.35,5.26,5.28,36399
