Date,Open,High,Low,Close,Volume
20220120,176.08,178.88,175.875,176.63,182509
20220121,174.5,175,172,172.5,319629
20220124,162.22,167.5,162.22,166.25,281410
20220125,163.73,164,158.23,159.25,390875
20220127,157.05,160.51,150,150.73,385342
20220128,151.98,151.98,148,149.27,781392
20220131,158,161.67,157.2,161.41,205640
20220201,171.1,175,170.7,171.2,1140970
20220202,169,169,160.065,161.55,1192176
20220203,146,148.73,143.37,145.8,1786737
20220204,145.82,148.5,145.81,147.08,1727539
20220207,152.85,153,150.11,151.6,3236157
20220208,142,143.21,140.55,142,346317
20220209,141.25,144.99,141.25,144.03,297376
20220210,159,159.9,156.34,158.01,340623
20220211,150.15,150.3,147.45,147.45,228754
20220214,147.75,151.48,145.5,150.15,277373
20220215,156.25,158.5,155.77,156.5,559921
20220216,160.01,160.85,158.66,159.3,327715
20220217,154,154,149,149.1,653617
20220218,144.15,146.07,143.11,143.6,254648
20220221,134.51,134.53,130.3,133.8,228039
20220222,129.16,129.16,124.05,128,332411
20220223,130.7,133.25,129.96,133.25,345351
20220224,121.87,122.39,116.05,116.05,526200
20220225,162.5,165,151.97,153.75,883761
20220228,157.37,159.3,150,155.3,610997
20220301,174,176.5,174,175.16,510528
20220302,173.65,175.47,173.04,173.86,647573
20220303,173,173,166.27,168.5,437557
20220304,156.5,157.21,150.75,152.95,424468
20220307,142,142.235,134.12,137.28,462719
20220308,131.7,135.25,131.15,133.35,474611
20220309,136.26,141.835,136.26,141.2,335186
20220310,152.05,153.88,151.24,151.24,387851
20220311,147.05,148.2,144.11,146.4,363951
20220314,141.5,142.89,140.11,141.01,247964
20220315,133.96,134.53,132.51,133.62,267077
20220316,141.9,145.05,141.17,142.92,369278
20220317,158,160.575,157.5,157.5,474863
20220318,169.8,171.16,167.92,168.88,668685
20220321,186.01,187.5,183.34,184.4,430357
20220322,180.72,181.49,174.62,175,586158
20220323,188.28,190.49,186.22,188.1,388556
20220324,180.02,183.8,179.29,183.8,184228
20220325,179.71,179.99,177.09,178.07,120853
20220328,174.17,174.17,170.91,171.45,219991
20220329,182.16,184.66,181.91,183.15,215046
20220330,193.1,196,193.1,194.36,358956
20220331,185.8,187.18,184.56,185.33,261271
20220401,180.2,181.08,178.52,180.5,168716
20220404,177.83,180.23,177.04,180.23,139912
20220405,191.75,193,190.6,191.44,143950
20220406,180.04,180.21,177.3,178.27,163480
20220407,171,171.7,169.76,170.68,130978
20220408,169.29,169.69,167.3,168.3,124082
20220411,165.39,167.85,163.65,164.48,168492
20220412,166.57,166.57,163.05,163.8,161696
20220413,164.5,165.64,163.75,165,273323
20220414,168.1,168.51,165.445,168.15,348516
20220419,164.13,165.5,161.1,163.61,248495
20220420,168,168.99,167.03,167.75,212620
20220421,157.25,157.54,155.59,156.1,172676
20220422,147,147.44,145,146,216733
20220426,148.54,150.49,148.11,148.86,194408
20220427,140.21,140.71,138.14,140.06,340747
20220428,143.26,144.36,141.5,144.36,225695
20220429,144.15,146,143.72,145.2,311859
20220502,140.7,142.55,139.93,142,237039
20220503,148.7,150.72,148.47,148.47,191623
20220504,144.8,145.27,143.12,143.12,138349
20220505,145.6,146.3,145.03,145.53,275702
20220506,144.06,144.09,141.18,142.91,367127
20220509,135.77,135.77,132.61,134.1,191012
20220510,120,124,119.05,122.66,435701
20220511,122.3,122.41,120.05,121.25,191494
20220512,103.7,104.19,99.45,99.9,474209
20220513,109.02,114.88,109.02,114.88,350582
20220516,120.84,122.5,118.36,119.23,427300
20220517,114.53,116.26,114.22,115.26,149199
20220518,119.79,120.15,117.45,118.9,212707
20220519,116.49,117.36,114.78,116.1,260990
20220520,123.79,128,123.79,127.64,258421
20220523,120.28,124.61,120.25,124.61,500559
20220524,118.01,120.27,115.1,115.56,386804
20220525,108.55,109.82,108.18,109.25,239307
20220526,108.97,111.79,108.97,110.59,263594
20220527,116.69,117.43,115.6,117.1,217575
20220530,127.09,130,125.6,129.85,314320
20220531,127.96,127.96,124.94,126,417424
20220601,123.02,123.2,120.47,120.55,127739
20220602,112,115.62,111.96,114.58,291833
20220603,120.55,120.59,119.1,119.76,257336
20220606,115,115.95,113.11,115.95,437334
20220607,114.58,115.13,112.06,112.6,357301
20220608,115.9,117.07,115.69,116.01,295058
20220609,117.23,118.19,116.25,116.29,289848
20220610,107.82,110.045,106.9,109.67,458052
20220614,89.5,93.14,88.5,93.14,676178
20220615,88.12,89.25,86.15,86.55,628891
20220616,89.63,90.89,87.8,87.84,792621
20220617,81.25,82.59,80.37,81,4936577
20220620,84.3,85,82,84.33,609198
20220621,84.33,86.15,84.2,86,369767
20220622,86.5,86.8,84.51,84.78,438730
20220623,86.78,89.23,86.78,88.79,305458
20220624,96.6,99.1,96.36,98.5,499543
20220627,101.58,105.5,101.05,103.9,299520
20220628,101,101.26,99.33,100.6,125412
20220629,94.61,95.51,93.54,94.34,400315
20220630,93.2,93.2,90.5,90.5,665823
20220701,88.94,89.62,88.01,88.01,253156
20220704,92.9,93.86,91.73,92.52,159474
20220705,93.49,94.84,93.07,94.35,202155
20220706,98.1,100.01,98.1,98.57,278845
20220707,96.59,97.33,95.32,97.33,125767
20220708,99.9,99.9,98.48,98.99,132116
20220711,98.6,98.79,96.39,96.39,258882
20220712,94.01,94.1,92.645,93.29,231257
20220713,96.14,96.87,95.41,96.7,160069
20220714,93.87,95.9,93.87,95.9,199541
20220715,93,93.94,91.82,93.42,165709
20220718,96.51,99.075,96.51,99,137276
20220719,97.01,97.35,95.44,96.1,225663
20220720,100.8,103.11,100.25,100.3,171550
20220721,106.5,108.1,104.9,107.03,244808
20220722,106.88,107.71,105.86,107.71,167972
20220725,104.26,105.6,103.25,105.5,212409
20220726,102.24,103.14,100.54,102.71,301392
20220727,97.81,99.6,97.64,99.5,335224
20220728,104.47,104.78,102.75,103.99,486513
20220729,107.02,108.77,106.82,108.48,369018
20220801,108.5,108.5,106.83,107.34,200320
20220802,109.7,111.62,109.5,110.25,185069
20220803,115.59,116.4,114.76,115.78,278858
20220804,126.1,127.98,125.33,126.08,381330
20220805,118.63,119.5,116.42,118.3,260233
20220808,125.49,127.66,124.48,126.83,268293
20220809,121.8,124.22,121.8,124.07,252532
20220810,117.4,117.87,116,116.58,250139
20220811,125,127.41,124.91,126.4,316956
20220812,120.6,121.81,120.45,121.39,122410
20220815,122,123.85,122,122.92,110565
20220816,122.15,124,121.73,121.8,155328
20220817,121.5,122.67,121.02,122.34,106694
20220818,116.03,116.74,114.81,115.05,207956
20220819,114.39,115.5,114.38,114.89,119222
20220822,108.17,108.21,107.06,107.06,247507
20220823,105.73,107.76,104.93,105.03,171027
20220824,102.9,103.9,102.07,103.44,202690
20220825,104.26,105.67,104.13,104.92,136729
20220826,105.77,107.08,105.2,105.8,190283
20220829,99.3,99.33,96.71,97.5,383412
20220830,98,99.29,97.52,98.5,308050
